全国地方公共団体コード,ID,法人番号,地方公共団体名,名称,名称_カナ,住所,方書,緯度,経度,電話番号,FAX番号,メールアドレス,URL,連絡先備考（その他、SNSなど）,画像,画像_ライセンス,備考
132152,1,,東京都国立市,株式会社セレモア,,東京都国立市谷保5115,,,,0120-430-430,,,,,,,
132152,2,,東京都国立市,多摩中央葬祭株式会社,,東京都立川市錦町4-8-3,,,,0120-136-841,,,,,,,
132152,3,,東京都国立市,社会福祉法人東京福祉会,,東京都国立市谷保892-1,,,,0120-62-1192,,,,,,,
132152,4,,東京都国立市,株式会社愛礼儀典,,東京都府中市西府町5-6-6,,,,(042)575-3342,,,,,,,
132152,5,,東京都国立市,形如式典有限会社,,東京都国立市谷保6-21-28,,,,0120-35-3910,,,,,,,
132152,6,,東京都国立市,株式会社ドリーミー,,東京都国立市谷保5132-2,,,,0120-297-511,,,,,,,
132152,7,,東京都国立市,株式会社セレケア,,東京都国立市東2-12-6,,,,0120-575-798,,,,,,,
132152,8,,東京都国立市,株式会社あさひセレモニー,,東京都立川市栄町6-1-12,,,,0120-844-644,,,,,,,
132152,9,,東京都国立市,SOGIサポートセンターLinMCGroup株式会社,,東京都調布市多摩川2-3-12,,,,0120-255-297,,,,,,,
132152,10,,東京都国立市,青雲セレモニー,,東京都国分寺市光町3-27-41,,,,(042)505-5422,,,,,,,
132152,11,,東京都国立市,株式会社富士の華,,東京都中野区野方1-38-13,アミティ中野1F,,,0120-326-365,,,,,,,
132152,12,,東京都国立市,有限会社成田屋,,東京都立川市羽衣町3-15-9,,,,0120-044-770,,,,,,,
132152,13,,東京都国立市,株式会社セレサポート,,東京都福生市武蔵野台2-25-5,,,,0120-009-054,,,,,,,
132152,14,,東京都国立市,株式会社丸勝葬祭,,東京都八王子市元八王子町3-2232,,,,0120-311-594,,,,,,,
132152,15,,東京都国立市,フューネラルジャパン株式会社,,東京都品川区大井1-53-7,,,,0120-199-799,,,,,,,
132152,16,,東京都国立市,株式会社としまフューネス,,東京都多摩市永山1-17-11,,,,0120-23-5558,,,,,,,
132152,17,,東京都国立市,聖和葬儀社,,東京都府中市住吉町3-21-4,,,,0120-876-556,,,,,,,
132152,18,,東京都国立市,株式会社セレモの森,,東京都小金井市本町2-19-21,,,,(042)401-2755,,,,,,,
132152,19,,東京都国立市,ひのでセレモニー,,東京都小平市栄町2-29-11,,,,0120-877-808,,,,,,,
132152,20,,東京都国立市,そうしんホール昭島,,東京都昭島市武蔵野3-5-1,三多摩市場前,,,0120-546-4455,,,,,,,
132152,21,,東京都国立市,花＊家族葬ワイズワークス,,東京都国立市東1-6-2,Y’sビジョン7階,,,0120-418-731,,,,,,,
132152,22,,東京都国立市,セレーザ合同会社,,東京都国立市東2-9-3,,,,0120-020-675,,,,,,,
132152,23,,東京都国立市,株式会社おぼうさんどっとこむ,,東京都昭島市中神町1135-47,,,,0120-056-594,,,,,,,
132152,24,,東京都国立市,株式会社ハートフル葬祭,,東京都立川市若葉町1-3-27,,,,0120-266-466,,,,,,,
132152,25,,東京都国立市,株式会社青葉葬儀社,,東京都府中市晴見町1-15-20,,,,(042)370-1622,,,,,,,
132152,26,,東京都国立市,株式会社ワイズセレモニー,,東京都立川市曙町3-11-20,,,,0120-540-124,,,,,,,
132152,27,,東京都国立市,ファミリー葬祭・府中,,東京都府中市栄町1-11-26,,,,(042)302-1104,,,,,,,
132152,28,,東京都国立市,合縁,,東京都東大和市清原3-1-21,401,,,(042)849-6505,,,,,,,
132152,29,,東京都国立市,株式会社燈台舎,,東京都立川市上砂町1-3-6-28,,,,0120-43-1064,,,,,,,
132152,30,,東京都国立市,アートビジュアル,,東京都小金井市貫井南町4-12-37,,,,(042)386-3490,,,,,,,
132152,31,,東京都国立市,京王フェアウェルサポート株式会社,,東京都多摩市関戸1-9-1,,,,(0800)800-8149,,,,,,,
132152,32,,東京都国立市,有限会社谺企画,,東京都国分寺市北町2-24-2,316,,,(042)313-8034,,,,,,,
132152,33,,東京都国立市,株式会社エムエスジー葬儀の正行,,東京都小平市学園東町2-4-22,,,,0120-094-304,,,,,,,
132152,34,,東京都国立市,葬儀の心和堂,,東京都国分寺市富士本1-21-3,,,,0120-596-079,,,,,,,
132152,35,,東京都国立市,街の葬儀屋さん株式会社アーネスト,,東京都府中市住吉町1-44-1,,,,0120-676-675,,,,,,,
132152,36,,東京都国立市,株式会社みよし,,東京都国分寺市東元町4-1-37,,,,(042)323-3944,,,,,,,
132152,37,,東京都国立市,照屋興業有限会社,,東京都清瀬市松山3-18-3,,,,(070)8998-2338,,,,,,,
132152,38,,東京都国立市,株式会社まごころ,,東京都小金井市前原町4-17-6,,,,(042)385-0810,,,,,,,
