区市町村名,学校名,学科名,募集人員／第１学年,募集人員／第２学年,募集人員／第３学年,募集人員／第４学年,受付期間,選抜日,発表日,昨年度第二学期補欠募集の実施状況／第１学年,昨年度第二学期補欠募集の実施状況／第２学年,昨年度第二学期補欠募集の実施状況／第３学年,昨年度第二学期補欠募集の実施状況／第４学年
文京,工芸※,ﾏｼﾝｸﾗﾌﾄ科,9,14,17,9,"8/24,25",8/26,8/26,,,,
文京,工芸※,ｱｰﾄｸﾗﾌﾄ科,,4,4,12,"8/24,25",8/26,8/26,,,,
文京,工芸※,ｲﾝﾃﾘｱ科,10,11,10,13,"8/24,25",8/26,8/26,,,,
文京,工芸※,ｸﾞﾗﾌｨｯｸｱｰﾂ科,,1,7,2,"8/24,25",8/26,8/26,,,,
台東,蔵前工業※,建築工学科,13,16,16,22,"8/19,22",8/25,8/25,,,,
江東,墨田工業,総合技術科,,8,12,12,"8/22,23",8/24,8/24,,,,
世田谷,総合工科,総合技術科,47,10,29,10,"8/25,26",8/29,8/29,,,,
中野,中野工業,総合技術科,11,13,11,5,"8/25,26",8/29,8/29,,,,
荒川,荒川工業※,電気・電子科,11,13,20,10,"8/18,19",8/22,8/22,,,,
板橋,北豊島工業※,機械科,9,17,20,13,"8/18,19",8/22,8/22,○,,,
葛飾,本所工業※,総合技術科,15,23,17,14,"8/22,23",8/24,8/24,○,,,
小金井,小金井工業※,機械科,38,27,34,32,"8/22,23",8/24,8/24,,,,
小金井,小金井工業※,電気・電子科,21,10,14,20,"8/22,23",8/24,8/24,○,,,
工業科計,,,184,167,211,174,,,,,,,
注）「昨年度第二学期補欠募集の実施状況」欄では、昨年度の第二学期補欠募集を行った学校のうち、実際に検査を実施した（受検者がいた）学年に○印を付している。,,,,,,,,,,,,,
注）工業科の選抜は、国語・数学・英語・専門教科の学力検査及び面接により行う。／ただし、※印を付した都立高校の以下に示す学年の選抜は、次により行う。,,,,,,,,,,,,,
都立工芸高校／第１・２・３・４学年／国語・数学・英語・面接,,,,,,,,,,,,,
都立蔵前工業高校／第１・２・３・４学年／国語・数学・英語・面接,,,,,,,,,,,,,
都立荒川工業高校／第１・２・３・４学年／国語・数学・社会・専門教科・面接,,,,,,,,,,,,,
都立北豊島工業高校／第１学年／国語・数学・英語・面接,,,,,,,,,,,,,
都立本所工業高校／第１学年／国語・数学・英語・面接,,,,,,,,,,,,,
都立小金井工業高校／第１・２・３・４学年／数学・理科・専門教科・面接,,,,,,,,,,,,,
