区市町村名,学校名,募集人員／男,募集人員／女,募集人員／計,受検人員／男,受検人員／女,受検人員／計,合格人員／男,合格人員／女,合格人員／計
千代田,日比谷,132,122,254,254,214,468,145,132,277
港,三田,124,114,238,204,222,426,126,115,241
新宿,戸山,149,136,285,237,212,449,156,140,296
文京,竹早,93,85,178,167,187,354,95,87,182
文京,向丘,116,106,222,202,226,428,105,120,225
台東,上野,132,121,253,230,183,413,134,123,257
台東,白鴎,31,31,62,39,40,79,33,32,65
墨田,日本橋,102,93,195,147,156,303,92,103,195
墨田,本所,106,97,203,175,172,347,107,98,205
墨田,両国,31,31,62,27,35,62,27,35,62
江東,城東,149,136,285,219,206,425,153,137,290
江東,東,116,107,223,178,164,342,117,109,226
江東,深川,96,89,185,148,145,293,88,105,193
品川,大崎,116,107,223,174,131,305,124,102,226
品川,小山台,132,121,253,187,210,397,134,123,257
品川,八潮,106,96,202,129,100,229,106,96,202
目黒,駒場,116,106,222,195,201,396,119,108,227
目黒,目黒,116,107,223,172,188,360,105,121,226
大田,大森,100,91,191,140,120,260,94,98,192
大田,蒲田,41,38,79,57,41,98,41,38,79
大田,田園調布,87,79,166,143,135,278,87,79,166
大田,雪谷,116,107,223,159,197,356,105,121,226
世田谷,桜町,132,121,253,149,180,329,119,137,256
世田谷,千歳丘,116,107,223,126,144,270,105,121,226
世田谷,深沢,88,80,168,99,129,228,80,88,168
世田谷,松原,82,76,158,101,145,246,74,88,162
渋谷,青山,130,120,250,225,224,449,132,124,256
渋谷,広尾,82,74,156,145,171,316,83,76,159
中野,鷺宮,116,106,222,175,166,341,113,110,223
中野,富士,31,31,62,58,48,106,33,32,65
中野,武蔵丘,132,122,254,205,206,411,119,137,256
杉並,杉並,132,122,254,172,177,349,133,123,256
杉並,豊多摩,132,121,253,264,247,511,133,122,255
杉並,西,132,121,253,225,183,408,138,126,264
豊島,豊島,116,106,222,166,169,335,117,107,224
豊島,文京,149,136,285,285,270,555,135,152,287
荒川,竹台,74,67,141,93,74,167,74,67,141
板橋,板橋,116,107,223,158,175,333,118,108,226
板橋,大山,87,80,167,114,117,231,79,88,167
板橋,北園,132,122,254,262,251,513,119,138,257
板橋,高島,132,121,253,214,212,426,134,123,257
練馬,井草,116,107,223,160,156,316,105,120,225
練馬,大泉,31,31,62,39,30,69,34,30,64
練馬,石神井,132,121,253,189,205,394,134,122,256
練馬,田柄,35,33,68,43,42,85,35,33,68
練馬,練馬,116,107,223,123,130,253,117,108,225
練馬,光丘,114,104,218,149,121,270,122,106,228
足立,青井,75,69,144,87,106,193,68,76,144
足立,足立,132,121,253,187,113,300,142,113,255
足立,足立新田,100,93,193,120,116,236,100,93,193
足立,足立西,82,76,158,104,98,202,82,76,158
足立,足立東,41,38,79,80,66,146,41,44,85
足立,江北,132,121,253,187,155,342,139,116,255
足立,淵江,84,77,161,104,107,211,77,84,161
葛飾,葛飾野,132,122,254,187,134,321,135,124,259
葛飾,南葛飾,68,61,129,119,134,253,62,67,129
江戸川,江戸川,132,122,254,225,204,429,134,124,258
江戸川,葛西南,116,107,223,149,129,278,117,107,224
江戸川,小岩,149,136,285,258,241,499,139,150,289
江戸川,小松川,132,122,254,178,142,320,135,124,259
江戸川,篠崎,106,97,203,163,147,310,106,97,203
江戸川,紅葉川,100,91,191,166,155,321,101,92,193
区部計,,6543,6016,12559,9836,9504,19340,6456,6295,12751
八王子,片倉,100,91,191,147,112,259,101,92,193
八王子,八王子北,83,76,159,113,107,220,84,77,161
八王子,八王子東,132,121,253,170,164,334,136,123,259
八王子,富士森,147,135,282,176,193,369,148,141,289
八王子,松が谷,99,91,190,153,135,288,99,93,192
立川,立川,132,121,253,201,177,378,136,123,259
武蔵野,武蔵,31,31,62,43,57,100,32,32,64
武蔵野,武蔵野北,100,91,191,128,161,289,102,92,194
青梅,多摩,100,91,191,122,121,243,101,92,193
府中,府中,116,106,222,204,165,369,118,107,225
府中,府中西,125,115,240,168,158,326,126,119,245
府中,府中東,116,107,223,142,152,294,105,118,223
昭島,昭和,132,121,253,164,160,324,135,123,258
昭島,拝島,116,107,223,131,142,273,110,115,225
調布,神代,116,106,222,147,170,317,105,120,225
調布,調布北,99,91,190,123,136,259,105,92,197
調布,調布南,100,91,191,162,166,328,102,92,194
町田,小川,132,121,253,170,156,326,134,123,257
町田,成瀬,116,107,223,150,161,311,118,108,226
町田,野津田,50,46,96,74,85,159,51,47,98
町田,町田,132,122,254,184,179,363,135,123,258
町田,山崎,88,80,168,116,84,200,88,80,168
小金井,小金井北,100,91,191,149,160,309,102,93,195
小平,小平,83,76,159,124,140,264,75,86,161
小平,小平西,116,107,223,185,167,352,126,100,226
小平,小平南,116,107,223,193,180,373,117,109,226
日野,日野,132,122,254,177,177,354,119,139,258
日野,日野台,127,116,243,159,166,325,134,118,252
日野,南平,132,122,254,205,194,399,137,124,261
東村山,東村山,41,37,78,60,64,124,41,37,78
東村山,東村山西,116,107,223,164,132,296,128,97,225
国立,国立,132,121,253,185,176,361,137,123,260
福生,福生,116,107,223,166,155,321,117,108,225
狛江,狛江,149,137,286,215,211,426,152,139,291
東大和,東大和,116,107,223,175,143,318,117,108,225
東大和,東大和南,132,121,253,201,179,380,135,123,258
清瀬,清瀬,132,121,253,173,146,319,133,122,255
東久留米,久留米西,116,106,222,155,122,277,117,107,224
武蔵村山,武蔵村山,116,107,223,148,124,272,117,108,225
多摩,永山,115,112,227,170,196,366,104,125,229
羽村,羽村,116,106,222,127,129,256,116,106,222
あきる野,秋留台,50,45,95,126,80,206,50,45,95
西東京,田無,132,121,253,173,136,309,133,122,255
西東京,保谷,132,122,254,197,175,372,133,124,257
多摩部計,,4879,4486,9365,6815,6493,13308,4911,4595,9506
ｺｰｽ、単位制以外計,,11422,10502,21924,16651,15997,32648,11367,10890,22257
