,,全校で実施（％）,校内の一部で実施（％）,実施していない（％）
教師や生徒による読み聞かせを実施している,合計,47.5,29.5,23.4
教師や生徒による読み聞かせを実施している,小学校,74.3,25.4,0.4
教師や生徒による読み聞かせを実施している,中学校,12.2,35.8,53.2
教師や生徒による読み聞かせを実施している,高校,4.2,34.4,61.4
学級活動等で読書会を実施している,合計,33.5,47.7,19.1
学級活動等で読書会を実施している,小学校,45.9,50.3,3.9
学級活動等で読書会を実施している,中学校,19.9,41.5,39.8
学級活動等で読書会を実施している,高校,7.7,49.8,41.4
独自の｢課題図書｣等のリストを作成している,合計,42.6,15.6,42.1
独自の｢課題図書｣等のリストを作成している,小学校,44.1,14.8,41.0
独自の｢課題図書｣等のリストを作成している,中学校,41.8,15.6,43.8
独自の｢課題図書｣等のリストを作成している,高校,37.2,19.3,43.2
読書指導の資料・教材を校内で組織的に活用している,合計,35.2,34.3,30.8
読書指導の資料・教材を校内で組織的に活用している,小学校,44.2,35.3,20.5
読書指導の資料・教材を校内で組織的に活用している,中学校,25.1,33.1,42.9
読書指導の資料・教材を校内で組織的に活用している,高校,16.8,32.6,50.5
教師の推薦図書を生徒に紹介している,合計,55.7,28.6,16.1
教師の推薦図書を生徒に紹介している,小学校,57.0,29.2,13.7
教師の推薦図書を生徒に紹介している,中学校,54.1,27.8,19.3
教師の推薦図書を生徒に紹介している,高校,53.3,27.4,19.3
学級文庫を設置している,合計,70.8,17.7,11.8
学級文庫を設置している,小学校,89.6,8.9,1.5
学級文庫を設置している,中学校,60.6,28.4,12.2
学級文庫を設置している,高校,6.3,34.0,59.6
