区分１,区分２,平成30,令和元,2,3,4
総数（件）,,46,39,37,65,42
総数（％）,,100,100,100,100,100
連合（件）,,11,18,12,23,14
連合（％）,,23.9,46.2,32.4,35.4,33.3
連合,ＪＡＭ（件）,-,-,1,1,- 
連合,ＪＥＣ連合（件）,-,-,- ,- ,- 
連合,情報労連（件）,- ,2,- ,2,1
連合,ＵAゼンセン同盟（件）,1,1,- ,- ,- 
連合,私教組（件）,-,-,- ,- ,- 
連合,連合ユニオン（件）,-,1,2,- ,- 
連合,全国ユニオン（件）,8,13,7,19,10
連合,その他（件）,2,1,2,1,3
全労連（件）,,18,9,9,15,11
全労連（％）,,39.1,23.1,24.3,23.1,26.2
全労連,日本医労連（件）,2,- ,1,- ,- 
全労連,建交労（件）,- ,- ,- ,- ,- 
全労連,全国一般（件）,5,3,4,3,4
全労連,全印総連（件）,- ,- ,- ,- ,- 
全労連,私教連（件）,2,3,- ,- ,- 
全労連,ＪＭＩＴＵ（件）,1,2,1,1,1
全労連,民放労連（件）,- ,- ,1,- ,- 
全労連,自交総連（件）,- ,- ,- ,1,- 
全労連,全労連自治労連（件）,2,- ,1,- ,1
全労連,その他（件）,6,1,1,10,5
上記以外（件）,,17,12,16,27,17
上記以外（％）,,37,30.8,43.2,41.5,40.5
全労協,全国一般東京労組（件）,3,1,1,1,4
全労協,国鉄労組（件）,- ,- ,- ,- ,- 
全労協,その他（件）,6,9,5,20,7
出版労連（件）,,1,- ,- ,1,1
航空連（件）,,2,- ,1,- ,- 
新聞労連（件）,,- ,2,- ,- ,1
その他（件）,,5,- ,9,5,4
