表側１,表側２,表側３,回答企業数(件),1千万円未満(％),1～3千万円未満(％),3～5千万円未満(％),5千万～1億円未満(％),1～3億円未満(％),3～5億円未満(％),5億円以上(％),無回答(％)
,,今回調査（全体）,2003,44.1,21.3,9.3,7.1,10.1,2.4,2.4,3.2
,,前回調査,2189,39.8,24.9,8.8,8,10.4,2.3,2.5,3.3
業種別,,総合商品小売業,164,3.7,4.9,3.7,3.7,50.6,16.5,12.2,4.9
業種別,,生鮮食品小売業,113,36.3,31.9,17.7,8,1.8,0.9,0,3.5
業種別,,食料品関連小売業,511,52.3,25.4,9.6,5.3,3.7,0.4,1,2.3
業種別,,衣料品関連小売業,314,59.9,18.8,8.6,4.1,4.5,0.6,1.6,1.9
業種別,,住関連小売業,162,43.8,28.4,11.7,9.3,3.7,0.6,0,2.5
業種別,,その他小売業,737,42.1,20.1,8.7,9.8,10.6,2.2,2.4,4.2
従業者規模別,,1～2人,1059,68.9,22.3,4.2,1,0.5,0,0,3
従業者規模別,,3～5人,488,22.1,34.4,21.7,12.7,5.9,0.2,0.2,2.7
従業者規模別,,6～19人,272,4.4,5.5,11.8,23.9,40.4,7.4,1.5,5.1
従業者規模別,,20人以上,134,0,0.7,1.5,2.2,41.8,20.1,30.6,3
