表側１,表側２,表側３,回答企業数(件),売れ筋商品の調達(％),商品情報の収集(％),オリジナル性の高い商品の調達(％),マーケットや業界情報の収集(％),価格交渉力(％),オンライン発注への対応(％),商品・在庫管理(％),その他(％),特にない(％),無回答(％)
,,今回調査（全体）,2003,46.3,23.3,24.3,10,19.9,4.1,32.7,1.5,19.1,4.8
業種別,,総合商品小売業,164,55.5,30.5,31.1,20.7,13.4,7.9,37.2,1.2,22,4.9
業種別,,生鮮食品小売業,113,52.2,12.4,15.9,2.7,21.2,0,25.7,1.8,20.4,6.2
業種別,,食料品関連小売業,511,38.4,22.3,22.3,7.2,17.2,1.6,30.9,0.4,24.3,5.1
業種別,,衣料品関連小売業,314,58.9,25.2,40.8,8.9,19.1,4.8,24.8,2.2,8.9,4.8
業種別,,住関連小売業,162,40.7,21.6,13.6,6.8,28.4,4.3,35.8,0.6,19.1,3.7
業種別,,その他小売業,737,44.9,23.7,20.8,11.7,21.6,5.4,36.5,2.2,19,4.6
従業者規模別,,1～2人,1059,45.3,19.9,21.9,6.3,14.7,2.9,28,1.3,21.9,5.4
従業者規模別,,3～5人,488,50.6,30.1,29.1,13.5,25.6,4.5,35.5,1.8,14.8,4.1
従業者規模別,,6～19人,272,43.4,24.3,27.2,12.9,32.7,7.7,40.4,1.8,12.5,4
従業者規模別,,20人以上,134,47,29.1,26.1,23.1,20.1,6.7,46.3,1.5,21.6,2.2
売上高増減別(前年同期比),,増加,138,50.7,39.1,34.1,18.1,24.6,5.1,41.3,0.7,11.6,1.4
売上高増減別(前年同期比),,横ばい,251,49.4,21.5,20.7,10.8,21.5,4.8,39.8,1.6,17.1,3.2
売上高増減別(前年同期比),,減少,1536,45.6,22.1,24.3,9.2,19.5,4,30.3,1.6,19.9,5.1
売上高増減別(3年前),,増加,130,47.7,32.3,29.2,24.6,29.2,6.2,40.8,1.5,10.8,3.1
売上高増減別(3年前),,横ばい,338,45,28.1,26.3,10.4,21.6,3,38.2,0.9,16.9,2.7
売上高増減別(3年前),,減少,1346,47.7,22.7,23.9,9,19.4,4.6,31.1,1.6,19.5,5.1
