表側１,表側２,表側３,回答企業数(件),宅配サービス(％),キャッシュレス決済サービス(％),ホームページ等を通じた店舗・商品情報の発信(％),インターネット販売(％),その他(％),特になし(％),無回答(％)
,,今回調査（全体）,2003,5.4,7.7,6.1,3.3,5.6,71.8,5.5
業種別,,総合商品小売業,164,3.7,10.4,0.6,1.2,5.5,76.2,4.3
業種別,,生鮮食品小売業,113,3.5,6.2,1.8,1.8,2.7,75.2,12.4
業種別,,食料品関連小売業,511,7.4,8.4,4.7,2.2,4.9,73,5.7
業種別,,衣料品関連小売業,314,3.5,5.7,10.8,6.4,7.6,67.5,5.4
業種別,,住関連小売業,162,3.1,5.6,4.3,1.9,5.6,79.6,3.7
業種別,,その他小売業,737,6,8.1,7.5,3.7,5.8,69.7,5.2
従業者規模別,,1～2人,1059,3.9,5,4.7,1.8,5,77.5,5.9
従業者規模別,,3～5人,488,6.1,9.8,7.4,4.3,7.4,67,5.5
従業者規模別,,6～19人,272,8.5,12.9,8.8,5.5,5.9,60.7,4.8
従業者規模別,,20人以上,134,8.2,14.2,9,7.5,4.5,64.2,4.5
売上高増減別(前年同期比),,増加,138,2.9,6.5,4.3,2.2,10.9,69.6,8
売上高増減別(前年同期比),,横ばい,251,4.8,8,3.2,0.8,4.8,75.7,7.2
売上高増減別(前年同期比),,減少,1536,5.7,7.6,7,3.9,5.5,71.5,4.8
売上高増減別(3年前),,増加,130,3.8,5.4,7.7,6.2,10,66.9,6.9
売上高増減別(3年前),,横ばい,338,4.7,10.4,8.6,3,5.3,70.4,5
売上高増減別(3年前),,減少,1346,5.7,7.9,5.5,3,5.5,72.5,5.1
経常損益の変化別(前年同期比),,増益,109,3.7,8.3,4.6,3.7,9.2,67.9,6.4
経常損益の変化別(前年同期比),,横ばい,337,4.2,9.5,3,1.2,6.2,73.9,6.5
経常損益の変化別(前年同期比),,減益,1406,6,7.4,7.5,3.9,5.5,71.3,4.8
経常損益の変化別(3年前),,増益,208,6.3,7.7,11.5,4.3,8.7,67.3,3.8
経常損益の変化別(3年前),,横ばい,615,4.9,9.6,5.2,2.4,5.5,71.7,5.4
経常損益の変化別(3年前),,減益,937,5.9,7.2,5.5,3.4,5.3,73.1,5
