,,中国                ,香港                ,台湾                ,韓国                ,アメリカ            ,イギリス            ,フランス            ,ドイツ              ,その他              ,無回答            ,ｎ
,今回調査（全体）,15.2 ,3.3 ,8.0 ,5.1 ,24.6 ,2.5 ,1.1 ,4.3 ,25.4 ,10.5 ,276 
,前回調査,17.2 ,3.0 ,7.5 ,8.2 ,17.2 ,2.6 ,2.6 ,2.6 ,25.5 ,13.5 ,267 
業種別,情報・コンテンツ業,18.3 ,1.1 ,7.5 ,10.8 ,19.4 ,2.2 ,1.1 ,5.4 ,22.6 ,11.8 ,93 
業種別,専門サービス業,12.0 ,5.6 ,6.5 ,1.9 ,31.5 ,2.8 ,0.9 ,5.6 ,21.3 ,12.0 ,108 
業種別,技術サービス業,28.6 ,3.6 ,10.7 ,3.6 ,17.9 ,3.6 ,3.6 ,0.0 ,25.0 ,3.6 ,28 
業種別,事業サービス業,7.3 ,2.4 ,9.8 ,2.4 ,26.8 ,2.4 ,0.0 ,2.4 ,39.0 ,7.3 ,41 
特定10業種,ソフトウェア業,11.4 ,2.9 ,8.6 ,2.9 ,17.1 ,0.0 ,0.0 ,8.6 ,34.3 ,14.3 ,35 
特定10業種,インターネット附随サービス業,27.3 ,0.0 ,9.1 ,9.1 ,27.3 ,9.1 ,9.1 ,0.0 ,9.1 ,0.0 ,11 
特定10業種,映像情報制作・配給業,23.1 ,0.0 ,7.7 ,7.7 ,30.8 ,0.0 ,0.0 ,0.0 ,7.7 ,23.1 ,13 
特定10業種,出版業,21.4 ,0.0 ,14.3 ,35.7 ,0.0 ,0.0 ,0.0 ,0.0 ,14.3 ,14.3 ,14 
特定10業種,税理士事務所,14.3 ,7.1 ,0.0 ,0.0 ,35.7 ,7.1 ,0.0 ,14.3 ,21.4 ,0.0 ,14 
特定10業種,デザイン業,15.4 ,7.7 ,15.4 ,0.0 ,7.7 ,0.0 ,7.7 ,7.7 ,7.7 ,30.8 ,13 
特定10業種,経営コンサルタント業,12.5 ,12.5 ,4.2 ,4.2 ,29.2 ,0.0 ,0.0 ,0.0 ,25.0 ,12.5 ,24 
特定10業種,建築設計業,35.7 ,7.1 ,7.1 ,0.0 ,0.0 ,0.0 ,7.1 ,0.0 ,35.7 ,7.1 ,14 
特定10業種,自動車整備業,0.0 ,0.0 ,0.0 ,0.0 ,50.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.0 ,2 
特定10業種,建物サービス業,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,0.0 ,1 
従業者規模別,1～2人,11.1 ,7.1 ,9.1 ,3.0 ,27.3 ,3.0 ,0.0 ,3.0 ,26.3 ,10.1 ,99 
従業者規模別,3～5人,15.6 ,2.6 ,6.5 ,10.4 ,20.8 ,2.6 ,2.6 ,6.5 ,24.7 ,7.8 ,77 
従業者規模別,6～9人,18.2 ,0.0 ,9.1 ,0.0 ,18.2 ,9.1 ,0.0 ,4.5 ,13.6 ,27.3 ,22 
従業者規模別,10～29人,22.9 ,0.0 ,8.6 ,5.7 ,28.6 ,0.0 ,2.9 ,2.9 ,17.1 ,11.4 ,35 
従業者規模別,30人以上,15.0 ,0.0 ,7.5 ,2.5 ,25.0 ,0.0 ,0.0 ,5.0 ,40.0 ,5.0 ,40 
年間売上高増減別（３年前）,大幅(10％以上)増加,14.0 ,2.3 ,11.6 ,2.3 ,23.3 ,0.0 ,0.0 ,9.3 ,30.2 ,7.0 ,43 
年間売上高増減別（３年前）,やや(10％未満)増加,15.2 ,0.0 ,6.1 ,3.0 ,30.3 ,3.0 ,0.0 ,3.0 ,24.2 ,15.2 ,33 
年間売上高増減別（３年前）,ほぼ(±５％未満)横ばい,22.6 ,6.5 ,6.5 ,1.6 ,29.0 ,3.2 ,0.0 ,3.2 ,24.2 ,3.2 ,62 
年間売上高増減別（３年前）,やや(10％未満)減少,10.7 ,0.0 ,3.6 ,14.3 ,32.1 ,3.6 ,3.6 ,3.6 ,17.9 ,10.7 ,28
年間売上高増減別（３年前）,大幅(10％以上)減少,13.1 ,4.0 ,9.1 ,7.1 ,19.2 ,2.0 ,2.0 ,4.0 ,24.2 ,15.2 ,99
売上高経常利益率別,黒字,15.4 ,1.2 ,8.9 ,6.5 ,24.3 ,3.0 ,1.2 ,6.5 ,26.0 ,7.1 ,169
売上高経常利益率別,赤字,11.9 ,7.1 ,7.1 ,2.4 ,23.8 ,2.4 ,1.2 ,1.2 ,26.2 ,16.7 ,84
経常損益の変化別（３年前）,増益,10.1 ,1.4 ,8.7 ,8.7 ,26.1 ,4.3 ,0.0 ,7.2 ,29.0 ,4.3 ,69
経常損益の変化別（３年前）,横ばい,17.1 ,5.3 ,9.2 ,3.9 ,27.6 ,0.0 ,0.0 ,6.6 ,19.7 ,10.5 ,76
経常損益の変化別（３年前）,減益,17.8 ,3.4 ,6.8 ,4.2 ,22.0 ,2.5 ,2.5 ,1.7 ,25.4 ,13.6 ,118
