,,資料作成(表計算、文書作成等),財務会計,人事・労務,顧客・販売管理,仕入・在庫管理,物流管理,受発注,電子メール・企業内ＳＮＳ,企業情報の発信(ホームページやＳＮＳ等),金融サービス(資金決済、振込等),グループウェア,その他,無回答            ,  n
, 今回調査（全体）,91.8,74.2,50.6,48.9,26,8.2,43.5,84.2,54.5,54.5,38.5,4.5,0.6,462
業種別,情報・コンテンツ業,92.2,79.5,60.2,54.2,33.7,10.2,63.3,93.4,68.7,63.9,52.4,3.6,0,166
業種別,専門サービス業,94.6,73,43.9,43.2,16.2,4.1,24.3,81.1,45.3,46.6,31.1,4.1,0.7,148
業種別,技術サービス業,87.3,69.1,45.5,30.9,25.5,3.6,45.5,80,50.9,63.6,34.5,14.5,0,55
業種別,事業サービス業,89.3,69,48.8,57.1,28.6,15.5,39.3,75,46.4,45.2,27.4,1.2,2.4,84
特定10業種別,ソフトウェア業,93.4,84.6,67,51.6,33,7.7,67,96.7,71.4,65.9,57.1,2.2,0,91
特定10業種別,インターネット附随サービス業,90,75,60,60,35,20,55,90,80,70,65,5,0,20
特定10業種別,映像情報制作・配給業,100,53.8,61.5,46.2,38.5,0,53.8,100,61.5,69.2,38.5,15.4,0,13
特定10業種別,出版業,100,75,25,50,75,75,100,100,75,75,50,0,0,4
特定10業種別,税理士事務所,89.3,100,57.1,67.9,7.1,3.6,7.1,71.4,28.6,46.4,28.6,0,0,28
特定10業種別,デザイン業,92.3,53.8,7.7,0,0,0,15.4,61.5,61.5,46.2,15.4,30.8,7.7,13
特定10業種別,経営コンサルタント業,93.2,75,43.2,45.5,25,6.8,31.8,88.6,52.3,50,38.6,2.3,0,44
特定10業種別,建築設計業,84.4,68.8,53.1,37.5,21.9,3.1,50,84.4,62.5,62.5,28.1,21.9,0,32
特定10業種別,自動車整備業,87.5,62.5,12.5,62.5,37.5,0,12.5,62.5,12.5,25,0,0,0,8
特定10業種別,建物サービス業,92.9,85.7,57.1,57.1,42.9,21.4,64.3,57.1,50,42.9,28.6,0,0,14
従業者規模別,1～2人,86.3,65.6,27.5,31.3,15.3,3.8,28.2,78.6,35.9,36.6,19.1,9.2,2.3,131
従業者規模別,3～5人,95.2,70.5,49.5,48.6,18.1,6.7,41,81.9,49.5,45.7,31.4,1.9,0,105
従業者規模別,6～9人,90,74,38,52,26,8,34,72,40,60,42,2,0,50
従業者規模別,10～29人,92.8,77.1,62.7,54.2,33.7,12,55.4,92.8,69.9,66.3,50.6,2.4,0,83
従業者規模別,30人以上,95.5,87.6,80.9,66.3,41.6,13.5,61.8,93.3,80.9,76.4,60.7,4.5,0,89
業種別馬,江古田駅前交番,131202,東京都,練馬区,豊玉北１丁目,2018-07-03,12,道路上,20歳代,その他,施錠した
窃盗,自転車盗,練馬,江古田駅前交番,131202,東京都,練馬区,豊玉北１丁目,2018-07-08,10,道路上,20歳代,その他,施錠した
窃盗,自転車盗,練馬,江古田駅前交番,131202,東京都,練馬区,豊玉北１丁目,2018-08-19,13,その他の住宅（３階建て以下共同住宅等）,30歳代,その他,施錠した
窃盗,自転車盗,練馬,江古田駅前交番,131202,東京都,練馬区,豊玉北１丁目,2018-11-01,13,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠した
窃盗,自転車盗,練馬,江古田駅前交番,131202,東京都,練馬区,豊玉北１丁目,2018-11-08,10,４階建て以上共同住宅,40歳代,その他,施錠した
窃盗,自転車盗,練馬,江古田駅前交番,131202,東京都,練馬区,豊玉北２丁目,2018-09-30,18,道路上,50歳代,その他,施錠した
窃盗,自転車盗,練馬,小竹町交番,131202,東京都,練馬区,小竹町１丁目,2018-03-03,11,駐車（輪）場,10歳代,小学生,施錠した
窃盗,自転車盗,練馬,小竹町交番,131202,東京都,練馬区,小竹町１丁目,2018-05-12,23,その他の住宅（３階建て以下共同住宅等）,30歳代,その他,施錠した
窃盗,自転車盗,練馬,小竹町交番,131202,東京都,練馬区,小竹町１丁目,2018-07-12,13,道路上,20歳代,その他,施錠した
窃盗,自転車盗,練馬,小竹町交番,131202,東京都,練馬区,小竹町１丁目,2018-09-08,21,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠した
窃盗,自転車盗,練馬,小竹町交番,131202,東京都,練馬区,小竹町２丁目,2017-12-24,09,道路上,20歳代,その他,施錠した
窃盗,自転車盗,練馬,小竹町交番,131202,東京都,練馬区,小竹町２丁目,2018-01-10,16,駐車（輪）場,70歳以上,その他,施錠した
窃盗,自転車盗,練馬,小竹町交番,131202,東京都,練馬区,小竹町２丁目,2018-07-21,12,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,練馬,小竹町交番,131202,東京都,練馬区,小竹町２丁目,2018-09-15,07,４階建て以上共同住宅,20歳代,大学生,施錠した
窃盗,自転車盗,練馬,小竹町交番,131202,東京都,練馬区,小竹町２丁目,2018-11-29,08,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,練馬,小竹町交番,131202,東京都,練馬区,羽沢１丁目,2018-01-10,08,４階建て以上共同住宅,20歳代,その他,施錠した
窃盗,自転車盗,練馬,氷川台駐在所,131202,東京都,練馬区,氷川台２丁目,2018-06-30,12,道路上,10歳代,高校生,施錠した
窃盗,自転車盗,練馬,氷川台駐在所,131202,東京都,練馬区,氷川台３丁目,2018-09-28,10,駐車（輪）場,10歳代,大学生,施錠した
