表側１,表側２,表側３,回答企業数(件),都心(％),副都心(％),城東(％),城南(％),城西(％),城北(％),多摩・島しょ(％),関東（都内を除く）(％),関東以外の道府県(％),海外(％),無回答(％)
,,"今回調査
（全体）",767,18.4,3.8,18.1,3.1,1.2,0.1,1.2,11.0,20.9,17.1,5.2
,,前回調査,760,11.7,3.7,16.8,5.5,1.6,1.1,2.8,11.1,22.0,18.7,5.1
業種別,,食料品卸売業,213,21.6,2.3,18.8,3.8,1.9,0.0,1.4,11.7,21.6,12.7,4.2
業種別,,生鮮食品卸売業,91,20.9,1.1,33.0,8.8,0.0,0.0,3.3,8.8,7.7,8.8,7.7
業種別,,加工食品等卸売業,122,22.1,3.3,8.2,0.0,3.3,0.0,0.0,13.9,32.0,15.6,1.6
業種別,,衣料品関連卸売業,111,9.0,4.5,18.9,0.0,0.0,0.0,0.0,7.2,27.0,24.3,9.0
業種別,,住関連卸売業,155,25.2,3.9,7.7,4.5,1.3,0.6,2.6,10.3,18.7,18.7,6.5
業種別,,その他卸売業,270,15.9,4.8,23.0,3.3,1.1,0.0,0.7,12.2,18.9,16.7,3.3
従業者規模別,,１～５人,406,14.8,3.9,20.0,3.2,2.2,0.2,1.2,10.6,23.2,14.0,6.7
従業者規模別,,６～９人,119,23.5,2.5,21.0,2.5,0.0,0.0,1.7,6.7,13.4,23.5,5.0
従業者規模別,,10～49人,192,22.4,3.1,13.0,2.6,0.0,0.0,1.0,12.5,20.3,22.9,2.1
従業者規模別,,50人以上,28,21.4,3.6,14.3,10.7,0.0,0.0,0.0,14.3,25.0,3.6,7.1
取引形態別,一次卸,小売直取引卸,229,13.1,3.5,15.3,2.2,0.9,0.0,0.9,13.1,26.2,19.7,5.2
取引形態別,一次卸,他部門直取引卸,67,28.4,4.5,11.9,3.0,1.5,0.0,0.0,11.9,16.4,20.9,1.5
取引形態別,一次卸,元卸,127,11.0,3.9,7.9,1.6,2.4,0.0,0.0,7.9,20.5,40.2,4.7
取引形態別,二次卸,中間卸,93,22.6,2.2,26.9,5.4,2.2,0.0,2.2,8.6,19.4,5.4,5.4
取引形態別,二次卸,最終卸,131,25.2,4.6,28.2,6.1,0.0,0.8,2.3,11.5,15.3,3.1,3.1
取引形態別,その他,製造問屋,20,20.0,5.0,35.0,0.0,0.0,0.0,0.0,10.0,20.0,5.0,5.0
取引形態別,その他,その他卸,65,20.0,6.2,16.9,3.1,1.5,0.0,3.1,10.8,16.9,10.8,10.8
所在地別,,都心,183,26.8,1.6,7.7,1.6,0.0,0.0,0.5,7.7,24.0,26.8,3.3
所在地別,,副都心,115,15.7,11.3,13.9,0.9,0.9,0.0,0.9,7.8,23.5,22.6,2.6
所在地別,,城東,218,14.2,3.2,37.6,0.5,0.5,0.5,0.0,10.1,17.4,10.1,6.0
所在地別,,城南,64,21.9,0.0,14.1,14.1,1.6,0.0,0.0,10.9,21.9,15.6,0.0
所在地別,,城西,71,18.3,1.4,5.6,4.2,5.6,0.0,0.0,15.5,21.1,18.3,9.9
所在地別,,城北,28,7.1,10.7,25.0,0.0,3.6,0.0,0.0,21.4,10.7,14.3,7.1
所在地別,,多摩,80,16.3,2.5,8.8,8.8,1.3,0.0,8.8,15.0,22.5,6.3,10.0
