,,増益,増益,増益,横ばい,横ばい,減益,減益,減益,,
,,黒字が拡大(%) ,赤字から黒字に転換(%) ,赤字だが損失額は減少(%) ,黒字でほぼ横ばい(%) ,赤字でほぼ横ばい(%) ,黒字だが利益額は減少(%) ,黒字から赤字に転落(%) ,赤字が拡大(%) ,無回答(%) ,n(件) 
,今回調査（全体）,4.9,3.6,6.1,12.1,14.5,23.6,16.2,17.1,1.7,2509
業種別,食品・飲料,7.7,6.4,9,10.3,15.4,17.9,16.7,16.7,0,78
業種別,衣料・身の回り品,4,0.4,4,8,15.6,23.2,12.9,29.9,1.8,224
業種別,住宅・建物,1.7,4.1,9.1,8.3,15.7,33.9,10.7,16.5,0,121
業種別,紙・印刷,2.6,3.2,6,8.2,15.6,24.6,16.6,20.8,2.2,499
業種別,材料・部品[非金属] ,7.4,6.2,5.4,14.7,13.2,23.6,13.6,12,3.9,258
業種別,材料・部品[金属] ,3.9,2,5.8,12.1,16.5,21.5,21.2,16.1,0.9,539
業種別,一般・精密機械,8.1,3.8,5.2,20.4,11.4,22.3,15.6,12.1,1.2,422
業種別,電機・電子,9.1,6.4,8.6,15.5,10.7,22.5,13.9,11.2,2.1,187
業種別,その他,1.2,5.4,7.2,5.4,17.4,28.1,13.8,21,0.6,167
従業者規模別,1～3人,1.5,2.7,6.7,9.4,19.4,23.9,12.3,22.1,1.9,1143
従業者規模別,4～9人,3.4,4.2,7.3,12.3,13.9,21.1,20.3,16,1.5,674
従業者規模別,10～20人,9,5.2,5.5,11.4,6.9,24.5,21.7,13.8,2.1,290
従業者規模別,21～50人,11.6,5.1,4.2,21.9,4.7,25.1,18.6,7.9,0.9,215
従業者規模別,51～99人,18.2,3.9,0,22.1,3.9,36.4,14.3,1.3,0,77
従業者規模別,100人以上,27.8,1.9,0,24.1,3.7,25.9,13,3.7,0,54
業務展開の最も大きな変化別,変化はない,4.4,3.3,5.8,12.5,15.4,24.7,15.8,16.5,1.6,2093
業務展開の最も大きな変化別,現状の業務の周辺分野へ展開,8.3,5.6,7.2,12.8,8.9,23.3,18.9,15,0,180
業務展開の最も大きな変化別,最終製品の製造に着手,10,6,14,6,14,14,14,20,2,50
業務展開の最も大きな変化別,製造業から他業種(流通・ｻｰﾋﾞｽ業等)へ展開,14.7,5.9,2.9,11.8,5.9,20.6,17.6,20.6,0,34
業務展開の最も大きな変化別,その他,6.5,6.5,7.5,6.5,8.6,16.1,22.6,24.7,1.1,93
