,,保有している(%)   ,現在開発中(%) ,開発していない(%) ,開発したいができない(%) ,開発していたが止めてしまった(%)  ,無回答(%) ,n(件) 
,今回調査（全体）,25.3,3,62.2,4.4,2.3,2.8,2527
業種別,食品・飲料,60.8,3.8,29.1,2.5,1.3,2.5,79
業種別,衣料・身の回り品,26.5,3.1,53.5,5.8,3.1,8,226
業種別,住宅・建物,18.9,3.3,74.6,2.5,0.8,0,122
業種別,紙・印刷,10.8,2.2,76.9,5.4,1.4,3.4,502
業種別,材料・部品[非金属] ,35,1.9,53.8,4.2,1.9,3.1,260
業種別,材料・部品[金属] ,14.9,2.2,75.8,3,1.8,2.2,542
業種別,一般・精密機械,33.9,3.1,53.6,5.6,2.6,1.2,425
業種別,電機・電子,43.3,3.2,43.9,4.3,4.3,1.1,187
業種別,その他,32.4,8.2,48.2,3.5,4.7,2.9,170
従業者規模別,1～3人,13.9,2.7,75.2,3.1,2.3,2.9,1155
従業者規模別,4～9人,27,3.1,59.3,5.2,2.1,3.4,675
従業者規模別,10～20人,38.4,2.1,45.5,7.2,3.1,3.8,292
従業者規模別,21～50人,45.8,4.6,43.1,3.7,2.3,0.5,216
従業者規模別,51～99人,55.8,1.3,32.5,7.8,2.6,0,77
従業者規模別,100人以上,55.4,8.9,30.4,3.6,1.8,0,56
売上高増減別(感染症発生前後),増加,47.5,5.6,40.2,1.7,1.7,3.4,179
売上高増減別(感染症発生前後),横ばい,28.6,2.9,61.3,4,1.8,1.5,455
売上高増減別(感染症発生前後),減少,22.5,2.8,64.4,4.8,2.5,3.1,1852
