,,マンネリ化してしまった (%),積極的に取り組む人がいない(%),継続することが負担である(%)     ,効果が感じられない(%),取組方法がわからない(%),従業員がいない(%),必要性を感じていない(%),その他(%),特になし(%),無回答(%),n(件)
,今回調査（全体）,10.8,17.1,6.2,10.4,4.4,31.7,30.9,2.8,12.4,2.5,1237
業種別,食品・飲料,19.4,25.8,12.9,0,0,22.6,12.9,3.2,19.4,3.2,31
業種別,衣料・身の回り品,11.7,13.9,2.9,10.9,2.2,30.7,30.7,3.6,15.3,2.2,137
業種別,住宅・建物,9.4,7.8,12.5,9.4,1.6,28.1,40.6,0,9.4,1.6,64
業種別,紙・印刷,11.7,19.6,7.9,12.1,6,29.8,29.1,3.4,11.7,3,265
業種別,材料・部品[非金属] ,9.1,25.5,4.5,7.3,6.4,20,40,2.7,15.5,2.7,110
業種別,材料・部品[金属] ,11.3,12.3,4.9,11.6,4.9,33.8,32.4,2.8,10.9,2.8,284
業種別,一般・精密機械,9.8,19.1,7.1,7.1,4.4,37.2,29,2.7,11.5,2.2,183
業種別,電機・電子,10.4,23.9,3,14.9,4.5,23.9,25.4,4.5,17.9,0,67
業種別,その他,4.4,14.3,6.6,12.1,2.2,47.3,26.4,1.1,9.9,3.3,91
従業者規模別,1～3人,7.2,7.7,5.1,10.6,3.5,40.4,33.1,2.8,12.7,2.7,830
従業者規模別,4～9人,16.2,33.8,6.8,9.7,5.4,12.9,28.8,2.5,14,2.5,278
従業者規模別,10～20人,19.7,53,10.6,12.1,6.1,9.1,18.2,4.5,9.1,1.5,66
従業者規模別,21～50人,39.3,50,14.3,10.7,10.7,0,17.9,7.1,3.6,3.6,28
従業者規模別,51～99人,16.7,50,16.7,33.3,16.7,16.7,0,0,0,0,6
従業者規模別,100人以上,50,0,50,0,0,0,50,0,0,0,2
売上高増減別(感染症発生前後),増加,8.9,26.8,12.5,7.1,7.1,21.4,32.1,7.1,8.9,3.6,56
売上高増減別(感染症発生前後),横ばい,8.1,11.5,3.3,10,3.8,30.1,36.4,4.8,12.4,1.4,209
売上高増減別(感染症発生前後),減少,11.3,17.5,6.3,10.7,4.3,32.7,29.8,2.2,12.6,2.7,952
