,訪問した,訪問しなかった,合計,標本数,,,,
全体 ,88.0 ,12.0 ,100,"15,132",,,,
韓国,87.3 ,12.7 ,100,"3,101",,,,
台湾 ,93.6 ,6.4 ,100,"3,072",,,,
中国,89.3 ,10.7 ,100,"2,930",,,,
香港,93.2 ,6.8 ,100,"1,076",,,,
タイ,88.7 ,11.3 ,100,728,,,,
シンガポール ,88.1 ,11.9 ,100,249,,,,
マレーシア,79.7 ,20.3 ,100,266,,,,
米国 ,72.9 ,27.1 ,100,952,,,,
カナダ,74.4 ,25.6 ,100,201,,,,
英国,86.7 ,13.3 ,100,237,,,,
ドイツ ,83.3 ,16.7 ,100,152,,,,
フランス ,82.9 ,17.1 ,100,193,,,,
イタリア,88.4 ,11.6 ,100,88,,,,
スペイン,93.7 ,6.3 ,100,68,,,,
オーストラリア ,87.6 ,12.4 ,100,333,,,,
インド,75.1 ,24.9 ,100,95,,,,
インドネシア,82.3 ,17.7 ,100,175,,,,
フィリピン ,78.2 ,21.8 ,100,217,,,,
ベトナム,81.9 ,18.1 ,100,144,,,,
ロシア,74.5 ,25.5 ,100,65,,,,
その他,91.2 ,8.8 ,100,790,,,,
