区分,集計企業数（社）,支給あり（社）,支給あり／一律支給（社）,支給あり／家族により異なる（社）,支給あり／家族により異なる／制限あり（社）,支給あり／家族により異なる／制限なし（社）,支給あり／家族により異なる／無回答（社）,支給あり／無回答（社）,支給なし（社）,無回答（社）
調査産業計,1012,499,29,465,174,283,8,5,509,4
建設業,85,55,-,55,17,36,2,-,30,-
製造業,274,183,9,172,72,98,2,2,90,1
情報通信業,50,23,-,22,1,21,-,1,27,-
運輸業，郵便業,55,23,4,19,8,11,-,-,31,1
卸売業，小売業,195,88,6,82,33,48,1,-,107,-
金融業，保険業,43,10,-,10,7,3,-,-,33,-
不動産業，物品賃貸業,30,10,1,8,-,7,1,1,20,-
学術研究，専門・技術サービス業,58,24,2,22,9,13,-,-,34,-
宿泊業，飲食サービス業,49,10,1,9,7,2,-,-,37,2
生活関連サービス業，娯楽業,33,11,-,11,4,7,-,-,22,-
教育，学習支援業(学校教育を除く）,32,13,2,10,4,5,1,1,19,-
医療，福祉,43,9,1,8,2,5,1,-,34,-
サービス業（他に分類されないもの）,65,40,3,37,10,27,-,-,25,-
10～49人,642,290,23,263,96,163,4,4,348,4
50～99人,225,122,4,117,49,66,2,1,103,-
100～299人,145,87,2,85,29,54,2,-,58,-
