学歴,年齢区分,男性／集計人員数（人）,男性／平均勤続年数（年）,男性／７月の所定時間内賃金（円）,男性／令和3年年間給与支払額（円）,女性／集計人員数（人）,女性／平均勤続年数（年）,女性／７月の所定時間内賃金（円）,女性／令和3年年間給与支払額（円）
学歴計,～17歳,-,-,-,-,-,-,-,-
学歴計,18～19歳,65,0.5,192036,2205989,6,0.5,187203,-
学歴計,20～21歳,163,1.4,204008,3429021,78,0.7,199874,2644852
学歴計,22～24歳,754,1.8,222961,3516578,547,1.1,227057,3135784
学歴計,25～29歳,1505,3.8,259644,4242104,1140,3.3,248364,3862038
学歴計,30～34歳,1483,5.8,293354,4790891,926,5.3,265026,4159575
学歴計,35～39歳,1121,8.1,325426,5188401,621,7.9,290064,4420757
学歴計,40～44歳,1034,10.4,335621,5310910,703,10.5,291356,4486567
学歴計,45～49歳,1165,12.2,337189,5296320,760,11.8,295601,4613854
学歴計,50～54歳,1150,14.6,350292,5369703,560,14.5,321993,5090706
学歴計,55～59歳,903,15.7,345476,5229096,415,17.6,316498,4976689
学歴計,60歳以上,725,14,312907,4349580,130,16.4,274182,4005785
中学卒,～17歳,-,-,-,-,-,-,-,-
中学卒,18～19歳,-,-,-,-,-,-,-,-
中学卒,20～21歳,1,x,x,x,-,-,-,-
中学卒,22～24歳,3,x,x,x,1,x,x,x
中学卒,25～29歳,9,1.8,319781,4075240,1,x,x,x
中学卒,30～34歳,26,7.2,336638,5198633,1,x,x,x
中学卒,35～39歳,24,10.9,353173,5204000,-,-,-,-
中学卒,40～44歳,17,9.2,319787,5375587,4,x,x,x
中学卒,45～49歳,35,12.7,330345,4843823,5,5,255490,3538280
中学卒,50～54歳,45,17.8,354373,5411036,4,x,x,x
中学卒,55～59歳,25,15.2,305131,5470672,6,25,215651,3234800
中学卒,60歳以上,30,14.6,263773,3792007,2,x,x,x
高校卒,18～19歳,61,0.6,191416,2205989,6,0.5,187203,-
高校卒,20～21歳,100,2,204677,3440213,22,1.7,189885,2630475
高校卒,22～24歳,170,4.1,211441,3871375,45,2.9,204542,2830876
高校卒,25～29歳,267,5.9,247228,4189558,93,4.6,232256,3412765
高校卒,30～34歳,293,8.4,282017,4727481,101,6.2,247872,3825132
高校卒,35～39歳,266,9.4,301123,4847996,79,8.2,249735,3860908
高校卒,40～44歳,326,11.1,317036,4928250,116,11.4,264175,4009633
高校卒,45～49歳,420,12.4,313769,4895623,185,12.6,266327,4170378
高校卒,50～54歳,512,14.7,315800,4815291,188,16.2,288889,4584059
高校卒,55～59歳,409,14.9,323775,4717770,157,18.9,282100,4434318
高校卒,60歳以上,357,14.5,289879,3912812,61,17,268215,3801245
高専・短大卒,18～19歳,2,x,x,x,-,-,-,-
高専・短大卒,20～21歳,11,0.4,203609,3830200,13,0.1,212515,-
高専・短大卒,22～24歳,30,2.2,213634,3531770,20,1.9,235958,3229769
高専・短大卒,25～29歳,40,3.8,241053,3850894,43,3.6,240280,3433726
高専・短大卒,30～34歳,28,6.7,266113,4329817,45,7.1,227092,3491541
高専・短大卒,35～39歳,37,8.9,278833,4551377,54,9.6,250249,4004088
高専・短大卒,40～44歳,21,9,318481,5462524,113,11.3,275179,4343774
高専・短大卒,45～49歳,65,15.5,306616,5222375,140,12.3,295926,4587379
高専・短大卒,50～54歳,33,13.2,308300,5387145,94,14.1,308974,4734901
高専・短大卒,55～59歳,33,12.4,279502,4477971,74,15.9,325632,5012088
高専・短大卒,60歳以上,31,16,273150,3987276,13,15.1,281664,3876838
専門学校卒,20～21歳,47,0.4,194171,2378150,36,0.4,204166,2690860
専門学校卒,22～24歳,109,1.9,217764,3153127,56,2,227541,3070018
専門学校卒,25～29歳,200,4.3,234273,3915847,125,3.8,239464,3539497
専門学校卒,30～34歳,141,5.1,269557,4448518,106,5.9,254370,4003108
専門学校卒,35～39歳,153,6.9,318191,4791371,82,7.3,261791,3935862
専門学校卒,40～44歳,175,11.9,322685,5325880,83,9.4,287908,4371756
専門学校卒,45～49歳,201,12.7,325970,5156212,112,13.9,294968,4594797
専門学校卒,50～54歳,139,15.7,329270,5253939,91,13.9,281007,4600867
専門学校卒,55～59歳,120,20.3,326963,5083497,54,15.3,262607,4248917
専門学校卒,60歳以上,71,12.8,315127,4201784,15,14.6,251269,3268893
大学卒,20～21歳,-,-,-,-,1,x,x,x
大学卒,22～24歳,432,0.8,229431,3365424,421,0.8,229264,3250809
大学卒,25～29歳,958,3.1,267177,4376850,864,3.1,252253,3983132
大学卒,30～34歳,916,5.1,301895,4918538,639,4.9,273839,4311015
大学卒,35～39歳,608,7.8,342709,5533951,383,7.6,310744,4685016
大学卒,40～44歳,456,9.8,356147,5617445,353,10.2,307564,4739223
大学卒,45～49歳,384,11.8,373877,5939960,289,10.2,315473,4948698
大学卒,50～54歳,355,14.2,418683,6394325,170,13.1,392865,6251603
大学卒,55～59歳,281,15.5,400423,6173698,104,18.8,404256,6400840
大学卒,60歳以上,186,14.2,369146,5543242,29,18.3,325810,5289235
