区分,集計企業数（社）,総計／総計（人）,総計／男性（人）,総計／女性（人）,正社員計／小計（人）,正社員計／男性（人）,正社員計／女性（人）,役付者／小計（人）,役付者／男性（人）,役付者／女性（人）,一般労働者（正社員）／小計（人）,一般労働者（正社員）／男性（人）,一般労働者（正社員）／女性（人）,非正社員計／小計（人）,非正社員計／男性（人）,非正社員計／女性（人）,契約社員等／小計（人）,契約社員等／男性（人）,契約社員等／女性（人）,パート・アルバイト／小計（人）,パート・アルバイト／男性（人）,パート・アルバイト／女性（人）,嘱託・再雇用／小計（人）,嘱託・再雇用／男性（人）,嘱託・再雇用／女性（人）,その他／小計（人）,その他／男性（人）,その他／女性（人）,直接雇用以外の労働者計／小計（人）,直接雇用以外の労働者計／男性（人）,直接雇用以外の労働者計／女性（人）,派遣労働者／小計（人）,派遣労働者／男性（人）,派遣労働者／女性（人）,業務委託等労働者／小計（人）,業務委託等労働者／男性（人）,業務委託等労働者／女性（人）
調査産業計,876,39034,22861,16173,25801,17543,8258,7833,6216,1617,17968,11327,6641,10978,4349,6629,2490,1368,1122,7185,1963,5222,1180,947,233,123,71,52,2255,969,1286,1214,365,849,1041,604,437
労組有,63,3262,2308,954,2390,1894,496,813,692,121,1577,1202,375,697,354,343,88,57,31,448,157,291,151,132,19,10,8,2,175,60,115,120,17,103,55,43,12
労組無,813,35772,20553,15219,23411,15649,7762,7020,5524,1496,16391,10125,6266,10281,3995,6286,2402,1311,1091,6737,1806,4931,1029,815,214,113,63,50,2080,909,1171,1094,348,746,986,561,425
建設業,71,4151,3326,825,3356,2788,568,942,849,93,2414,1939,475,722,497,225,164,138,26,428,240,188,121,110,11,9,9,-,73,41,32,45,23,22,28,18,10
製造業,207,7247,4603,2644,5319,3796,1523,1842,1568,274,3477,2228,1249,1721,717,1004,465,242,223,922,194,728,322,270,52,12,11,1,207,90,117,144,52,92,63,38,25
情報通信業,58,4989,3267,1722,3866,2718,1148,1033,825,208,2833,1893,940,634,280,354,322,144,178,162,48,114,140,79,61,10,9,1,489,269,220,225,87,138,264,182,82
運輸業，郵便業,42,2363,1792,571,1434,1237,197,295,251,44,1139,986,153,790,503,287,260,202,58,430,210,220,89,83,6,11,8,3,139,52,87,102,20,82,37,32,5
卸売業，小売業,180,5226,2776,2450,3460,2151,1309,1027,750,277,2433,1401,1032,1632,583,1049,350,169,181,1122,297,825,133,110,23,27,7,20,134,42,92,59,15,44,75,27,48
金融業，保険業,27,2574,1528,1046,1861,1121,740,866,661,205,995,460,535,286,210,76,121,75,46,20,9,11,145,126,19,-,-,-,427,197,230,184,39,145,243,158,85
不動産業，物品賃貸業,16,2306,856,1450,1074,689,385,316,240,76,758,449,309,1188,164,1024,95,61,34,1067,83,984,24,19,5,2,1,1,44,3,41,41,2,39,3,1,2
学術研究，専門・技術サービス業,57,2159,1033,1126,1692,835,857,491,321,170,1201,514,687,314,143,171,123,63,60,150,48,102,41,32,9,-,-,-,153,55,98,96,18,78,57,37,20
宿泊業，飲食サービス業,43,1854,750,1104,603,366,237,148,123,25,455,243,212,1241,381,860,137,57,80,1085,311,774,16,11,5,3,2,1,10,3,7,6,-,6,4,3,1
生活関連サービス業，娯楽業,34,932,429,503,661,370,291,242,164,78,419,206,213,252,52,200,40,14,26,186,23,163,24,13,11,2,2,-,19,7,12,12,3,9,7,4,3
教育，学習支援業(学校教育を除く）,30,1365,595,770,515,243,272,126,84,42,389,159,230,625,251,374,92,44,48,512,194,318,10,7,3,11,6,5,225,101,124,11,1,10,214,100,114
医療，福祉,57,2005,571,1434,799,305,494,173,97,76,626,208,418,903,159,744,146,27,119,730,129,601,8,2,6,19,1,18,303,107,196,260,104,156,43,3,40
サービス業（他に分類されないもの）,54,1863,1335,528,1161,924,237,332,283,49,829,641,188,670,409,261,175,132,43,371,177,194,107,85,22,17,15,2,32,2,30,29,1,28,3,1,2
10 ～ 49人,585,17128,9058,8070,10299,6803,3496,2962,2229,733,7337,4574,2763,6096,1955,4141,1125,538,587,4464,1048,3416,433,335,98,74,34,40,733,300,433,490,169,321,243,131,112
50 ～ 99人,188,11683,7197,4486,7944,5524,2420,2257,1812,445,5687,3712,1975,2690,1201,1489,752,407,345,1520,480,1040,372,278,94,46,36,10,1049,472,577,439,109,330,610,363,247
100 ～ 299人,103,10223,6606,3617,7558,5216,2342,2614,2175,439,4944,3041,1903,2192,1193,999,613,423,190,1201,435,766,375,334,41,3,1,2,473,197,276,285,87,198,188,110,78
