区分,高校卒（円）,高専・短大卒（円）,専門学校卒（円）,大学卒（円）
調査産業計,198421,208701,209953,222005
建設業,216734,233178,232262,238671
製造業,188336,200162,200448,214449
情報通信業,209096,217921,217074,231106
運輸業，郵便業,199836,207667,209880,215566
卸売業，小売業,195177,202505,205180,219389
金融業，保険業,210788,221013,221063,238064
不動産業，物品賃貸業,222414,217017,217017,243792
学術研究，専門・技術サービス業,212000,217556,217682,235303
宿泊業，飲食サービス業,207635,214993,213493,220263
生活関連サービス業，娯楽業,192830,204730,204072,214723
教育，学習支援業（学校教育を除く）,198159,203194,202750,204613
医療，福祉,201617,218347,224503,227941
サービス業（他に分類されないもの）,189694,197796,200622,213256
