順位(位),若者全体,若者全体(件)/(7956件),20歳未満,20歳未満(件)/(1494件),20～24歳,20～24歳(件)/（3030件）,25～29歳,25～29歳(件)/(3436件),
1,インターネット通販,3196,インターネット通販,963,インターネット通販,1068,インターネット通販,1165,
2,解約一般,2367,未成年者契約,794,解約一般,959,解約一般,1086,
3,不当請求＊,1918,不当請求＊,709,不当請求＊,631,返金,621,
4,ポルノ・風俗,1389,ポルノ・風俗,613,返金,501,不当請求＊,578,
5,返金,1272,解約一般,322,高価格・料金,490,高価格・料金,456,
6,高価格・料金,1207,高価格・料金,261,ポルノ・風俗,423,契約書・書面一般,390,
7,未成年者契約,809,返金,150,電子広告,305,ポルノ・風俗,353,
8,電子広告,755,電子広告,116,契約書・書面一般,285,説明不足,346,
9,契約書・書面一般,739,クレジットカード,97,連絡不能,254,電子広告,334,
10,説明不足,627,強引,95,詐欺,239,約束不履行,284,
,,,,,,,,,＊は上位キーワードで集計したもの
,,,,,,,,,(複数選択項目)
