区分,ｎ(団体数),(1)防犯パトロール１回当り参加人数／５名以下(%),(1)防犯パトロール１回当り参加人数／６～10名(%),(1)防犯パトロール１回当り参加人数／11～15名(%),(1)防犯パトロール１回当り参加人数／16～20名(%),(1)防犯パトロール１回当り参加人数／21名以上(%),(1)防犯パトロール１回当り参加人数／無回答(%),ｎ(団体数),（２）１ヶ月の平均的な活動日数／毎日（月30日以上）(%),（２）１ヶ月の平均的な活動日数／月に20～29日(%),（２）１ヶ月の平均的な活動日数／月に10～19日(%),（２）１ヶ月の平均的な活動日数／月に２～９日(%),（２）１ヶ月の平均的な活動日数／月に１日(%),（２）１ヶ月の平均的な活動日数／不定期(%),（２）１ヶ月の平均的な活動日数／無回答(%)
全体,948,25.1,34.9,12,11.4,10.7,5.9,1034,6,7.7,6.2,35.5,13.6,23,7.9
区市町村／千代田区,9,11.1,33.3,33.3,11.1,0,11.1,13,0,0,0,23.1,38.5,30.8,7.7
区市町村／中央区,5,20,60,0,20,0,0,6,0,0,0,16.7,16.7,50,16.7
区市町村／港区,12,25,41.7,0,0,33.3,0,13,0,0,0,23.1,15.4,61.5,0
区市町村／新宿区,15,26.7,40,0,20,6.7,6.7,17,5.9,0,5.9,52.9,5.9,17.6,11.8
区市町村／文京区,21,23.8,42.9,14.3,4.8,0,14.3,25,4,12,0,16,20,32,16
区市町村／台東区,14,21.4,42.9,14.3,0,14.3,7.1,16,6.3,6.3,6.3,12.5,43.8,12.5,12.5
区市町村／墨田区,36,16.7,25,13.9,22.2,16.7,5.6,37,0,2.7,2.7,40.5,29.7,24.3,0
区市町村／江東区,47,19.1,42.6,14.9,8.5,10.6,4.3,49,2,2,4.1,40.8,24.5,16.3,10.2
区市町村／品川区,25,24,32,4,20,20,0,27,0,14.8,0,44.4,11.1,22.2,7.4
区市町村／目黒区,6,33.3,16.7,16.7,0,16.7,16.7,7,14.3,0,0,14.3,28.6,28.6,14.3
区市町村／大田区,50,24,36,16,8,10,6,53,13.2,7.5,9.4,32.1,9.4,20.8,7.5
区市町村／世田谷区,42,33.3,21.4,7.1,19,16.7,2.4,44,15.9,4.5,9.1,38.6,9.1,18.2,4.5
区市町村／渋谷区,23,17.4,43.5,13,17.4,8.7,0,24,8.3,4.2,4.2,45.8,16.7,12.5,8.3
区市町村／中野区,26,26.9,50,3.8,7.7,3.8,7.7,32,3.1,3.1,3.1,59.4,3.1,18.8,9.4
区市町村／杉並区,72,26.4,40.3,9.7,12.5,5.6,5.6,75,12,13.3,6.7,45.3,9.3,9.3,4
区市町村／豊島区,11,45.5,18.2,18.2,0,18.2,0,12,0,16.7,25,50,8.3,0,0
区市町村／北区,10,50,20,20,0,10,0,10,0,10,0,60,0,30,0
区市町村／荒川区,24,12.5,45.8,16.7,20.8,4.2,0,26,7.7,0,3.8,3.8,3.8,65.4,15.4
区市町村／板橋区,42,19,35.7,16.7,14.3,14.3,0,46,2.2,8.7,2.2,39.1,13,26.1,8.7
区市町村／練馬区,21,38.1,4.8,14.3,4.8,19,19,22,13.6,13.6,9.1,36.4,4.5,9.1,13.6
区市町村／足立区,61,19.7,37.7,11.5,13.1,14.8,3.3,65,3.1,3.1,4.6,26.2,27.7,29.2,6.2
区市町村／葛飾区,14,28.6,35.7,0,0,14.3,21.4,17,0,0,5.9,35.3,0,41.2,17.6
区市町村／江戸川区,15,6.7,40,13.3,0,20,20,18,0,22.2,5.6,27.8,5.6,38.9,0
区市町村／八王子市,43,32.6,30.2,9.3,7,7,14,46,8.7,6.5,8.7,32.6,21.7,10.9,10.9
区市町村／立川市,12,25,33.3,16.7,0,16.7,8.3,17,5.9,35.3,11.8,11.8,5.9,23.5,5.9
区市町村／武蔵野市,11,27.3,18.2,18.2,18.2,18.2,0,12,0,8.3,8.3,16.7,25,41.7,0
区市町村／三鷹市,4,50,25,0,25,0,0,5,0,0,0,80,20,0,0
区市町村／青梅市,13,76.9,0,0,7.7,7.7,7.7,17,29.4,5.9,11.8,17.6,0,23.5,11.8
区市町村／府中市,19,10.5,36.8,21.1,15.8,10.5,5.3,21,4.8,0,14.3,28.6,14.3,28.6,9.5
区市町村／昭島市,17,11.8,58.8,5.9,5.9,17.6,0,17,0,0,5.9,17.6,11.8,64.7,0
区市町村／調布市,16,25,25,18.8,18.8,6.3,6.3,19,5.3,5.3,0,31.6,15.8,21.1,21.1
区市町村／町田市,58,24.1,34.5,13.8,13.8,8.6,5.2,60,3.3,6.7,6.7,56.7,11.7,13.3,1.7
区市町村／小金井市,8,25,12.5,12.5,12.5,12.5,25,10,20,0,10,10,10,30,20
区市町村／小平市,3,33.3,33.3,0,0,0,33.3,4,0,0,0,0,0,75,25
区市町村／日野市,3,66.7,0,33.3,0,0,0,3,0,33.3,0,66.7,0,0,0
区市町村／東村山市,24,37.5,41.7,8.3,4.2,4.2,4.2,24,8.3,25,4.2,33.3,4.2,20.8,4.2
区市町村／国分寺市,5,20,40,20,0,20,0,5,0,20,0,40,0,20,20
区市町村／国立市,1,100,0,0,0,0,0,2,0,0,50,0,0,0,50
区市町村／福生市,11,9.1,54.5,9.1,18.2,9.1,0,11,0,0,0,54.5,27.3,18.2,0
区市町村／狛江市,2,50,0,50,0,0,0,2,0,0,0,50,50,0,0
区市町村／東大和市,12,25,16.7,33.3,16.7,8.3,0,15,6.7,0,20,26.7,6.7,26.7,13.3
区市町村／清瀬市,7,28.6,57.1,14.3,0,0,0,10,0,20,0,50,0,10,20
区市町村／東久留米市,1,0,0,0,100,0,0,1,0,0,0,100,0,0,0
区市町村／武蔵村山市,9,22.2,44.4,11.1,11.1,0,11.1,10,10,0,30,40,0,0,20
区市町村／多摩市,6,33.3,16.7,16.7,16.7,0,16.7,6,0,0,16.7,50,0,16.7,16.7
区市町村／稲城市,13,7.7,30.8,0,15.4,38.5,7.7,13,7.7,0,0,46.2,15.4,30.8,0
区市町村／羽村市,3,66.7,33.3,0,0,0,0,3,0,0,33.3,0,0,33.3,33.3
区市町村／あきる野市,20,20,45,15,10,5,5,21,0,33.3,9.5,23.8,9.5,19,4.8
区市町村／西東京市,4,0,25,25,25,0,25,4,0,25,0,25,0,50,0
区市町村／瑞穂町,5,20,60,0,20,0,0,5,0,0,0,60,20,0,20
区市町村／日の出町,16,43.8,43.8,6.3,0,0,6.3,16,6.3,12.5,6.3,31.3,6.3,31.3,6.3
区市町村／檜原村,1,0,0,0,100,0,0,1,100,0,0,0,0,0,0
