質問,n,すべてのポスターを一枚一枚よく見た(%),すべてのポスターをざっと見た(%),関心のある候補者のポスターしか見なかった(%),ほとんど見なかった(%),わからない、忘れた(%),無回答(%),見た(計)(%)
全体,(2011),5.1,41.2,12.7,35.2,5.4,0.4,59.0
性別男性,(950),5.8,40.9,13.7,33.6,5.7,0.3,60.4
性別女性,(1061),4.4,41.5,11.8,36.6,5.2,0.6,57.7
年齢別20歳代,(295),1.0,21.7,9.2,60.0,7.8,0.3,31.9
年齢別30歳代,(355),3.9,36.3,13.8,40.8,4.2,0.8,54.1
年齢別40歳代,(398),4.0,46.0,11.8,31.9,5.5,0.8,61.8
年齢別50歳代,(293),6.5,46.4,12.6,30.0,4.4,0,65.5
年齢別60歳代,(327),6.1,53.5,13.8,22.0,4.3,0.3,73.4
年齢別70歳代,(232),8.6,44.0,15.5,25.9,5.6,0.4,68.1
年齢別80歳以上,(90),10.0,34.4,11.1,34.4,10.0,0,55.6
