質問,n,テレビ・ラジオの選挙報道(%),新聞・雑誌などの選挙報道(%),選挙公報(%),候補者等のポスター(%),候補者等の街頭演説(%),投票所入場(整理)券(%),候補者の新聞広告(%),区市町村の広報車(%)
全体,(2011),82.6,53.4,38.5,37.6,13.6,11.5,9.0,7.1
性別男性,(950),81.8,55.3,38.9,36.5,13.1,11.2,9.2,6.2
性別女性,(1061),83.4,51.6,38.1,38.6,14.0,11.8,8.9,7.9
年齢別20歳代,(295),75.6,23.4,11.5,26.1,13.2,5.8,4.4,6.4
年齢別30歳代,(355),81.4,43.1,32.1,40.3,15.5,11.8,6.5,7.3
年齢別40歳代,(398),83.7,55.0,39.4,40.2,16.1,13.6,9.0,7.8
年齢別50歳代,(293),85.7,63.5,50.9,44.0,14.7,15.7,15.7,6.5
年齢別60歳代,(327),87.2,67.9,50.2,42.2,11.0,11.9,11.3,8.3
年齢別70歳代,(232),80.6,66.8,48.3,36.6,12.1,9.9,7.3,5.2
年齢別80歳以上,(90),83.3,61.1,37.8,21.1,5.6,8.9,5.6,5.6
