,調査数,候補者等のホームページ・ブログ,候補者等のツイッター・フェイスブック等のＳＮＳ,候補者等からのメール,YouTubeなど動画共有サイトでの選挙関連の動画,候補者以外のホームページ・ブログ,候補者以外のツイッター・フェイスブック等のＳＮＳ,ニュースサイトや選挙情報サイト,まとめサイトや電子掲示板などその他のサイト,その他,わからない、忘れた
全体,197,85,37,5,31,37,29,137,42,2,3
全体,100.0,43.1,18.8,2.5,15.7,18.8,14.7,69.5,21.3,1.0,1.5
性別男性,108,50,21,4,16,24,17,79,26,-,1
性別男性,100.0,46.3,19.4,3.7,14.8,22.2,15.7,73.1,24.1,-,0.9
性別女性,89,35,16,1,15,13,12,58,16,2,2
性別女性,100.0,39.3,18.0,1.1,16.9,14.6,13.5,65.2,18.0,2.2,2.2
年齢20歳代,23,8,1,-,2,7,4,16,10,-,-
年齢20歳代,100.0,34.8,4.3,-,8.7,30.4,17.4,69.6,43.5,-,-
年齢30歳代,56,25,13,1,12,10,12,42,14,1,-
年齢30歳代,100.0,44.6,23.2,1.8,21.4,17.9,21.4,75.0,25.0,1.8,-
年齢40歳代,56,20,10,-,4,10,7,45,11,-,1
年齢40歳代,100.0,35.7,17.9,-,7.1,17.9,12.5,80.4,19.6,-,1.8
年齢50歳代,32,13,9,3,10,6,3,18,6,-,1
年齢50歳代,100.0,40.6,28.1,9.4,31.3,18.8,9.4,56.3,18.8,-,3.1
年齢60歳代,22,14,2,-,2,3,3,13,1,1,1
年齢60歳代,100.0,63.6,9.1,-,9.1,13.6,13.6,59.1,4.5,4.5,4.5
年齢70歳代,6,4,1,1,1,1,-,1,-,-,-
年齢70歳代,100.0,66.7,16.7,16.7,16.7,16.7,-,16.7,-,-,-
年齢80歳以上,1,1,1,-,-,-,-,1,-,-,-
年齢80歳以上,100.0,100.0,100.0,-,-,-,-,100.0,-,-,-
性／年齢別男性20歳代,14,5,1,-,2,4,2,11,7,-,-
性／年齢別男性20歳代,100.0,35.7,7.1,-,14.3,28.6,14.3,78.6,50.0,-,-
性／年齢別男性30歳代,27,14,4,1,5,8,8,23,9,-,-
性／年齢別男性30歳代,100.0,51.9,14.8,3.7,18.5,29.6,29.6,85.2,33.3,-,-
性／年齢別男性40歳代,30,13,7,-,2,4,4,24,7,-,-
性／年齢別男性40歳代,100.0,43.3,23.3,-,6.7,13.3,13.3,80.0,23.3,-,-
性／年齢別男性50歳代,22,7,5,2,6,5,2,14,3,-,1
性／年齢別男性50歳代,100.0,31.8,22.7,9.1,27.3,22.7,9.1,63.6,13.6,-,4.5
性／年齢別男性60歳代,10,8,2,-,1,2,1,6,-,-,-
性／年齢別男性60歳代,100.0,80.0,20.0,-,10.0,20.0,10.0,60.0,-,-,-
性／年齢別男性70歳代,4,2,1,1,-,1,-,-,-,-,-
性／年齢別男性70歳代,100.0,50.0,25.0,25.0,-,25.0,-,-,-,-,-
性／年齢別男性80歳以上,1,1,1,-,-,-,-,1,-,-,-
性／年齢別男性80歳以上,100.0,100.0,100.0,-,-,-,-,100.0,-,-,-
性／年齢別女性20歳代,9,3,-,-,-,3,2,5,3,-,-
性／年齢別女性20歳代,100.0,33.3,-,-,-,33.3,22.2,55.6,33.3,-,-
性／年齢別女性30歳代,29,11,9,-,7,2,4,19,5,1,-
性／年齢別女性30歳代,100.0,37.9,31.0,-,24.1,6.9,13.8,65.5,17.2,3.4,-
性／年齢別女性40歳代,26,7,3,-,2,6,3,21,4,-,1
性／年齢別女性40歳代,100.0,26.9,11.5,-,7.7,23.1,11.5,80.8,15.4,-,3.8
性／年齢別女性50歳代,10,6,4,1,4,1,1,4,3,-,-
性／年齢別女性50歳代,100.0,60.0,40.0,10.0,40.0,10.0,10.0,40.0,30.0,-,-
性／年齢別女性60歳代,12,6,-,-,1,1,2,7,1,1,1
性／年齢別女性60歳代,100.0,50.0,-,-,8.3,8.3,16.7,58.3,8.3,8.3,8.3
性／年齢別女性70歳代,2,2,-,-,1,-,-,1,-,-,-
性／年齢別女性70歳代,100.0,100.0,-,-,50.0,-,-,50.0,-,-,-
性／年齢別女性80歳以上,-,-,-,-,-,-,-,-,-,-,-
性／年齢別女性80歳以上,-,-,-,-,-,-,-,-,-,-,-
未・既婚別未婚（死別・離別を含む）,73,35,16,3,17,20,11,47,19,1,1
未・既婚別未婚（死別・離別を含む）,100.0,47.9,21.9,4.1,23.3,27.4,15.1,64.4,26.0,1.4,1.4
未・既婚別既婚,123,49,21,2,14,17,18,90,23,1,2
未・既婚別既婚,100.0,39.8,17.1,1.6,11.4,13.8,14.6,73.2,18.7,0.8,1.6
子供の有無別子供はいない,83,34,17,2,17,21,18,58,27,1,-
子供の有無別子供はいない,100.0,41.0,20.5,2.4,20.5,25.3,21.7,69.9,32.5,1.2,-
子供の有無別未就学（～６歳）,22,13,8,-,3,4,5,18,4,-,-
子供の有無別未就学（～６歳）,100.0,59.1,36.4,-,13.6,18.2,22.7,81.8,18.2,-,-
子供の有無別小・中・高校生,44,18,8,-,3,6,4,32,5,-,1
子供の有無別小・中・高校生,100.0,40.9,18.2,-,6.8,13.6,9.1,72.7,11.4,-,2.3
子供の有無別大学生・大学院生・短大生・専門学校生,13,4,1,1,2,4,1,9,3,-,1
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,30.8,7.7,7.7,15.4,30.8,7.7,69.2,23.1,-,7.7
子供の有無別学校教育終了,38,18,6,3,6,3,3,22,3,1,2
子供の有無別学校教育終了,100.0,47.4,15.8,7.9,15.8,7.9,7.9,57.9,7.9,2.6,5.3
子供の有無別その他,1,1,-,-,1,-,-,1,-,-,-
子供の有無別その他,100.0,100.0,-,-,100.0,-,-,100.0,-,-,-
職業別自営業（計）,26,11,7,-,8,6,7,12,4,1,-
職業別自営業（計）,100.0,42.3,26.9,-,30.8,23.1,26.9,46.2,15.4,3.8,-
職業別農林漁業,1,-,-,-,1,-,-,-,-,-,-
職業別農林漁業,100.0,-,-,-,100.0,-,-,-,-,-,-
職業別商工・サービス業,8,3,1,-,1,3,1,4,2,1,-
職業別商工・サービス業,100.0,37.5,12.5,-,12.5,37.5,12.5,50.0,25.0,12.5,-
職業別その他自由業,17,8,6,-,6,3,6,8,2,-,-
職業別その他自由業,100.0,47.1,35.3,-,35.3,17.6,35.3,47.1,11.8,-,-
職業別お勤め（計）,122,51,20,4,19,24,16,91,35,-,1
職業別お勤め（計）,100.0,41.8,16.4,3.3,15.6,19.7,13.1,74.6,28.7,-,0.8
職業別経営・管理職,12,5,1,-,1,1,-,8,5,-,-
職業別経営・管理職,100.0,41.7,8.3,-,8.3,8.3,-,66.7,41.7,-,-
職業別専門職・技術職,44,19,8,2,5,8,7,30,11,-,1
職業別専門職・技術職,100.0,43.2,18.2,4.5,11.4,18.2,15.9,68.2,25.0,-,2.3
職業別事務職,33,14,7,-,7,7,3,24,4,-,-
職業別事務職,100.0,42.4,21.2,-,21.2,21.2,9.1,72.7,12.1,-,-
職業別労務職・技能職,11,5,1,1,1,2,1,10,4,-,-
職業別労務職・技能職,100.0,45.5,9.1,9.1,9.1,18.2,9.1,90.9,36.4,-,-
職業別販売・サービス職,22,8,3,1,5,6,5,19,11,-,-
職業別販売・サービス職,100.0,36.4,13.6,4.5,22.7,27.3,22.7,86.4,50.0,-,-
職業別その他（計）,48,22,10,1,4,7,6,34,3,1,2
職業別その他（計）,100.0,45.8,20.8,2.1,8.3,14.6,12.5,70.8,6.3,2.1,4.2
職業別学生,2,1,-,-,-,-,-,1,-,-,-
職業別学生,100.0,50.0,-,-,-,-,-,50.0,-,-,-
職業別専業主婦（夫）,23,7,5,-,1,1,2,20,1,1,-
職業別専業主婦（夫）,100.0,30.4,21.7,-,4.3,4.3,8.7,87.0,4.3,4.3,-
職業別その他,8,3,3,-,-,3,3,5,1,-,1
職業別その他,100.0,37.5,37.5,-,-,37.5,37.5,62.5,12.5,-,12.5
職業別無職（年金受給者含む）,15,11,2,1,3,3,1,8,1,-,1
職業別無職（年金受給者含む）,100.0,73.3,13.3,6.7,20.0,20.0,6.7,53.3,6.7,-,6.7
投票所までの時間別５分以内,78,38,20,3,12,14,13,49,15,2,2
投票所までの時間別５分以内,100.0,48.7,25.6,3.8,15.4,17.9,16.7,62.8,19.2,2.6,2.6
投票所までの時間別10分以内,86,34,13,1,17,20,12,62,19,-,1
投票所までの時間別10分以内,100.0,39.5,15.1,1.2,19.8,23.3,14.0,72.1,22.1,-,1.2
投票所までの時間別20分以内,16,7,4,1,1,2,3,10,2,-,-
投票所までの時間別20分以内,100.0,43.8,25.0,6.3,6.3,12.5,18.8,62.5,12.5,-,-
投票所までの時間別30分以内,12,4,-,-,1,-,-,12,4,-,-
投票所までの時間別30分以内,100.0,33.3,-,-,8.3,-,-,100.0,33.3,-,-
投票所までの時間別30分を超える,5,2,-,-,-,1,1,4,2,-,-
投票所までの時間別30分を超える,100.0,40.0,-,-,-,20.0,20.0,80.0,40.0,-,-
地域別区部（計）,163,70,32,5,27,32,27,113,39,2,3
地域別区部（計）,100.0,42.9,19.6,3.1,16.6,19.6,16.6,69.3,23.9,1.2,1.8
地域別センターコア,64,28,9,-,13,15,9,49,17,-,-
地域別センターコア,100.0,43.8,14.1,-,20.3,23.4,14.1,76.6,26.6,-,-
地域別区部東部・北部エリア,39,18,10,1,10,12,11,27,12,1,1
地域別区部東部・北部エリア,100.0,46.2,25.6,2.6,25.6,30.8,28.2,69.2,30.8,2.6,2.6
地域別区部西部・南部エリア,60,24,13,4,4,5,7,37,10,1,2
