地域,合計搬出量,合計搬出量構成比（％）,合計台(人)数,合計台(人)数成比（％）,専門小売店搬出量,専門小売店構成比（％）,専門小売店台(人)数,専門小売店台(人)数成比（％）,食料品等中心店搬出量,食料品等中心店構成比（％）,食料品等中心店台(人)数,食料品等中心店台(人)数成比（％）,コンビニエンスストア搬出量,コンビニエンスストア構成比（％）,コンビニエンスストア台(人)数,コンビニエンスストア台(人)数成比（％）,食料品スーパー搬出量,食料品スーパー構成比（％）,食料品スーパー台(人)数,食料品スーパー台(人)数成比（％）,総合スーパー搬出量,総合スーパー構成比（％）,総合スーパー台(人)数,総合スーパー台(人)数成比（％）,百貨店搬出量,百貨店構成比（％）,百貨店台(人)数,百貨店台(人)数成比（％）,業務用搬出量,業務用構成比（％）,業務用台(人)数,業務用台(人)数成比（％）,加工業者搬出量,加工業者構成比（％）,加工業者台(人)数,加工業者台(人)数成比（％）,問屋・納入業者搬出量,問屋・納入業者構成比（％）,問屋・納入業者台(人)数,問屋・納入業者台(人)数成比（％）,都内中央卸売市場搬出量,都内中央卸売市場構成比（％）,都内中央卸売市場台(人)数,都内中央卸売市場台(人)数成比（％）,都内地方卸売市場搬出量,都内地方卸売市場構成比（％）,都内地方卸売市場台(人)数,都内地方卸売市場台(人)数成比（％）,都外中央卸売市場搬出量,都外中央卸売市場構成比（％）,都外中央卸売市場台(人)数,都外中央卸売市場台(人)数成比（％）,都外地方卸売市場搬出量,都外地方卸売市場構成比（％）,都外地方卸売市場台(人)数,都外地方卸売市場台(人)数成比（％）,その他搬出量,その他構成比（％）,その他台(人)数,その他台(人)数成比（％）,不明搬出量,不明構成比（％）,不明台(人)数,不明台(人)数成比（％）,備考
合計,112689,100.0,671,100.0,20938,100.0,191,100.0,3900,100.0,39,100.0,143,100.0,3,100.0,26154,100.0,79,100.0,6420,100.0,17,100.0,715,100.0,2,100.0,5015,100.0,171,100.0,353,100.0,8,100.0,10726,100.0,34,100.0,4443,100.0,11,100.0,6420,100.0,7,100.0,1292,100.0,6,100.0,20608,100.0,47,100.0,4218,100.0,46,100.0,1344,100.0,10,100.0,
都内計,41763,37.1,448,66.8,9211,44.0,138,72.3,1451,37.2,29,74.4,143,100.0,3,100.0,12877,49.2,42,53.2,2093,32.6,7,41.2,0,0.0,0,0.0,2679,53.4,146,85.4,288,81.6,7,87.5,3497,32.6,16,47.1,3143,70.8,10,90.9,3886,60.5,4,57.1,0,0.0,0,0.0,1247,6.0,3,6.4,813,19.3,38,82.6,435,32.3,5,50.0,
23区計,37560,33.3,444,66.2,8886,42.4,137,71.7,1451,37.2,29,74.4,143,100.0,3,100.0,12877,49.2,42,53.2,2093,32.6,7,41.2,0,0.0,0,0.0,2679,53.4,146,85.4,288,81.6,7,87.5,3497,32.6,16,47.1,3143,70.8,10,90.9,8,0.1,1,14.3,0,0.0,0,0.0,1247,6.0,3,6.4,813,19.3,38,82.6,435,32.3,5,50.0,
千代田区,665,0.6,6,0.9,200,1.0,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,42,0.8,3,1.8,0,0.0,0,0.0,422,3.9,1,2.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
中央区,2725,2.4,15,2.2,104,0.5,3,1.6,52,1.3,1,2.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26,0.5,2,1.2,195,55.2,1,12.5,153,1.4,1,2.9,2182,49.1,6,54.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13,0.3,1,2.2,0,0.0,0,0.0,
港区,1521,1.3,4,0.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,195,0.7,1,1.3,0,0.0,0,0.0,0,0.0,0,0.0,27,0.5,1,0.6,0,0.0,0,0.0,325,3.0,1,2.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,975,4.7,1,2.1,0,0.0,0,0.0,0,0.0,0,0.0,
新宿区,65,0.1,3,0.4,19,0.1,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,45,0.9,2,1.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
文京区,58,0.1,4,0.6,6,0.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,52,1.0,3,1.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
台東区,818,0.7,34,5.1,302,1.4,9,4.7,188,4.8,3,7.7,6,4.5,1,33.3,78,0.3,3,3.8,0,0.0,0,0.0,0,0.0,0,0.0,242,4.8,17,9.9,0,0.0,0,0.0,1,0.0,1,2.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
墨田区,2080,1.8,19,2.8,442,2.1,4,2.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1299,20.2,1,5.9,0,0.0,0,0.0,264,5.3,13,7.6,0,0.0,0,0.0,75,0.7,1,2.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
