消防署,合計・件数,合計・隊数,合計・人員,怪煙偵察・件数,怪煙偵察・隊数,怪煙偵察・人員,ベル鳴動・件数,ベル鳴動・隊数,ベル鳴動・人員,その他・件数,その他・隊数,その他・人員
平成28年,"7,932","13,206","62,042",557,"1,119","5,293","7,069","11,537","54,144",306,550,"2,605"
平成29年,"8,471","13,838","64,762",513,"1,004","4,759","7,598","12,184","56,934",360,650,"3,069"
平成30年,"9,577","15,327","71,013",551,"1,085","5,098","8,711","13,671","63,260",315,571,"2,655"
令和元年,"10,934","16,944","78,089",581,"1,133","5,288","10,042","15,239","70,166",311,572,"2,635"
令和2年,"9,710","15,789","72,775",586,"1,159","5,409","8,793","14,023","64,559",331,607,"2,807"
特別区,"7,709","12,038","55,488",312,615,"2,900","7,155","10,990","50,583",242,433,"2,005"
丸の内,24,48,242,2,4,19,22,44,223,-,-,-
麹町,47,92,431,1,2,9,46,90,422,-,-,-
神田,99,200,1026,1,2,10,97,196,1005,1,2,11
京橋,124,247,"1,258",3,6,31,119,237,1209,2,4,18
日本橋,111,119,528,2,5,24,107,111,490,2,3,14
臨港,43,82,415,2,4,21,39,75,380,2,3,14
芝,135,167,810,5,8,42,129,158,763,1,1,5
麻布,158,312,"1,491",8,15,73,145,287,"1,371",5,10,47
赤坂,80,161,757,5,10,47,74,149,701,1,2,9
高輪,58,113,586,5,10,54,51,100,518,2,3,14
品川,133,263,"1,233",4,9,41,123,242,1134,6,12,58
大井,98,194,926,3,6,27,93,184,878,2,4,21
荏原,92,184,908,-,-,-,91,182,898,1,2,10
大森,150,215,960,5,8,37,141,200,892,4,7,31
田園調布,88,175,795,4,8,36,78,155,705,6,12,54
蒲田,122,242,"1,138",4,9,42,113,223,"1,048",5,10,48
矢口,91,122,534,1,2,9,88,117,511,2,3,14
目黒,173,207,937,12,25,123,160,181,810,1,1,4
世田谷,261,293,"1,229",10,17,75,240,260,"1,082",11,16,72
玉川,125,240,1103,5,8,35,118,229,1055,2,3,13
成城,115,225,1028,7,14,68,99,196,894,9,15,66
渋谷,346,382,"1,702",12,22,106,328,349,"1,540",6,11,56
四谷,117,227,1032,2,4,18,111,215,977,4,8,37
牛込,105,207,980,1,2,10,101,199,942,3,6,28
新宿,383,509,"2,465",12,24,118,369,481,"2,326",2,4,21
中野,145,274,"1,306",6,9,41,133,254,"1,213",6,11,52
野方,117,232,1050,3,6,27,114,226,1023,-,-,-
杉並,220,254,1054,10,19,85,194,207,844,16,28,125
荻窪,150,211,957,8,16,77,135,182,818,7,13,62
小石川,98,195,904,5,10,47,91,181,838,2,4,19
本郷,93,183,849,4,9,40,86,168,780,3,6,29
豊島,203,240,1105,8,13,62,192,223,1024,3,4,19
池袋,144,288,"1,376",7,15,72,133,265,"1,266",4,8,38
王子,74,148,675,4,8,36,67,134,611,3,6,28
赤羽,105,212,976,9,19,87,93,185,852,3,8,37
滝野川,82,162,734,2,4,19,76,150,679,4,8,36
板橋,185,202,851,4,7,33,171,180,751,10,15,67
志村,216,265,1123,14,29,134,200,232,971,2,4,18
練馬,167,330,"1,541",6,13,61,143,281,"1,311",18,36,169
光が丘,77,122,564,1,2,10,73,114,525,3,6,29
石神井,145,276,"1,297",15,30,137,122,231,"1,090",8,15,70
上野,110,216,"1,126",6,12,64,103,202,"1,053",1,2,9
浅草,87,174,920,1,2,11,83,166,877,3,6,32
日本堤,74,146,699,2,4,19,68,135,648,4,7,32
荒川,98,191,966,1,2,10,94,183,926,3,6,30
尾久,43,85,389,1,2,9,39,77,353,3,6,27
千住,58,158,572,4,8,36,53,148,527,1,2,9
足立,198,217,899,10,22,102,186,192,784,2,3,13
西新井,114,143,604,9,21,95,96,105,432,9,17,77
本所,186,363,"1,855",4,7,34,181,354,"1,811",1,2,10
向島,69,135,619,5,10,48,58,115,528,6,10,43
深川,167,184,830,11,23,109,152,156,699,4,5,22
城東,140,159,660,2,5,23,135,148,609,3,6,28
本田,156,185,778,15,29,137,138,151,619,3,5,22
金町,91,124,536,6,9,39,80,107,461,5,8,36
江戸川,158,209,953,4,9,44,146,188,852,8,12,57
葛西,304,353,1478,2,4,18,294,337,1409,8,12,51
小岩,157,176,728,7,13,59,144,153,625,6,10,44
受託地区,"2,001","3,751","17,287",274,544,"2,509","1,638","3,033","13,976",89,174,802
立川,161,214,966,21,44,208,136,163,724,4,7,34
武蔵野,100,188,878,7,13,59,90,169,791,3,6,28
三鷹,101,200,916,13,27,125,84,165,754,4,8,37
府中,130,258,1168,11,22,99,115,228,1032,4,8,37
昭島,40,77,363,5,9,42,32,62,292,3,6,29
調布,126,248,"1,180",12,24,114,105,207,986,9,17,80
小金井,70,138,664,8,15,70,60,119,576,2,4,18
小平,83,163,738,10,21,94,67,130,590,6,12,54
東村山,90,117,519,22,43,202,67,73,313,1,1,4
国分寺,66,127,570,8,16,72,54,103,461,4,8,37
狛江,46,92,435,2,4,20,43,86,406,1,2,9
北多摩西部,62,124,576,9,17,84,47,94,434,6,13,58
清瀬,36,71,330,10,21,96,25,48,224,1,2,10
東久留米,45,87,405,9,18,83,35,68,318,1,1,4
西東京,86,159,752,8,15,68,76,140,665,2,4,19
八王子,271,523,"2,387",34,68,308,225,431,"1,971",12,24,108
青梅,69,136,629,11,22,106,49,97,442,9,17,81
町田,189,374,"1,739",29,59,267,153,301,1409,7,14,63
日野,50,98,440,8,15,67,40,79,355,2,4,18
福生,70,138,637,7,13,61,61,121,558,2,4,18
多摩,70,135,630,11,21,97,54,104,486,5,10,47
秋川,35,69,317,17,33,154,17,34,154,1,2,9
奥多摩,5,15,48,2,4,13,3,11,35,-,-,-
