消防署,変電設備・高圧,変電設備・特別高圧,発電設備・低圧,発電設備・高圧,蓄電池設備・１００Ｖ未満,蓄電池設備・１００Ｖ以上,燃料電池発電設備・低圧,燃料電池発電設備・高圧
平成27年,74366,1777,15165,2234,4533,5448,7,0
平成28年,74861,1788,15503,2249,4542,5491,7,0
平成29年,75448,1787,15908,2255,4557,5513,7,0
平成30年,75802,1802,16231,2283,4600,5557,7,0
令和元年,76580,1829,16731,2324,4638,5620,8,1
特別区,59284,1587,12847,1899,3458,4568,5,1
丸の内,193,110,76,88,79,161,0,0
麹町,1408,63,382,88,101,259,0,1
神田,2770,44,459,74,88,177,0,0
京橋,2285,82,603,82,106,244,0,0
日本橋,2295,55,466,94,81,211,0,0
臨港,386,30,123,28,37,62,0,0
芝,2348,108,551,140,126,271,1,0
麻布,1186,22,249,24,57,67,0,0
赤坂,1358,40,348,68,58,153,0,0
高輪,678,37,196,47,66,109,0,0
品川,1114,65,317,59,60,145,0,0
大井,688,26,171,31,56,72,0,0
荏原,447,10,109,14,30,30,0,0
大森,1281,40,225,39,73,102,0,0
田園調布,550,7,103,10,39,20,0,0
蒲田,964,37,213,33,44,95,0,0
矢口,597,14,106,10,34,28,0,0
目黒,1211,34,248,33,73,67,1,0
世田谷,1236,17,237,32,93,50,0,0
玉川,788,6,170,13,51,41,0,0
成城,777,13,201,17,54,40,0,0
渋谷,3309,79,729,123,144,278,0,0
四谷,1021,17,226,27,47,77,1,0
牛込,995,20,166,41,43,78,0,0
新宿,2117,87,546,64,143,146,0,0
中野,686,17,129,20,47,37,0,0
野方,347,9,62,7,26,23,0,0
杉並,931,8,200,21,73,39,0,0
荻窪,610,8,143,13,47,31,1,0
小石川,765,23,205,36,66,98,0,0
本郷,992,16,209,24,56,76,0,0
豊島,1426,26,328,34,82,84,0,0
池袋,851,8,187,7,47,51,0,0
王子,471,12,106,11,40,36,0,0
赤羽,564,16,138,21,36,35,0,0
滝野川,433,7,74,6,41,24,0,0
板橋,672,13,179,15,44,35,0,0
志村,1331,20,304,35,92,93,0,0
練馬,853,4,139,11,57,31,0,0
光が丘,515,8,104,8,30,16,0,0
石神井,752,7,168,6,39,30,0,0
上野,1323,21,278,21,63,77,0,0
浅草,1129,9,146,9,31,32,0,0
日本堤,486,7,91,10,19,15,0,0
荒川,646,15,163,15,33,40,1,0
尾久,337,3,62,7,15,19,0,0
千住,496,12,113,13,27,34,0,0
足立,1243,16,249,17,83,41,0,0
西新井,924,6,162,11,43,29,0,0
本所,1127,19,175,30,50,48,0,0
向島,559,11,71,15,31,26,0,0
深川,1471,105,439,92,117,217,0,0
城東,1464,47,266,40,93,102,0,0
本田,1040,13,187,16,60,34,0,0
金町,594,12,108,13,40,41,0,0
江戸川,689,9,129,7,46,23,0,0
葛西,972,12,201,20,58,57,0,0
小岩,583,5,112,9,43,11,0,0
受託地区,17296,242,3884,425,1180,1052,3,0
立川,1504,16,304,52,102,115,1,0
武蔵野,878,16,186,27,41,59,0,0
三鷹,765,10,146,20,52,36,0,0
府中,1039,30,237,47,78,105,0,0
昭島,518,8,121,13,34,33,0,0
調布,893,13,187,26,68,43,0,0
小金井,434,5,89,7,29,25,0,0
小平,748,6,182,18,59,39,0,0
東村山,597,9,102,11,42,27,0,0
国分寺,394,8,90,5,30,21,0,0
狛江,213,0,47,4,18,7,0,0
北多摩西部,667,2,114,12,50,27,0,0
清瀬,285,2,89,8,20,27,0,0
東久留米,217,4,57,3,11,8,0,0
西東京,634,12,140,10,49,25,0,0
八王子,2742,35,598,66,150,161,0,0
青梅,699,4,214,7,51,32,0,0
町田,1570,9,369,15,101,70,0,0
日野,684,13,134,20,47,50,1,0
福生,772,15,174,9,45,33,0,0
多摩,557,19,158,36,53,80,0,0
秋川,440,4,124,7,41,22,1,0
奥多摩,46,2,22,2,9,7,0,0
