出火原因,死者の発生した火災件数,"死者の発生した火災件数（うち自損放火）",年齢・計,年齢・計（うち自損放火）,年齢・0～5歳,年齢・6～9歳,年齢・10～19歳,年齢・10～19歳（うち自損放火）,年齢・20～29歳,年齢・20～29歳（うち自損放火）,年齢・30～39歳,年齢・30～39歳（うち自損放火）,年齢・40～49歳,年齢・40～49歳（うち自損放火）,年齢・50～59歳,年齢・50～59歳（うち自損放火）,年齢・60～64歳,年齢・60～64歳（うち自損放火）,年齢・65～69歳,年齢・65～69歳（うち自損放火）,年齢・70～79歳,年齢・70～79歳（うち自損放火）,年齢・80歳以上,年齢・80歳以上（うち自損放火）,年齢・不明,年齢・不明（うち自損放火）
平成27年,87,16,95,16,2,0,0,0,4,0,7,3,8,2,9,4,6,1,15,3,24,2,20,1,0,0
平成28年,77,13,83,15,1,0,0,0,1,0,3,1,6,1,10,3,8,4,14,2,24,4,14,0,2,0
平成29年,76,14,79,14,0,0,1,0,2,0,0,0,8,2,5,2,12,4,10,2,18,3,22,0,1,1
平成30年,79,12,86,12,0,0,0,0,0,0,1,1,5,0,10,0,8,2,16,3,14,3,14,2,18,1
令和元年,95,17,108,17,1,0,0,0,1,0,5,2,9,2,13,2,14,2,12,2,27,3,26,4,0,0
たばこ,33,0,35,0,0,0,0,0,0,0,1,0,2,0,5,0,9,0,6,0,8,0,4,0,0,0
放火,21,17,25,17,0,0,0,0,0,0,2,2,3,2,3,2,2,2,2,2,6,3,7,4,0,0
電気ストーブ,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0
ガスこんろ,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
石油ストーブ等,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
ロウソク,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
屋内線,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
放火の疑い,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
溶接器,1,0,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
ガスストーブ,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
電気こんろ,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
その他,25,0,27,0,1,0,0,0,1,0,2,0,2,0,2,0,3,0,3,0,6,0,7,0,0,0
