消防署,出場・従事件数・計出場,出場・従事件数・計従事,出場・従事件数・火災・出場,出場・従事件数・火災・従事,出場・従事件数・交通・出場,出場・従事件数・交通・従事,出場・従事件数・水難・出場,出場・従事件数・水難・従事,出場・従事件数・機械・出場,出場・従事件数・機械・従事,出場・従事件数・工作物建物・出場,出場・従事件数・工作物建物・従事,出場・従事件数・崩壊・出場,出場・従事件数・崩壊・従事,出場・従事件数・墜落・出場,出場・従事件数・墜落・従事,出場・従事件数・ガス・出場,出場・従事件数・ガス・従事,出場・従事件数・電気・出場,出場・従事件数・電気・従事,出場・従事件数・山岳・出場,出場・従事件数・山岳・従事,出場・従事件数・爆発・出場,出場・従事件数・爆発・従事,出場・従事件数・その他・出場,出場・従事件数・その他・従事,救助人員・計・,救助人員・計・重症,救助人員・計・中等症,救助人員・計・軽症,救助人員・計・無症,救助人員・計・死亡,救助人員・誘導人員・,出場車両数誘導人員・計,誘導人員・計・ポンプ車,誘導人員・計・救助車,誘導人員・計・化学車,誘導人員・計・はしご車,誘導人員・計・救急車,誘導人員・計・照明車,"誘導人員・計・救出救助車、水難救助車、指揮統制車",誘導人員・計・ヘリコプター,誘導人員・計・消防艇,誘導人員・計・指揮隊車,誘導人員・計・その他,従事台数,出場人員,従事人員
平成27年,"22,075",17461,132,131,"4,336",3743,269,169,168,77,"15,762",12442,19,12,326,174,67,51,-,-,168,143,-,-,828,519,"19,226","2,808","6,500","7,275",1488,1155,67,"69,476","23,273","7,028","3,537",331,"23,648",77,219,52,357,"9,901",1053,"44,484","282,275","176,673"
平成28年,"21,980",17078,139,139,"4,481",3878,255,188,171,75,"15,586",11966,13,6,314,174,56,43,0,0,162,142,0,0,803,467,"18,958","2,641","6,028","7,231","1,703",1355,89,"69,978","23,270","7,245","3,463",319,"23,557",68,231,60,302,"10,496",967,"43,607","284,536","173,731"
平成29年,"21,984",16829,123,123,"4,478",3918,194,139,157,68,"15,617",11718,8,4,284,148,38,33,0,0,166,146,0,0,919,532,"18,568","2,657","5,892","6,907","1,618",1494,45,"69,402","22,870","7,250","3,328",304,"23,226",44,155,42,251,"11,100",832,"41,957","281,640","168,130"
平成30年,"23,543",17730,134,134,"4,304",3702,290,206,155,75,"17,227",12712,16,9,272,151,49,39,1,1,198,172,0,0,897,529,"19,381","2,814","6,095","6,897","1,724",1851,68,"75,639","24,576","8,207","3,727",313,"24,710",74,262,79,365,"12,230","1,096","43,807","307,763","176,655"
令和元年,"24,327",17852,133,133,"4,262",3674,266,185,149,74,"18,150",12959,12,5,301,152,58,53,2,1,144,121,0,0,850,495,"19,435","2,899","5,961","6,718","1,815","2,042",82,"78,858","24,999","9,155","3,918",310,"25,547",84,245,55,370,"13,152","1,023","43,432","320,770","175,718"
特別区,"17,176",12434,108,108,"3,073",2665,215,148,110,60,"12,806",8963,7,4,220,102,33,31,2,1,0,0,0,0,602,352,"13,646","2,000","4,071","4,731","1,373",1471,77,"57,525","17,696","8,016","2,762",266,"18,016",80,215,25,370,"9,500",579,"30,921","236,255","126,062"
丸の内,65,44,0,0,28,23,0,0,0,0,33,20,0,0,0,0,0,0,0,0,0,0,0,0,4,1,69,13,16,40,0,0,0,202,79,9,3,0,84,0,1,0,0,21,5,125,792,483
麹町,117,96,1,1,68,66,0,0,3,1,39,25,0,0,2,0,0,0,0,0,0,0,0,0,4,3,115,16,24,65,4,6,0,408,168,38,0,26,125,0,0,0,0,48,3,286,"1,639",1135
神田,165,121,1,1,40,38,0,0,1,0,114,76,0,0,3,2,0,0,0,0,0,0,0,0,6,4,134,28,48,39,8,11,0,541,208,74,0,4,173,0,0,1,0,78,3,330,"2,294",1378
京橋,148,116,0,0,53,45,1,0,2,0,88,71,0,0,2,0,0,0,0,0,0,0,0,0,2,0,134,21,33,65,10,5,0,430,114,40,55,1,167,1,0,0,4,46,2,272,"1,707","1,034"
日本橋,189,152,0,0,74,65,0,0,3,2,94,71,1,1,2,1,0,0,0,0,0,0,0,0,15,12,199,22,32,120,17,8,0,582,221,56,2,1,217,0,0,0,0,68,17,392,"2,319","1,532"
臨港,136,89,0,0,18,13,38,30,1,1,71,41,0,0,4,3,0,0,0,0,0,0,0,0,4,1,63,11,10,14,7,21,0,738,107,84,93,5,142,11,13,1,148,131,3,361,"3,291","1,611"
芝,279,213,1,1,107,93,7,6,0,0,144,97,1,1,3,3,0,0,0,0,0,0,0,0,16,12,237,26,46,137,16,12,1,905,302,99,57,8,282,4,2,0,16,123,12,539,"3,819","2,288"
麻布,157,114,0,0,53,50,0,0,1,0,79,51,0,0,4,0,0,0,0,0,0,0,0,0,20,13,149,15,34,75,23,2,0,481,184,56,0,0,173,0,0,0,0,67,1,252,"1,963",1024
赤坂,103,83,0,0,38,37,0,0,1,0,57,44,0,0,0,0,1,1,0,0,0,0,0,0,6,1,108,13,48,28,15,4,0,312,112,30,0,2,120,0,0,0,0,45,3,201,"1,220",776
高輪,132,87,1,1,22,18,1,1,2,1,98,61,0,0,4,1,1,1,0,0,0,0,0,0,3,3,81,13,24,29,9,6,7,448,100,66,58,3,138,0,0,0,6,73,4,212,"1,933",938
品川,284,228,1,1,71,69,6,3,2,2,178,132,1,1,8,7,3,3,0,0,0,0,0,0,14,10,259,50,68,82,31,28,0,963,297,128,50,6,300,5,4,0,14,147,12,591,"3,890","2,359"
大井,248,197,1,1,65,56,0,0,2,2,156,120,0,0,5,2,0,0,0,0,0,0,0,0,19,16,207,31,57,94,21,4,0,821,286,112,19,11,263,0,0,0,0,117,13,514,"3,443","2,144"
荏原,182,151,3,3,20,19,0,0,0,0,149,124,0,0,4,2,0,0,0,0,0,0,0,0,6,3,148,25,61,33,10,19,0,611,232,87,1,4,188,0,0,0,0,95,4,371,"2,533","1,548"
大森,387,283,2,2,91,76,2,1,5,3,271,189,0,0,3,2,1,1,0,0,0,0,0,0,12,9,331,40,89,131,30,41,0,"1,304",372,159,101,7,425,1,3,3,10,196,27,752,"5,394","3,018"
田園調布,281,213,1,1,45,39,3,1,0,0,217,164,0,0,5,0,1,1,0,0,0,0,0,0,9,7,216,32,75,73,17,19,0,935,283,114,53,3,295,2,4,1,0,167,13,508,"3,822","2,027"
蒲田,349,246,0,0,90,71,9,2,2,2,229,158,0,0,7,4,0,0,0,0,0,0,0,0,12,9,296,35,87,126,19,29,0,1133,392,149,19,0,367,4,10,0,8,179,5,641,"4,668","2,604"
矢口,214,156,1,1,25,22,7,3,0,0,167,121,0,0,5,3,0,0,0,0,0,0,0,0,9,6,166,17,56,55,12,26,4,708,195,90,60,1,219,4,10,0,0,120,9,362,"2,952","1,458"
目黒,337,243,0,0,81,72,0,0,1,0,239,159,0,0,7,3,2,2,0,0,0,0,0,0,7,7,276,35,87,102,29,23,0,"1,061",363,151,11,0,341,0,0,0,0,182,13,541,"4,345","2,216"
世田谷,623,408,2,2,113,99,0,0,1,0,476,291,0,0,9,4,1,1,0,0,0,0,0,0,21,11,470,51,128,200,47,44,1,"1,952",622,269,69,3,660,0,0,0,0,318,11,939,"7,830","3,665"
玉川,392,308,3,3,66,55,8,4,1,0,296,234,0,0,2,1,1,1,0,0,0,0,0,0,15,10,335,46,135,102,37,15,0,1151,458,122,8,3,399,1,4,0,0,144,12,719,"4,485","2,705"
成城,376,255,6,6,50,34,3,1,0,0,305,208,0,0,0,0,0,0,0,0,0,0,0,0,12,6,254,42,108,60,15,29,0,"1,275",459,184,3,7,387,2,3,1,0,214,15,607,"5,194","2,387"
渋谷,494,320,4,4,138,115,1,0,3,1,315,184,0,0,5,1,2,2,0,0,0,0,0,0,26,13,383,44,81,163,67,28,1,"1,684",626,205,3,10,537,0,0,0,0,255,48,750,"6,879","3,084"
四谷,144,113,0,0,40,39,0,0,1,1,96,70,0,0,1,1,0,0,0,0,0,0,0,0,6,2,129,19,45,43,17,5,0,430,157,50,0,3,155,0,0,0,0,65,0,272,"1,703",1048
牛込,198,147,2,2,23,20,0,0,3,2,161,117,0,0,2,2,0,0,0,0,0,0,0,0,7,4,167,26,53,58,12,18,0,660,231,99,0,3,208,0,0,0,0,116,3,369,"2,751",1528
新宿,509,281,5,5,75,55,0,0,4,2,385,203,1,0,19,8,2,1,0,0,0,0,0,0,18,7,276,50,94,75,36,21,0,"1,757",634,263,0,5,533,0,0,1,0,298,23,627,"7,444","2,677"
中野,240,157,2,2,21,20,1,1,0,0,209,133,0,0,2,0,0,0,0,0,0,0,0,0,5,1,150,23,43,51,21,12,0,811,277,131,0,3,240,1,0,0,0,149,10,355,"3,386","1,500"
野方,260,180,3,3,20,14,0,0,1,1,228,156,0,0,1,1,2,2,0,0,0,0,0,0,5,3,177,24,58,55,13,27,2,913,265,148,41,3,272,0,0,0,0,174,10,422,"3,723","1,751"
杉並,501,333,3,3,109,102,1,1,3,1,367,217,0,0,5,1,0,0,0,0,0,0,0,0,13,8,385,48,84,170,43,40,3,"1,646",567,247,2,6,526,0,1,0,0,284,13,738,"6,636","2,981"
荻窪,428,328,4,4,74,68,0,0,3,2,336,248,0,0,4,4,1,1,0,0,0,0,0,0,6,1,368,50,101,134,53,30,1,"1,401",379,170,118,28,454,0,0,0,0,239,13,854,"5,610","3,409"
小石川,190,114,4,4,23,21,3,1,4,2,150,85,0,0,2,0,0,0,0,0,0,0,0,0,4,1,138,23,28,49,19,19,3,693,243,98,0,5,203,1,1,0,0,126,16,348,"2,841","1,409"
本郷,151,106,2,2,9,8,0,0,3,1,131,90,0,0,1,0,1,1,0,0,0,0,0,0,4,4,103,24,21,33,17,8,0,538,192,74,0,6,152,1,0,1,0,104,8,301,"2,242",1281
豊島,274,191,4,4,46,41,0,0,4,2,208,135,0,0,3,2,1,1,0,0,0,0,0,0,8,6,210,37,69,57,26,21,3,989,340,147,0,10,300,0,0,2,0,174,16,537,"4,126","2,210"
池袋,267,189,0,0,47,39,0,0,3,1,206,142,0,0,4,2,0,0,0,0,0,0,0,0,7,5,211,24,77,63,27,20,0,921,327,137,0,2,288,0,0,0,0,160,7,499,"3,822","2,067"
