時間帯,出場件数・計,出場件数・区分・救命,出場件数・区分・搬送困難,出場件数・区分・傷害事件等,出場件数・区分・繁華街等,出場件数・区分・直近地域,出場件数・区分・遅延
平成27年,"156,260","121,977","24,296","1,661","3,002","3,352","1,972"
平成28年,"158,467","126,133","22,707","1,560","3,010","3,622","1,435"
平成29年,"155,000","123,138","22,591","1,534","3,481","3,096","1,160"
平成30年,"153,612","119,931","24,798","1,390","3,987","2,495",1011
令和元年,"152,169","118,786","25,020","1,364","3,896","2,310",793
0時台,"5,111","3,670",766,113,483,74,5
1時台,"3,682","2,730",506,92,317,36,1
2時台,"3,157","2,319",470,85,263,19,1
3時台,"2,822","2,131",376,45,247,21,2
4時台,"2,920","2,186",420,57,237,20,
5時台,"3,468","2,635",502,54,252,24,1
6時台,"4,321","3,471",765,33,13,36,3
7時台,"5,858","4,620","1,083",39,35,69,12
8時台,"7,249","5,678","1,372",29,52,97,21
9時台,"8,223","6,408","1,540",33,36,142,64
10時台,"8,490","6,683","1,568",31,22,120,66
11時台,"7,933","6,382","1,295",33,24,133,66
12時台,"7,902","6,428","1,225",26,23,132,68
13時台,"7,628","6,139","1,222",43,16,159,49
14時台,"7,336","5,909","1,209",30,13,133,42
15時台,"6,883","5,497","1,161",39,23,129,34
16時台,"6,905","5,547","1,149",33,25,118,33
17時台,"7,466","6,047","1,169",52,15,127,56
18時台,"8,406","6,722","1,309",62,60,159,94
19時台,"8,173","6,500","1,367",70,49,126,61
20時台,"7,881","6,167","1,210",61,280,120,43
21時台,"7,328","5,455",1234,87,400,118,34
22時台,"6,861","5,043",1126,110,445,107,30
23時台,"6,166","4,419",976,107,566,91,7
