消防署,計／出場件数,計／出場人員,計／延時間(時間：分),水防工法／出場件数,水防工法／出場人員,水防工法／延時間(時間：分),救助・誘導／出場件数,救助・誘導／出場人員,救助・誘導／延時間(時間：分),排水／出場件数,排水／出場人員,排水／延時間(時間：分),警戒／出場件数,警戒／出場人員,警戒／延時間(時間：分),その他／出場件数,その他／出場人員,その他／延時間(時間：分),使用車両等／計,使用車両等／車両,使用車両等／ヘリコプター,使用車両等／救命ボート,使用資器材／土のう,使用資器材／その他,救助人員,誘導人員
計,191,1217,179:17:00,24,185,31:17:00,4,54,9:14,9,53,10:34,33,191,30:40:00,121,734,97:32:00,258,258,－,－,2581,269,3,27
特別区,97,652,79:09:00,－,－,－,1,10,1:15,6,36,6:56,22,137,21:05,68,469,49:53:00,132,132,－,－,20,84,－,3
丸の内,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
麹町,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
神田,1,4,0:25,－,－,－,－,－,－,－,－,－,1,4,0:25,－,－,－,1,1,－,－,－,－,－,－
京橋,1,15,1:53,－,－,－,－,－,－,－,－,－,－,－,－,1,15,1:53,3,3,－,－,－,9,－,－
日本橋,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
臨港,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
芝,2,26,2:15,－,－,－,－,－,－,－,－,－,－,－,－,2,26,2:15,5,5,－,－,－,1,－,－
麻布,1,4,0:30,－,－,－,－,－,－,－,－,－,－,－,－,1,4,0:30,1,1,－,－,－,－,－,－
赤坂,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
高輪,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
品川,5,40,2:00,－,－,－,－,－,－,－,－,－,4,29,1:40,1,11,0:20,7,7,－,－,－,－,－,－
大井,6,35,5:56,－,－,－,－,－,－,－,－,－,1,6,0:50,5,29,5:06,6,6,－,－,－,－,－,－
荏原,3,19,1:40,－,－,－,－,－,－,－,－,－,3,19,1:40,－,－,－,3,3,－,－,－,－,－,－
大森,8,37,12:22,－,－,－,－,－,－,2,8,3:47,5,20,7:48,1,9,0:47,9,9,－,－,－,1,－,－
東調布,7,45,5:19,－,－,－,－,－,－,－,－,－,－,－,－,7,45,5:19,11,11,－,－,20,21,－,－
蒲田,3,22,3:40,－,－,－,－,－,－,1,12,2:05,2,10,1:35,－,－,－,4,4,－,－,－,－,－,－
矢口,8,60,6:00,－,－,－,－,－,－,1,10,0:20,－,－,－,7,50,5:40,12,12,－,－,－,1,－,－
目黒,2,10,0:30,－,－,－,－,－,－,－,－,－,－,－,－,2,10,0:30,2,2,－,－,－,6,－,－
世田谷,1,15,1:26,－,－,－,－,－,－,－,－,－,－,－,－,1,15,1:26,2,2,－,－,－,6,－,－
玉川,2,6,0:44,－,－,－,－,－,－,2,6,0:44,－,－,－,－,－,－,1,1,－,－,－,－,－,－
成城,3,14,1:56,－,－,－,－,－,－,－,－,－,－,－,－,3,14,1:56,3,3,－,－,－,－,－,－
渋谷,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
四谷,1,10,1:15,－,－,－,1,10,1:15,－,－,－,－,－,－,－,－,－,2,2,－,－,－,－,－,3
牛込,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
新宿,1,15,1:13,－,－,－,－,－,－,－,－,－,－,－,－,1,15,1:13,3,3,－,－,－,－,－,－
中野,2,8,1:12,－,－,－,－,－,－,－,－,－,－,－,－,2,8,1:12,2,2,－,－,－,－,－,－
野方,3,15,3:36,－,－,－,－,－,－,－,－,－,3,15,3:36,－,－,－,4,4,－,－,－,－,－,－
杉並,2,8,1:20,－,－,－,－,－,－,7,－,－,－,－,－,2,8,1:20,2,2,－,－,－,－,－,－
荻窪,4,27,1:21,－,－,－,－,－,－,－,－,－,－,－,－,4,27,1:21,5,5,－,－,－,6,－,－
小石川,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
本郷,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
豊島,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
池袋,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
王子,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
赤羽,1,6,0:20,－,－,－,－,－,－,－,－,－,－,－,－,1,6,0:20,1,1,－,－,－,－,－,－
滝野川,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
板橋,1,4,1:00,－,－,－,－,－,－,－,－,－,－,－,－,1,4,1:00,1,1,－,－,－,－,－,－
