区分,計,大島,利島,新島,式根島,神津島,三宅島,御蔵島,八丈島,青ヶ島,その他
計／救急件数,157,36,4,16,5,27,40,7,15,2,5
計／輸送人員,153,37,4,15,5,27,39,6,14,2,4
1月／救急件数,16,2,－,1,－,3,8,1,1,－,－
1月／輸送人員,16,2,－,1,－,3,8,1,1,－,－
2月／救急件数,13,2,1,－,1,2,4,－,3,－,－
2月／輸送人員,13,2,1,－,1,2,4,－,3,－,－
3月／救急件数,12,5,－,－,－,3,2,2,－,－,－
3月／輸送人員,12,5,－,－,－,3,2,2,－,－,－
4月／救急件数,10,1,－,－,－,1,7,－,－,－,1
4月／輸送人員,9,1,－,－,－,1,7,－,－,－,－
5月／救急件数,10,3,－,－,－,4,－,1,1,－,1
5月／輸送人員,10,3,－,－,－,4,－,1,1,－,1
6月／救急件数,10,2,－,1,－,2,1,－,2,1,1
6月／輸送人員,11,3,－,1,－,2,1,－,2,1,1
7月／救急件数,15,4,－,3,－,3,2,－,3,－,－
7月／輸送人員,14,4,－,2,－,3,2,－,3,－,－
8月／救急件数,23,7,1,2,2,4,5,－,2,－,－
8月／輸送人員,23,7,1,2,2,4,5,－,2,－,－
9月／救急件数,12,1,－,5,－,1,1,1,1,1,1
9月／輸送人員,10,1,－,5,－,1,1,－,－,1,1
10月／救急件数,11,4,－,3,1,－,2,－,1,－,－
10月／輸送人員,11,4,－,3,1,－,2,－,1,－,－
11月／救急件数,11,3,－,－,1,2,5,－,－,－,－
11月／輸送人員,10,3,－,－,1,2,4,－,－,－,－
12月／救急件数,14,2,2,1,－,2,3,2,1,－,1
12月／輸送人員,14,2,2,1,－,2,3,2,1,－,1
