危険物品名(kg),計,製造所,屋内貯蔵所,屋外タンク貯蔵所 ,屋内タンク貯蔵所,地下タンク貯蔵所,簡易タンク貯蔵所,移動タンク貯蔵所,屋外貯蔵所,給油取扱所,販売取扱所・第１種,販売取扱所・第２種,移送取扱所,一般取扱所
第四類_特殊引火物,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"第四類_第一石油類・非水溶性液体	",2410.067,-,66.666,850,-,100,0.6,190,-,543.551,-,-,580,79.25
"第四類_第一石油類・水溶性液体	",0.7,-,0.7,-,-,-,-,-,-,-,-,-,-,-
第四類_アルコール類,0.155,-,0.155,-,-,-,-,-,-,-,-,-,-,-
"第四類_第二石油類・非水溶性液体	",25840.9905,-,56.148,19948.781,8.7,888.69,0.6,372.46,392.4098,1987.522,-,-,1720,465.6797
"第四類_第二石油類・水溶性液体	",11.1,-,2.1,-,-,-,-,-,-,4,-,-,-,5
"第四類_第三石油類・非水溶性液体	",18430.4826,-,6.586,11702.8,193.365,260,-,57.55,625.98,133.8,-,-,4570,880.4016
"第四類_第三石油類・水溶性液体	",12,-,-,-,-,-,-,-,-,-,-,-,-,12
第四類_第四石油類　,97.8835,-,13.785,-,-,-,-,-,37,-,-,-,-,47.0985
第四類_動植物油類,-,-,-,-,-,-,-,-,-,-,-,-,-,-
