時間帯,ころぶ（人）,落ちる（人）,ぶつかる（人）,ものがつまる等（人）,切る・刺さる（人）,はさむ・はさまれる（人）,やけど（人）,おぼれる（人）
0,1,2,0,3,0,0,0,18
1,2,3,0,1,0,0,0,9
2,4,5,0,0,1,0,0,4
3,1,5,0,0,2,0,0,6
4,0,4,0,1,0,0,0,4
5,0,8,0,4,1,0,0,6
6,1,11,0,8,2,0,0,6
7,0,9,1,11,0,0,0,8
8,3,8,0,31,0,0,0,4
9,5,16,1,16,0,1,0,2
10,2,4,3,10,1,0,1,9
11,4,12,1,20,0,1,0,9
12,2,9,1,67,1,1,1,2
13,2,5,0,20,1,1,0,10
14,2,10,1,14,1,1,0,4
15,1,11,1,8,1,0,0,10
16,4,14,0,13,2,2,0,15
17,2,11,0,38,0,0,2,33
18,2,9,1,51,0,1,0,34
19,3,8,0,31,0,0,0,22
20,4,5,0,16,0,0,0,40
21,3,11,0,13,1,1,1,46
22,1,6,1,5,0,0,0,39
23,2,4,0,2,0,0,0,29
