消防署,4階以上の建築物数・計,"4階以上の建築物数・4階建",4階以上の建築物数・5階建,4階以上の建築物数・6階建,4階以上の建築物数・7階建,4階以上の建築物数・8階建,4階以上の建築物数・9階建,"4階以上の建築物数・10階建",4階以上の建築物数・11階建,4階以上の建築物数・12階建,4階以上の建築物数・13階建,4階以上の建築物数・14階建,4階以上の建築物数・15階建,4階以上の建築物数・16階建,4階以上の建築物数・17階建,4階以上の建築物数・18階建,4階以上の建築物数・19階建,4階以上の建築物数・20階建,4階以上の建築物数・21階建,4階以上の建築物数・22階建,4階以上の建築物数・23階建,4階以上の建築物数・24階建,4階以上の建築物数・25階建,4階以上の建築物数・26階建,4階以上の建築物数・27階建,4階以上の建築物数・28階建,4階以上の建築物数・29階建,4階以上の建築物数・30階建,4階以上の建築物数・31階建,4階以上の建築物数・32階建,4階以上の建築物数・33階建,4階以上の建築物数・34階建,4階以上の建築物数・35階建,4階以上の建築物数・36階建,4階以上の建築物数・37階建,4階以上の建築物数・38階建,4階以上の建築物数・39階建,4階以上の建築物数・40階建,4階以上の建築物数・41階建,4階以上の建築物数・42階建,4階以上の建築物数・43階建,4階以上の建築物数・44階建,4階以上の建築物数・45階建,4階以上の建築物数・46階建,4階以上の建築物数・47階建,4階以上の建築物数・48階建,4階以上の建築物数・49階建,4階以上の建築物数・50階建,4階以上の建築物数・51階建,4階以上の建築物数・52階建,4階以上の建築物数・53階建,4階以上の建築物数・54階建,4階以上の建築物数・55階建,4階以上の建築物数・56階建,4階以上の建築物数・57階建,4階以上の建築物数・58階建,4階以上の建築物数・59階建,4階以上の建築物数・60階建,地階を有する建築物数・計,地階を有する建築物数・地下１階,地階を有する建築物数・地下２階,地階を有する建築物数・地下３階,地階を有する建築物数・地下４階,地階を有する建築物数・地下５階,地階を有する建築物数・地下６階,地階を有する建築物数・地下７階,地階を有する建築物数・地下８階
平成29年,"169,229","50,818","41,018","19,349","14,961","12,282","9,338","7,527","4,173","2,884","1,925","2,772",876,109,94,107,87,123,71,64,60,47,70,28,38,31,42,48,26,34,25,13,17,16,14,19,12,18,10,8,16,7,7,1,5,7,5,2,1,6,3,7,3,1,0,2,0,2,"70,548","62,506","6,433","1,090",368,103,35,8,5
平成30年,"171,042","51,462","41,382","19,419","15,018","12,336","9,443","7,647","4,255","2,973","2,000","2,854",910,114,96,110,93,123,71,65,61,50,70,34,39,31,44,48,28,36,25,13,18,18,14,19,12,17,10,8,16,8,7,1,5,7,5,2,1,6,3,7,3,1,0,2,0,2,"70,693","62,658","6,425","1,088",374,102,35,7,4
令和元年,"173,582","52,373","41,978","19,547","15,123","12,441","9,519","7,810","4,329","3,075","2,093","2,943",958,116,100,115,97,127,78,66,67,51,71,35,41,31,46,48,30,36,26,13,18,20,15,19,13,17,11,8,16,8,7,1,6,8,5,2,1,6,3,7,3,1,0,2,0,2,"71,108","63,031","6,464","1,093",372,102,34,8,4
令和2年,"175,926","53,249","42,484","19,660","15,227","12,515","9,592","7,975","4,411","3,185","2,142","3,032",1005,123,105,126,97,130,80,70,70,53,71,36,43,31,47,49,30,38,29,13,18,23,17,19,14,19,11,8,16,8,8,1,6,8,5,2,1,6,3,7,3,1,0,2,0,2,"71,410","63,340","6,469","1,082",371,101,35,9,3
令和3年,"178,007","54,017","42,910","19,759","15,321","12,605","9,695","8,109","4,481","3,291","2,215","3,101",1034,125,108,128,100,129,80,71,71,53,71,37,43,31,47,49,30,39,30,13,18,23,16,19,16,21,12,8,16,8,8,1,6,9,5,2,1,6,3,8,3,1,0,2,0,2,"71,675","63,597","6,469","1,091",368,103,36,8,3
特別区,151882,44635,34401,17268,13649,11322,8988,7413,3976,3048,2061,2791,936,117,94,121,92,121,74,69,71,51,69,34,41,29,46,46,29,38,29,12,17,22,16,19,16,21,11,8,16,8,8,1,6,9,5,2,1,6,3,8,3,1,0,2,0,2,61303,53942,5840,1024,352,98,36,8,3
丸の内,188,12,11,5,4,10,18,12,12,4,4,5,6,3,4,3,4,6,5,4,5,3,4,3,3,1,9,3,4,2,2,1,5,0,2,5,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,62,53,37,60,20,4,0,0
麹町,"2,023",214,316,296,244,252,255,176,56,51,31,55,18,6,11,3,6,2,5,2,4,2,3,1,1,1,1,2,0,0,1,0,1,0,1,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,276",926,261,56,21,7,4,0,1
神田,"4,884",521,900,726,619,662,611,372,112,140,95,63,18,5,6,3,7,2,3,3,6,0,4,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,320","1,975",294,41,6,3,1,0,0
京橋,"3,586",266,469,407,434,502,528,412,153,178,98,77,19,10,4,2,1,3,3,6,3,2,2,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"2,138","1,620",412,69,25,9,3,0,0
