応援消防本部,事案数・計,事案数・普通応援で対応,事案数・特別応援で対応,出場車両・計,出場車両・ポンプ車,出場車両・救急車,出場車両・特殊車,出場車両・その他,従事・件数,従事・台数,従事・放水口数,従事・使用ホース数,従事・放水時間（分）,出場人員・計,出場人員・従事,出場人員・不従事
令和4年,432,419,13,659,478,59,51,71,87,216,6,44,154,2432,761,1671
川口市,20,20,0,50,29,4,11,6,20,50,0,0,0,169,169,0
秩父,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
埼玉西部,22,22,0,24,23,0,0,1,1,1,0,0,0,83,4,79
草加八潮,36,36,0,36,36,0,0,0,0,0,0,0,0,123,0,121
戸田市,16,16,0,27,18,2,5,2,1,0,0,0,0,79,6,73
埼玉県南西部,82,82,0,107,87,12,6,2,10,20,1,3,28,438,81,357
三郷市,6,6,0,6,6,0,0,0,0,0,0,0,0,22,0,22
市川市,35,28,7,76,33,7,0,36,0,0,0,0,0,279,4,275
松戸市,12,12,0,12,12,0,0,0,7,0,0,0,0,42,23,19
浦安市,16,15,1,19,17,2,0,0,1,4,0,0,0,70,13,57
稲城市,25,20,5,52,36,5,5,6,3,19,2,18,60,157,53,107
横浜市,26,26,0,46,26,9,8,3,25,44,0,0,0,176,170,6
川崎市,85,85,0,126,97,8,13,8,12,48,2,20,64,506,139,367
相模原市,44,44,0,71,51,10,3,7,7,30,1,3,2,261,99,162
大和市,7,7,0,7,7,0,0,0,0,0,0,0,0,26,0,26
海老名市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
都留市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
富士五湖,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大月市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東山梨,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上野原市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
