消防署,計,（一）・イ,（一）・ロ,（二）・イ,（二）・ロ,（二）・ハ,（二）・ニ,（三）・イ,（三）・ロ,（四）,（五）・イ,（五）・ロ,（六）・イ・（１）,（六）・イ・（２）,（六）・イ・（３）,（六）・イ・（４）,（六）・ロ・（１）,（六）・ロ・（２）,（六）・ロ・（３）,（六）・ロ・（４）,（六）・ロ・（５）,（六）・ハ・（１）,（六）・ハ・（２）,（六）・ハ・（３）,（六）・ハ・（４）,（六）・ハ・（５）,（六）ニ,（七）,（八）,（九）・イ,（九）・ロ,（十）,十一,十二・イ,十二・ロ,十三・イ,十三・ロ,十四,十五・①,十五・②,十五・③,十六・イ,十六・ロ,十六の二,十六の三,十七
平成30年度,417109,148,56,56,524,14,197,102,7474,7828,2927,169204,301,498,697,1324,2097,12,4,32,343,800,33,2886,141,1430,1358,9037,437,159,384,615,4535,10940,66,2929,22,8637,2907,22693,17088,62115,73565,10,2,482
令和元年度,425621,161,60,56,499,14,189,104,7634,7853,3750,173031,293,425,703,1440,2168,12,4,34,368,787,30,3115,143,1553,1339,9100,450,157,363,627,4632,10941,67,2964,22,8942,2937,22829,17488,63351,74438,10,2,536
令和2年度,432909,165,56,56,466,14,184,99,7778,7912,4030,176949,298,390,704,1534,2243,12,4,34,398,780,31,3246,150,1679,1331,9092,451,158,336,626,4689,10955,67,2962,22,9145,2909,22983,17972,64090,75326,10,2,571
令和3年度,438801,168,60,53,434,14,179,92,7849,7963,4005,180770,301,352,708,1610,2309,12,4,33,424,783,31,3310,167,1818,1318,9082,454,159,321,636,4722,10899,75,2960,22,9243,18150,2901,23177,64702,75931,10,3,587
令和4年度,445325,167,60,57,402,13,169,85,7939,8008,4036,184998,296,333,706,1655,2380,11,5,34,443,778,28,3334,174,1925,1314,9108,457,162,310,635,4809,10730,74,2958,22,9481,2854,23265,18531,65318,76647,10,2,602
特別区,332407,101,34,43,287,9,138,61,5737,4720,3333,143866,189,212,406,994,1483,3,3,6,114,384,22,2033,74,992,778,5495,278,157,253,505,3533,6532,52,2149,12,5903,1831,19827,10819,53716,54942,10,2,369
丸の内,433,0,2,1,3,0,1,0,115,8,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,20,0,0,0,7,0,3,28,45,32,150,4,0,0,10
麹町,2296,2,0,0,0,0,0,4,33,7,13,364,0,1,4,8,4,0,0,0,0,0,0,5,0,0,2,93,9,0,0,12,28,1,1,22,0,22,60,711,50,529,301,0,0,10
神田,5503,0,0,0,14,0,9,1,257,137,76,468,9,0,1,0,3,0,0,0,0,1,0,5,0,0,1,112,2,1,0,16,10,20,0,37,0,35,12,1789,94,1733,656,0,0,4
京橋,3920,0,0,1,0,0,3,6,154,94,73,499,1,3,1,6,2,0,0,0,0,0,0,4,0,0,1,7,2,0,1,12,13,17,0,41,0,26,16,913,73,1601,347,0,2,1
日本橋,4119,0,0,0,1,0,4,3,172,65,74,730,0,0,0,10,1,0,0,0,0,0,0,7,0,1,1,10,1,0,1,15,13,12,0,36,0,26,14,1380,86,1035,412,1,0,8
臨港,901,0,0,0,0,0,0,0,59,12,4,342,0,0,1,5,0,0,0,0,0,0,0,13,0,0,0,3,3,0,0,2,4,9,0,12,0,31,15,39,45,181,120,0,0,1
芝,4851,1,1,0,4,2,10,0,318,30,69,753,1,2,7,9,3,0,1,0,0,1,0,7,0,0,2,67,3,0,1,26,94,16,0,47,0,45,25,1154,134,1442,557,1,0,18
麻布,3524,2,0,1,0,0,1,0,139,24,38,1150,1,0,1,4,6,0,0,0,0,0,0,14,0,1,10,33,6,1,1,6,82,8,1,16,0,13,13,261,90,1165,435,0,0,1
赤坂,2914,2,0,2,1,0,3,5,102,59,35,541,2,3,0,2,1,0,0,0,0,0,0,10,0,0,6,15,5,0,0,7,53,3,2,13,0,4,19,422,125,1145,313,0,0,14
高輪,2414,0,0,0,1,0,0,1,68,14,14,945,3,0,2,2,6,0,0,0,0,0,0,21,0,2,8,92,6,0,0,4,61,26,0,17,0,57,41,206,160,363,275,0,0,19
品川,4735,1,1,2,6,0,1,2,75,31,52,2013,1,0,6,10,13,0,0,0,0,1,0,32,1,5,5,61,5,0,1,5,98,101,1,25,0,56,20,517,203,757,625,0,0,2
大井,3238,5,1,0,2,0,1,1,57,16,17,1566,1,0,5,9,8,0,0,0,2,3,1,16,0,9,5,31,2,0,1,3,29,53,0,50,0,52,23,185,132,395,557,0,0,0
荏原,5654,0,1,0,5,0,0,0,83,72,11,2877,4,2,3,13,7,0,0,0,0,6,0,31,0,4,7,91,2,0,5,12,53,59,0,12,0,31,14,121,121,873,1134,0,0,0
大森,8877,7,1,0,4,0,2,0,76,77,37,4339,4,2,10,35,48,0,0,1,3,7,0,41,2,23,23,77,11,0,3,8,75,547,0,82,0,316,38,369,507,863,1229,0,0,10
田園調布,5258,0,0,0,1,0,1,0,44,67,1,2878,1,0,7,22,28,0,0,0,2,13,0,64,4,18,27,113,4,0,3,10,60,116,0,22,0,59,23,115,166,719,666,0,0,4
蒲田,6838,1,0,0,5,1,3,0,97,80,98,2897,3,8,4,12,21,0,0,0,2,5,2,20,0,33,10,60,3,0,6,13,69,308,0,66,4,183,40,249,316,897,1316,0,0,6
矢口,5008,0,1,0,1,0,1,0,78,75,26,2186,1,1,5,21,26,0,0,0,0,4,0,25,0,26,8,33,2,0,3,4,67,250,0,38,0,69,9,198,143,714,991,0,0,2
目黒,10022,1,0,0,7,0,3,0,160,85,22,5239,2,9,15,28,40,0,0,0,3,8,0,74,3,23,16,182,12,0,8,7,65,61,3,24,0,55,43,305,298,1793,1403,0,0,25
世田谷,12857,4,1,1,9,0,4,0,189,150,35,7207,6,1,17,47,44,0,0,3,2,13,0,124,6,24,33,283,7,1,13,15,126,22,1,30,0,80,46,234,294,2191,1581,0,0,13
玉川,7792,7,0,0,3,0,2,0,60,99,5,3740,4,2,9,26,57,0,0,0,0,18,0,66,1,16,23,172,6,0,3,5,90,45,1,19,0,65,56,196,295,1203,1490,0,0,8
成城,5696,3,0,0,4,0,0,0,46,101,4,2900,4,12,7,18,110,0,0,0,6,12,0,64,5,35,23,161,7,0,2,1,72,21,8,18,0,89,25,112,246,788,775,0,0,17
渋谷,12412,11,2,1,8,0,7,0,347,282,190,4105,14,21,5,12,18,0,0,0,1,5,1,53,2,10,14,236,8,1,4,25,122,14,3,30,0,35,33,1138,369,3716,1554,1,0,14
四谷,2979,5,0,0,2,0,3,1,153,22,56,759,7,2,1,9,5,0,0,0,0,2,0,6,0,2,0,32,2,2,0,9,72,2,1,14,0,27,10,401,99,802,465,0,0,6
牛込,4521,0,0,2,1,0,2,3,124,30,42,1930,14,1,0,15,9,0,0,0,0,1,0,10,1,4,1,115,6,0,3,9,81,55,0,14,0,33,51,356,108,791,701,0,0,8
新宿,11301,4,2,1,13,5,23,0,220,112,339,5053,0,5,5,23,13,0,0,0,3,6,1,23,1,18,11,242,10,6,5,17,99,45,1,24,0,67,32,582,303,2182,1795,4,0,6
中野,6611,3,0,1,4,0,0,0,95,62,50,3661,2,1,5,20,17,0,0,0,1,5,0,35,0,9,11,88,2,1,9,11,64,37,0,17,0,18,21,215,138,821,1187,0,0,0
野方,6869,0,0,0,3,0,0,0,42,50,28,3667,0,0,5,29,40,0,1,0,0,6,1,42,2,22,13,59,4,0,5,7,66,19,0,9,0,30,24,97,124,625,1837,0,0,12
杉並,12282,1,5,0,11,0,3,1,159,122,25,6151,2,1,13,42,49,0,0,0,3,14,1,85,1,33,26,193,7,0,9,5,166,49,2,28,0,85,48,285,279,1609,2758,0,0,11
荻窪,8088,0,2,0,3,0,1,0,87,90,8,3792,3,2,9,33,66,0,0,0,8,19,0,77,3,36,18,138,6,0,3,5,79,42,0,18,0,53,19,193,165,1058,2041,0,0,11
小石川,4214,0,1,0,0,0,0,0,28,15,7,2027,2,3,0,7,13,0,0,0,2,1,0,31,0,5,18,196,11,0,3,10,84,29,0,13,0,41,15,300,99,470,771,0,0,12
本郷,4208,0,0,2,0,0,0,3,83,20,34,1622,3,4,19,6,7,0,0,0,0,0,0,22,0,2,4,221,7,1,1,9,59,10,0,26,0,25,19,463,124,694,700,0,0,18
豊島,5932,1,0,4,11,1,7,1,103,59,132,2409,0,1,6,17,12,0,0,0,0,1,0,31,0,12,7,171,3,6,1,10,79,14,1,44,0,52,27,426,177,1249,851,1,0,5
池袋,6529,1,0,2,6,0,4,0,88,40,195,3352,1,1,14,14,24,0,0,0,3,2,0,37,0,23,10,103,4,7,2,8,32,46,1,22,0,32,23,216,122,1041,1046,1,0,6
王子,3736,1,0,0,5,0,2,0,49,48,17,1724,3,9,2,11,15,0,0,0,0,6,0,23,3,17,11,77,3,0,2,7,22,54,0,43,0,64,40,137,154,571,616,0,0,0
赤羽,3773,2,0,1,3,0,0,0,81,37,27,1765,4,4,6,10,18,0,1,0,3,3,0,23,0,10,14,57,1,0,3,5,68,124,0,36,0,94,40,109,178,487,557,0,0,2
滝野川,3773,1,0,0,2,0,0,0,20,21,32,1761,0,2,4,12,8,0,0,0,3,0,0,18,0,8,10,70,5,1,2,3,34,59,0,15,0,49,17,159,101,406,939,0,0,11
板橋,7270,0,1,0,10,0,1,0,64,85,26,3788,4,0,31,28,30,0,0,0,1,7,0,55,1,20,19,114,5,0,8,6,35,95,0,34,0,60,22,175,177,1071,1297,0,0,0
