X（m）,Y（m）,経度（度）,緯度（度）,到達時間（1cm）（秒）,到達時間（30cm）（秒）,到達時間（1m）（秒）,到達時間（最高水位）（秒）
-63555,-194475,139.14334589,34.24495381,710.7,714.7,719.0,1467.1
-63545,-194475,139.14345445,34.24495442,712.9,717.4,723.8,1468.0
-63535,-194475,139.14356300,34.24495503,119.4,690.1,712.9,1468.7
-63545,-194485,139.14345518,34.24486427,124.6,690.7,711.9,1466.7
-63575,-194545,139.14313392,34.24432152,693.4,713.0,720.6,764.0
-63565,-194545,139.14324248,34.24432213,708.7,715.4,720.7,763.4
-63555,-194545,139.14335104,34.24432274,714.6,719.4,723.5,777.3
-63565,-194555,139.14324322,34.24423198,720.2,724.2,727.4,1456.1
-63555,-194555,139.14335177,34.24423259,720.2,730.0,734.2,1457.3
-63545,-194555,139.14346033,34.24423320,140.2,461.3,721.0,774.3
-63975,-194565,139.13879310,34.24411670,410.1,667.7,684.2,759.4
-63965,-194565,139.13890166,34.24411731,120.0,652.4,683.8,758.9
-63985,-194575,139.13868528,34.24402593,692.0,694.5,698.6,759.0
-63975,-194575,139.13879384,34.24402654,694.2,697.6,702.7,758.6
-63965,-194575,139.13890240,34.24402716,693.9,703.0,708.0,758.0
-63985,-194585,139.13868602,34.24393578,697.1,699.9,704.4,758.0
-63975,-194585,139.13879458,34.24393639,699.8,702.5,706.6,757.7
-63965,-194585,139.13890314,34.24393701,705.0,715.4,722.7,757.1
-63955,-194585,139.13901169,34.24393762,128.7,431.4,691.1,756.6
-63975,-194595,139.13879532,34.24384624,697.0,701.9,706.5,756.8
-63965,-194595,139.13890388,34.24384686,669.7,683.2,699.6,756.3
-63665,-194595,139.14216059,34.24386526,150.7,438.6,717.1,2143.2
-63655,-194595,139.14226915,34.24386587,151.9,439.9,718.5,2144.3
-63975,-194605,139.13879606,34.24375609,677.5,684.1,695.1,756.1
-63965,-194605,139.13890462,34.24375670,143.2,428.4,697.0,755.6
-63655,-194605,139.14226988,34.24377572,154.1,438.8,720.0,2144.5
-63975,-194615,139.13879680,34.24366594,682.5,688.3,696.6,755.7
-63965,-194615,139.13890536,34.24366655,686.8,702.2,708.6,754.9
-63925,-194615,139.13933959,34.24366901,133.3,427.8,693.4,758.2
-63675,-194615,139.14205351,34.24368434,151.8,437.0,718.9,2142.4
-63935,-194625,139.13923177,34.24357824,129.0,424.1,692.1,757.7
-63925,-194625,139.13934033,34.24357886,690.9,696.4,703.1,757.6
-63705,-194625,139.14172857,34.24359235,151.6,432.9,717.3,2139.1
-63675,-194625,139.14205424,34.24359419,153.1,436.9,719.9,2142.4
-63615,-194625,139.14270558,34.24359786,155.0,440.8,725.5,2149.3
-63935,-194635,139.13923251,34.24348809,665.5,684.9,698.3,757.0
-63925,-194635,139.13934107,34.24348871,684.8,692.9,700.3,756.8
-63915,-194635,139.13944962,34.24348932,711.7,715.1,720.6,756.7
-63895,-194635,139.13966674,34.24349055,138.5,424.0,698.8,756.3
-63735,-194635,139.14140364,34.24350036,153.2,429.1,714.6,2136.8
-63725,-194635,139.14151220,34.24350098,154.0,297.3,715.3,2137.1
-63715,-194635,139.14162075,34.24350159,717.6,720.0,721.6,2138.1
-63705,-194635,139.14172931,34.24350220,286.5,670.4,720.6,2139.2
-63695,-194635,139.14183787,34.24350281,273.8,458.3,720.9,2140.2
-63685,-194635,139.14194642,34.24350343,440.8,672.0,721.8,2144.4
-63675,-194635,139.14205498,34.24350404,721.3,723.6,725.1,2145.3
-63665,-194635,139.14216354,34.24350465,228.1,446.5,723.2,2146.1
-63655,-194635,139.14227209,34.24350526,152.9,297.2,723.3,760.4
-63645,-194635,139.14238065,34.24350587,153.3,298.0,724.2,2147.7
-63635,-194635,139.14248921,34.24350649,154.8,299.0,724.9,2147.9
-63625,-194635,139.14259776,34.24350710,154.9,301.0,725.7,2148.5
-63615,-194635,139.14270632,34.24350771,155.6,439.6,726.6,2149.3
-63605,-194635,139.14281488,34.24350832,155.8,441.5,727.1,774.0
-63595,-194635,139.14292343,34.24350893,156.2,443.6,728.1,772.7
-63585,-194635,139.14303199,34.24350954,156.7,445.0,728.8,771.0
-63575,-194635,139.14314055,34.24351015,156.6,446.5,729.6,769.5
-63565,-194635,139.14324910,34.24351077,155.2,446.9,730.6,768.5
-63555,-194635,139.14335766,34.24351138,155.4,447.6,731.5,767.8
-63545,-194635,139.14346622,34.24351199,155.3,449.1,732.1,767.5
-63945,-194645,139.13912469,34.24339733,175.3,424.1,692.2,756.5
-63935,-194645,139.13923325,34.24339794,134.8,415.1,693.5,756.4
-63915,-194645,139.13945036,34.24339917,698.6,705.1,711.5,755.9
-63895,-194645,139.13966747,34.24340040,699.6,702.9,707.4,755.4
-63805,-194645,139.14064448,34.24340592,149.0,420.4,709.0,753.7
-63795,-194645,139.14075304,34.24340653,703.3,710.4,714.5,2140.1
-63785,-194645,139.14086160,34.24340715,151.8,425.6,711.4,2140.6
-63775,-194645,139.14097015,34.24340776,153.0,290.5,712.5,2139.4
-63765,-194645,139.14107871,34.24340837,154.0,287.8,713.2,2138.5
