X（m）,Y（m）,経度（度）,緯度（度）,津波高（最大）（m）
-63555,-194475,139.14334589,34.24495381,3.5940
-63545,-194475,139.14345445,34.24495442,3.6411
-63535,-194475,139.14356300,34.24495503,3.6158
-63545,-194485,139.14345518,34.24486427,3.6197
-63575,-194545,139.14313392,34.24432152,3.5834
-63565,-194545,139.14324248,34.24432213,3.5829
-63555,-194545,139.14335104,34.24432274,3.5881
-63565,-194555,139.14324322,34.24423198,3.6622
-63555,-194555,139.14335177,34.24423259,3.6679
-63545,-194555,139.14346033,34.24423320,3.6585
-63975,-194565,139.13879310,34.24411670,3.3617
-63965,-194565,139.13890166,34.24411731,3.3625
-63985,-194575,139.13868528,34.24402593,3.5046
-63975,-194575,139.13879384,34.24402654,3.3202
-63965,-194575,139.13890240,34.24402716,3.3512
-63955,-194585,139.13901169,34.24393762,3.4330
-63975,-194595,139.13879532,34.24384624,3.5603
-63965,-194595,139.13890388,34.24384686,3.6032
-63665,-194595,139.14216059,34.24386526,3.7888
-63655,-194595,139.14226915,34.24386587,3.9598
-63975,-194605,139.13879606,34.24375609,3.5373
-63965,-194605,139.13890462,34.24375670,3.5257
-63655,-194605,139.14226988,34.24377572,3.8015
-63975,-194615,139.13879680,34.24366594,3.5820
-63965,-194615,139.13890536,34.24366655,3.5138
-63925,-194615,139.13933959,34.24366901,3.4557
-63675,-194615,139.14205351,34.24368434,3.8205
-63935,-194625,139.13923177,34.24357824,3.5247
-63925,-194625,139.13934033,34.24357886,3.4444
-63705,-194625,139.14172857,34.24359235,3.9769
-63675,-194625,139.14205424,34.24359419,3.8261
-63615,-194625,139.14270558,34.24359786,4.0240
-63935,-194635,139.13923251,34.24348809,3.6272
-63925,-194635,139.13934107,34.24348871,3.7150
-63895,-194635,139.13966674,34.24349055,3.7361
-63735,-194635,139.14140364,34.24350036,4.0072
-63725,-194635,139.14151220,34.24350098,3.9859
-63715,-194635,139.14162075,34.24350159,3.9567
-63705,-194635,139.14172931,34.24350220,4.0984
-63695,-194635,139.14183787,34.24350281,3.9067
-63685,-194635,139.14194642,34.24350343,4.0473
-63675,-194635,139.14205498,34.24350404,3.8562
-63665,-194635,139.14216354,34.24350465,3.9497
-63655,-194635,139.14227209,34.24350526,4.0092
-63645,-194635,139.14238065,34.24350587,4.0232
-63635,-194635,139.14248921,34.24350649,4.0488
-63625,-194635,139.14259776,34.24350710,4.0665
-63615,-194635,139.14270632,34.24350771,4.0312
-63605,-194635,139.14281488,34.24350832,3.9928
-63595,-194635,139.14292343,34.24350893,3.9727
