市町村名,補正後の道路の延長（m）,補正後の道路の面積（m2）,地方揮発油譲与税額（円）A,地方道路譲与税額（円）B,自動車重量譲与税額（円）C,航空機燃料譲与税額（円）D,譲与税額合計A+B+C＋D（円）E
区市町村計,75439595,386265424,5845236000,287,13675745000,814324000,20335305287
区計,49843112,256379962,3870540000,208,9055622000,803922000,13730084208
市町村計,25596483,129885462,1974696000,79,4620123000,10402000,6605221079
市計,24274456,123739746,1876905000,79,4391307000,624000,6268836079
町村計,1322027,6145716,97791000,0,228816000,9778000,336385000
八王子市,3414067,19655154,280379000,17,656006000,0,936385017
立川市,987456,5366235,78770000,3,184291000,0,263061003
武蔵野市,694869,3198549,51224000,2,119846000,0,171070002
三鷹市,1053964,4441213,74710000,3,174793000,85000,249588003
青梅市,1100362,5151924,81749000,4,191262000,0,273011004
府中市,1400467,7408674,110245000,5,257932000,0,368177005
昭島市,665676,3205197,50153000,2,117341000,0,167494002
調布市,1297068,5794492,94336000,5,220712000,539000,315587005
町田市,2588389,13794381,204497000,12,478448000,0,682945012
小金井市,662400,2766898,46775000,2,109440000,0,156215002
小平市,1007800,4921837,76352000,3,178636000,0,254988003
日野市,1087142,5688818,85126000,4,199163000,0,284289004
東村山市,864401,4303826,66087000,3,154619000,0,220706003
国分寺市,687287,3209511,50999000,2,119319000,0,170318002
国立市,457600,2155135,34088000,0,79754000,0,113842000
福生市,365584,1838078,28079000,0,65696000,0,93775000
狛江市,446774,1912502,31886000,0,74602000,0,106488000
東大和市,529285,2589556,40132000,1,93896000,0,134028001
清瀬市,424976,2152445,32757000,0,76639000,0,109396000
東久留米市,698407,3363954,52570000,2,122996000,0,175566002
武蔵村山市,481344,2308332,36157000,0,84597000,0,120754000
多摩市,824674,5416055,72587000,3,169827000,0,242414003
稲城市,474629,3068943,41424000,1,96920000,0,138344001
羽村市,356662,2077892,29466000,0,68942000,0,98408000
あきる野市,628533,3192074,48510000,2,113495000,0,162005002
西東京市,1074640,4758071,77847000,3,182135000,0,259982003
瑞穂町,287144,1533098,22706000,0,53123000,0,75829000
日の出町,148446,849939,12155000,0,28440000,0,40595000
檜原村,43512,175673,3027000,0,7084000,0,10111000
奥多摩町,128067,461064,8505000,0,19900000,0,28405000
大島町,237641,1010362,16910000,0,39563000,955000,57428000
利島村,10028,31913,633000,0,1485000,0,2118000
新島村,64488,346388,5114000,0,11965000,111000,17190000
神津島村,32874,152418,2430000,0,5687000,60000,8177000
三宅村,77550,306830,5351000,0,12519000,58000,17928000
御蔵島村,6562,22405,425000,0,998000,0,1423000
八丈町,245460,1039189,17434000,0,40789000,8594000,66817000
青ケ島村,16632,60271,1106000,0,2590000,0,3696000
小笠原村,23623,156166,1995000,0,4673000,0,6668000
