X（m）,Y（m）,経度（度）,緯度（度）,到達時間（1cm）（秒）,到達時間（30cm）（秒）,到達時間（1m）（秒）,到達時間（最高水位）（秒）
-6995,-315065,139.75834030,33.15955524,81.8,1346.7,1367.5,1425.2
-6985,-315065,139.75844751,33.15955530,1351.8,1358.5,1374.7,1425.1
-6975,-315065,139.75855472,33.15955536,1359.5,1365.0,1381.7,1433.2
-6965,-315065,139.75866192,33.15955543,1263.1,1352.5,1369.5,1430.5
-6955,-315065,139.75876913,33.15955549,1376.2,1382.1,1394.9,1430.7
-6945,-315065,139.75887634,33.15955556,1380.8,1385.7,1399.2,1429.3
-6925,-315065,139.75909076,33.15955568,1412.4,1417.4,-9999.0,1431.2
-6915,-315065,139.75919797,33.15955575,1367.0,1373.3,1390.0,1435.2
-6905,-315065,139.75930518,33.15955581,1381.7,1387.9,1399.2,1434.9
-6895,-315065,139.75941239,33.15955588,1399.7,1407.6,1433.1,1434.0
-7015,-315075,139.75812595,33.15946493,81.8,1346.8,1366.2,1422.7
-7005,-315075,139.75823316,33.15946500,142.2,1349.2,1368.1,1424.2
-6995,-315075,139.75834037,33.15946506,1364.3,1370.8,1383.2,1424.5
-6975,-315075,139.75855479,33.15946519,1423.2,-9999.0,-9999.0,1431.0
-6895,-315075,139.75941247,33.15946570,1418.2,1421.8,-9999.0,1439.6
-6885,-315075,139.75951968,33.15946577,1373.8,1380.1,1393.8,1429.3
-7045,-315085,139.75780440,33.15937456,81.2,1347.2,1367.0,1429.4
-7035,-315085,139.75791161,33.15937463,80.2,1347.0,1366.8,1420.2
-7025,-315085,139.75801882,33.15937469,1365.1,1370.7,1383.3,1420.6
-7015,-315085,139.75812603,33.15937476,1407.5,1415.6,-9999.0,1421.6
-6885,-315085,139.75951975,33.15937559,1373.3,1379.5,1391.8,1433.2
-7065,-315095,139.75759006,33.15928426,873.5,1351.5,1368.8,1426.2
-7055,-315095,139.75769727,33.15928432,1361.3,1367.5,1381.1,1426.5
-7045,-315095,139.75780448,33.15928439,1401.8,1407.2,-9999.0,1429.8
