町村・島,揺れによる木造全壊棟数,揺れによる非木造全壊棟数,揺れによる全壊棟数合計,揺れによる木造大規模半壊棟数,揺れによる非木造大規模半壊棟数,揺れによる大規模半壊棟数合計,揺れによる木造半壊棟数,揺れによる非木造半壊棟数,揺れによる半壊棟数合計,急傾斜地崩壊による木造全壊棟数,急傾斜地崩壊による非木造全壊棟数,急傾斜地崩壊による全壊棟数合計,急傾斜地崩壊による木造大規模半壊棟数,急傾斜地崩壊による非木造大規模半壊棟数,急傾斜地崩壊による大規模半壊棟数合計,急傾斜地崩壊による木造半壊棟数,急傾斜地崩壊による非木造半壊棟数,急傾斜地崩壊による半壊棟数合計,津波による木造全壊棟数,津波による非木造全壊棟数,津波による全壊棟数合計,津波による木造大規模半壊棟数,津波による非木造大規模半壊棟数,津波による大規模半壊棟数合計,津波による木造半壊棟数,津波による非木造半壊棟数,津波による半壊棟数合計
大島町,28,0,28,65.61608697,0.948273946,66.56436091,315.672294,10.95270205,326.624996,5.388,0,5.388,2.261,0,2.261,12.572,0,12.572,0,2,2,6,3,9,1,1,2
利島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新島村新島,0,0,0,0.000357875,0.000157073,0.000514948,0.006054964,0.003987455,0.010042419,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
新島村式根島,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
神津島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
三宅村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
御蔵島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
八丈町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,31,53,29,37,66,15,16,31
青ヶ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
小笠原村父島,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
小笠原村母島,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
