番号,項目,回答数（人）,回答数（％）
1,令和３年度は事業を実施していることを知らなかったから,167,10.8
2,還元率や上限額が魅力的になり、売上への貢献が期待できたから,126,8.2
3,事業実施期間が参加しやすくなったから,39,2.5
4,ポイント還元やデジタル商品券等のデジタル方式での実施だったから（比率が増えたから）,72,4.7
5,紙商品券等の紙方式での実施だったから（比率が増えたから）,21,1.4
6,事業の対象決済手段が変更（デジタル通貨からQRコード決済に変更等）されたから,23,1.5
7,事業への参加申請手続き等が簡易的になり参加しやすくなったから,43,2.8
8,広告・周知されていて、参加者数が増えると思われたから,52,3.4
9,アプリの操作性や利便性が向上したから,33,2.1
10,換金手続きが簡易的になったから,25,1.6
11,新たに開業したから,47,3
12,店舗がキャッシュレス決済に対応し、事業に参加できるようになったから,63,4.1
13,自分の店舗（会社）の所在する地域では、令和３年度に事業を実施していなかったから,18,1.2
14,顧客の要望があったから,25,1.6
15,令和３年度も参加した,732,47.4
16,分からない,311,20.1
17,その他,31,2
全体,,1828,
