届出書,内容,関係法令,担当,TEL
工場設置（変更）認可申請書,工場を設置、又は変更しようとする場合は、知事からの認可を受けてください。,東京都環境確保条例（都民の健康と安全を確保する環境に関する条例）,商工担当,04996-2-1113
工事完成届出書,工場の設置又は変更の工事が完成した時は、その日から１５日以内に届け出てください。,東京都環境確保条例（都民の健康と安全を確保する環境に関する条例）,商工担当,04996-2-1113
認可工場（表示板）,工場設置の認可を受けた場合、必要事項を記載した表示板を当該工場の公衆の見やすい場所に掲出してください。,東京都環境確保条例（都民の健康と安全を確保する環境に関する条例）,商工担当,04996-2-1113
工場現況届出書,工場設置の認可、又は変更の認可を受けた日から３年を経過するごとに届け出が必要です。当該経過した日から起算して３０日以内に届け出てください。,東京都環境確保条例（都民の健康と安全を確保する環境に関する条例）,商工担当,04996-2-1113
工場（指定作業場）氏名等変更届出書,氏名等を変更したときは、その日から３０日以内に届け出てください。,東京都環境確保条例（都民の健康と安全を確保する環境に関する条例）,商工担当,04996-2-1113
工場（指定作業場）廃止届出書,工場を廃止したときは、その日から３０日以内に届け出てください。,東京都環境確保条例（都民の健康と安全を確保する環境に関する条例）,商工担当,04996-2-1113
工場（指定作業場）承継届出書,工場を譲り受け、又は借り受けた場合は、その日から３０日以内に届け出てください。,東京都環境確保条例（都民の健康と安全を確保する環境に関する条例）,商工担当,04996-2-1113
指定作業場設置（変更）届出書,工場を設置、又は変更しようとする場合は、知事からの認可を受けてください。,東京都環境確保条例（都民の健康と安全を確保する環境に関する条例）,商工担当,04996-2-1113
工場（指定作業場）事故届出書,事故等が発生した場合は、知事に届け出てください。,東京都環境確保条例（都民の健康と安全を確保する環境に関する条例）,商工担当,04996-2-1113
事故再発防止措置計画書,事故等の発生から日から３０日以内に届け出てください。,東京都環境確保条例（都民の健康と安全を確保する環境に関する条例）,商工担当,04996-2-1113
事故再発防止措置完了届出書,事故再発防止措置計画に係る措置を完了したとき、速やかに知事に届け出てください。,東京都環境確保条例（都民の健康と安全を確保する環境に関する条例）,商工担当,04996-2-1113
ばい煙等の減少計画書,必要に応じて、ばい煙等の減少のための措置に関する計画の提出を求める場合があります。,東京都環境確保条例（都民の健康と安全を確保する環境に関する条例）,商工担当,04996-2-1113
