ごみ名,分別区分,備考
AEDパッド,燃やさないごみ,
AED本体,メーカー自主回収,
AVケーブル,燃やさないごみ,
LANケーブル,燃やさないごみ,
PCパーツ,燃やさないごみ,マザーボード、CPU、グラフィックボード等。いちばん長い部分が30cmを超えるものは、粗大ごみへ。
アイロン,燃やさないごみ,
アルバム,燃やすごみ,金具部分は取り除いてください。
アルミホイル,燃やさないごみ,紙製の外箱は、金具などは取り除いて資源（集積所）として、紙袋に入れて出してください。
アンテナ,粗大ごみ,BS・CSを含む。
イーゼル,粗大ごみ,
ウェットスーツ,燃やすごみ,
エアコン,家電リサイクル法対象品目,室内機・室外機を含む。
オイルヒーター,粗大ごみ,
オーディオラック,粗大ごみ,いちばん長い部分が30cmを超えないものは、燃やさないごみへ。
オーディオ機器,粗大ごみ（持込対象品目）,いちばん長い部分が30cmを超えないものは、燃やさないごみへ。
オートバイ,区では収集できないもの,製造者や輸入業者がリサイクルに取り組んでいます。二輪車リサイクルコールセンター　電話：050-3000-0727https://www.jarc.or.jp/motorcycle/
オーブントースター,粗大ごみ（持込対象品目）,いちばん長い部分が30cmを超えないものは、燃やさないごみへ。
オーブンレンジ,粗大ごみ,いちばん長い部分が30cmを超えないものは、燃やさないごみへ。
おけ,燃やさないごみ,金属製のもの。木製・プラスチック製は燃やすごみへ。どちらもいちばん長い部分が30cmを超えるものは、粗大ごみへ。
おむつ,燃やすごみ,乳幼児用・大人用のもの。排泄物はトイレに流してから捨ててください。
おもちゃ,燃やさないごみ,金属製のもの。木製・プラスチック製は燃やすごみへ。電池があるものは、はずしてください。どちらもいちばん長い部分が30cmを超えるものは、粗大ごみへ。
オルガン,粗大ごみ,
カーテン,燃やすごみ,
カーテンレール,粗大ごみ,
カーペット,粗大ごみ,電気カーペット、ウッドカーペットを含む。
カーボン紙,燃やすごみ,ノンカーボン紙を含む。資源では出せません。
ガスオーブンレンジ,粗大ごみ,いちばん長い部分が30cmを超えないものは、燃やさないごみへ。
ガステーブル,粗大ごみ,電池を抜いて出してください。
カセットコンロ,燃やさないごみ,力セットボンベは必ず外してください。いちばん長い部分が30cmを超えるものは粗大ごみへ。
カセットボンベ,燃やさないごみ,なるべく最後まで使い切り、別袋にいれて「カセットボンベ、ボンベ」等と表記。※穴は開けないでください。
カタログ類,資源,雑誌と一緒に、ひもでしばって出してください。※商品見本として、木や布等が貼ってあるものは、燃やすごみへ
カップめん容器,資源,食品発泡カップのもの。汚れているものは燃やすごみへ。
かばん,燃やすごみ,布製・皮製・ビニール製のもの。ランドセルを含む。いちばん長い部分が30cmを超えるものは、粗大ごみへ。
カラーボックス,粗大ごみ,
ガラス,燃やさないごみ,いちばん長い部分が30cmを超えるものは、粗大ごみへ。割れたものは新聞紙等で包んで「ガラス」と表記。
カレンダー,資源,ただし、汚れた紙、臭いの付いた紙、カーボン紙、シュレッダー屑、金箔を押した紙、油のついた紙などはリサイクルできません。　燃やすごみとしてお出しください。
キーボード,粗大ごみ,パソコン用のもの。いちばん長い部分が30cmを超えないものは、燃やさないごみへ。
キャットタワー,粗大ごみ,いちばん長い部分が30㎝を超えないものは、燃やさないごみへ。
キャリーカート,粗大ごみ,
キャンバス,粗大ごみ,
キャンプ用品,粗大ごみ,いちばん長い部分が30㎝を超えないものは、燃やさないごみへ。
キルティングケット,資源,綿の量が多いもの（布団のようなもの）は粗大ごみ。
クーラーボックス,粗大ごみ,いちばん長い部分が30㎝を超えないものは、燃やさないごみへ。
クッション,燃やすごみ,いちばん長い部分が30cmを超えるものは、粗大ごみへ。
グローブ,燃やすごみ,スポーツ用のもの。
ゲームソフト（CD型）,資源,※拠点回収で出すのが難しい場合は、燃やすごみへ。
ゲームソフト（カセット型）,燃やすごみ,
ゲーム機（家庭用）,燃やさないごみ,いちばん長い部分が30cmを超えるものは、粗大ごみへ。携帯用ゲーム機は公共施設で回収。
コーヒーメーカー,粗大ごみ,いちばん長い部分が30㎝を超えないものは、燃やさないごみへ。
ござ,粗大ごみ,
こたつ,粗大ごみ,こたつ板を含む。
こたつ布団,粗大ごみ,掛け布団・敷布団
コピー機,粗大ごみ,家庭用のもの。いちばん長い部分が30cmを超えないものは、燃やさないごみへ。
コピー用紙,資源,ただし、汚れた紙、臭いの付いた紙、カーボン紙、シュレッダー屑、金箔を押した紙、油のついた紙などはリサイクルできません。　燃やすごみとしてお出しください。
ごみ容器,粗大ごみ,いちばん長い部分が30cmを超えないものは、燃やすごみへ。
ゴム,燃やすごみ,ゴム製品、輪ゴム等。
ゴルフクラブ,粗大ごみ,
ゴルフバック,粗大ごみ,
ゴルフボール,燃やすごみ,大量の場合は分けて出してください。
コンクリート,区では収集できないもの,台東清掃事務所で、処理処分先（民間業者）の紹介をしますのでお問合せください。台東清掃事務所電話：03-3876-5771
サーフボード,粗大ごみ,
サイクリングマシーン,粗大ごみ,
シーツ・敷布,資源,※拠点回収で出すのが難しい場合は、広がらないようにしぱって燃やすごみへ。
ジーパン,資源,
シール,燃やすごみ,資源回収では出せません。
