,,,問7(6).お年寄りには、尊敬と感謝の気持ちをもって接している／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
全体,,回答者数（人）,5103,2162,1934,790,217,58
全体,,構成比（％）,100.0,42.4,37.9,15.5,4.3,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,381,161,150,51,19,9
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,42.3,39.4,13.4,5.0,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,166,85,59,14,8,6
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,51.2,35.5,8.4,4.8,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,205,74,85,35,11,3
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,36.1,41.5,17.1,5.4,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,2,6,2,0,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,20.0,60.0,20.0,0.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,800,424,248,101,27,8
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,53.0,31.0,12.6,3.4,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,381,207,117,47,10,3
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,54.3,30.7,12.3,2.6,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,391,210,117,48,16,5
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,53.7,29.9,12.3,4.1,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,7,14,6,1,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,25.0,50.0,21.4,3.6,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,463,177,174,85,27,7
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,38.2,37.6,18.4,5.8,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,264,109,94,46,15,4
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,41.3,35.6,17.4,5.7,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,198,68,80,38,12,3
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,34.3,40.4,19.2,6.1,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,0,1,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,0.0,100.0,0.0,
