区分,前期末残高（億円）,当期増加額（億円）,当期減少額（億円）,当期末残高（億円）,当期末減価償却累計額（億円）,当期償却額（億円）,差引当期末残高（億円）
有形固定資産,282321,19241,16246,285316,36090,1690,249226
行政財産,102303,6633,5553,103383,22378,1009,81005
建物,45052,2388,1963,45477,19570,867,25907
工作物,5797,975,790,5982,2611,124,3371
立木,6,0,0,6,-,-,6
船舶等,348,25,19,353,187,16,166
浮標等,16,0,0,16,8,0,7
土地,51081,3243,2778,51546,-,-,51546
普通財産,14007,1484,1413,14078,3391,158,10686
建物,6207,442,304,6345,2695,137,3650
工作物,1378,53,58,1373,673,20,699
立木,0,2,2,0,-,-,0
船舶等,13,2,7,7,5,0,1
浮標等,22,-,-,22,17,0,4
土地,6385,983,1040,6329,-,-,6329
重要物品,1982,178,198,1962,1143,97,818
インフラ資産,150752,3888,2526,152115,9149,423,142965
土地,122497,1785,1260,123022,-,-,123022
土地以外,28255,2103,1265,29092,9149,423,19943
リース資産,111,9,11,109,27,2,82
建設仮勘定,13164,7045,6542,13668,-,-,13668
無形固定資産,292,51,42,301,-,0,301
行政財産,59,22,22,59,-,-,59
地上権,59,22,22,59,-,-,59
その他無形固定資産,-,0,0,-,-,-,-
普通財産,92,29,20,101,-,0,101
地上権,3,11,3,11,-,-,11
その他無形固定資産,88,17,16,89,-,0,89
インフラ資産,140,-,-,140,-,-,140
地上権,140,-,-,140,-,-,140
その他無形固定資産,-,-,-,-,-,-,-
計,282613,19293,16289,285617,36090,1690,249527
