令和3年10月31日  執行,,,,,,,
最高裁判所裁判官国民審査　開票結果内訳,,,,,,,
東京都選挙管理委員会,,,,,,,
令和3年 11月1日 10時 43分 確定,,,,,,,
開  票  区  名,有 効 投 票 数,無 効 投 票 数,投  票  総  数,持 ち 帰 り と思 わ れ る 票 数,不 受 理 と 決定 し た 票 数,投  票  者  数,無 効 投 票 率
　★都計,6437727 ,109097 ,6546824 ,4393 ,37 ,6551254 ,1.67
　☆区部計,4401837 ,73432 ,4475269 ,3426 ,5 ,4478700 ,1.64
　　千代田区,32623 ,442 ,33065 ,14 ,0 ,33079 ,1.34
　　中央区,79765 ,931 ,80696 ,16 ,0 ,80712 ,1.15
　　港区計,108431 ,1691 ,110122 ,44 ,0 ,110166 ,1.54
　　港区１区,91942 ,1457 ,93399 ,36 ,0 ,93435 ,1.56
　　港区２区,16489 ,234 ,16723 ,8 ,0 ,16731 ,1.40
　　新宿区計,151439 ,2047 ,153486 ,168 ,5 ,153659 ,1.33
　　新宿区１区,130598 ,1806 ,132404 ,146 ,3 ,132553 ,1.36
　　新宿区１０区,20841 ,241 ,21082 ,22 ,2 ,21106 ,1.14
　　文京区,118351 ,1265 ,119616 ,79 ,0 ,119695 ,1.06
　　台東区計,95535 ,1576 ,97111 ,22 ,0 ,97133 ,1.62
　　台東区２区,62644 ,853 ,63497 ,18 ,0 ,63515 ,1.34
　　台東区１４区,32891 ,723 ,33614 ,4 ,0 ,33618 ,2.15
　　墨田区,128308 ,2102 ,130410 ,37 ,0 ,130447 ,1.61
　　江東区,244850 ,3099 ,247949 ,434 ,0 ,248383 ,1.25
　　品川区計,194992 ,3213 ,198205 ,49 ,0 ,198254 ,1.62
　　品川区３区,176336 ,2948 ,179284 ,42 ,0 ,179326 ,1.64
　　品川区７区,18656 ,265 ,18921 ,7 ,0 ,18928 ,1.40
　　目黒区計,136133 ,1851 ,137984 ,129 ,0 ,138113 ,1.34
　　目黒区５区,92460 ,1338 ,93798 ,71 ,0 ,93869 ,1.43
　　目黒区７区,43673 ,513 ,44186 ,58 ,0 ,44244 ,1.16
　　大田区計,339694 ,5493 ,345187 ,197 ,0 ,345384 ,1.59
　　大田区３区,87049 ,970 ,88019 ,33 ,0 ,88052 ,1.10
　　大田区４区,252645 ,4523 ,257168 ,164 ,0 ,257332 ,1.76
　　世田谷区計,457677 ,7290 ,464967 ,223 ,0 ,465190 ,1.57
　　世田谷区５区,181062 ,2881 ,183943 ,103 ,0 ,184046 ,1.57
　　世田谷区６区,276615 ,4409 ,281024 ,120 ,0 ,281144 ,1.57
　　渋谷区,106037 ,2272 ,108309 ,32 ,0 ,108341 ,2.10
　　中野区計,158082 ,2064 ,160146 ,259 ,0 ,160405 ,1.29
　　中野区７区,79518 ,982 ,80500 ,187 ,0 ,80687 ,1.22
　　中野区１０区,78564 ,1082 ,79646 ,72 ,0 ,79718 ,1.36
　　杉並区計,292659 ,3243 ,295902 ,60 ,0 ,295962 ,1.10
　　杉並区７区,6149 ,48 ,6197 ,1 ,0 ,6198 ,0.77
　　杉並区８区,286510 ,3195 ,289705 ,59 ,0 ,289764 ,1.10
