令和3年7月4日  執行,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都議会議員選挙　党派別得票率,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都選挙管理委員会,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和3年 7月5日 2時 25分 確定,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,全党派計,全党派計,都民ファーストの会,都民ファーストの会,自由民主党,自由民主党,公明党,公明党,日本共産党,日本共産党,日本維新の会,日本維新の会,東京・生活者ネットワーク,東京・生活者ネットワーク,立憲民主党,立憲民主党,国民民主党,国民民主党,れいわ新選組,れいわ新選組,テレビ改革党,テレビ改革党,減税とうきょう,減税とうきょう,その他の党派,その他の党派,無所属,無所属
,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率
　★都計,4643656.993,100.00,1034778.100,22.28,1192796.997,25.69,630810.000,13.58,630158.624,13.57,165850.552,3.57,61070.580,1.32,573086.899,12.34,31101.419,0.67,37299.000,0.80,9816.000,0.21,8633.000,0.19,32367.000,0.68,235888.822,5.08
　☆区部計,3255156.994,100.00,682378.000,20.96,801128.997,24.61,507493.000,15.59,450600.624,13.84,157806.552,4.85,35492.580,1.09,370642.000,11.39,23412.419,0.72,37299.000,1.15,8587.000,0.26,8633.000,0.27,27242.000,0.84,144441.822,4.44
　☆市部計,1360419.999,100.00,345785.100,25.42,375916.000,27.63,123317.000,9.06,177588.000,13.05,8044.000,0.59,25578.000,1.88,199223.899,14.64,7689.000,0.57,0.000,0.00,1229.000,0.09,0.000,0.00,4969.000,0.37,91081.000,6.70
　☆郡部計,17203.000,100.00,6615.000,38.45,6845.000,39.79,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,3221.000,18.72,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,156.000,0.91,366.000,2.13
　☆島部計,10877.000,100.00,0.000,0.00,8907.000,81.89,0.000,0.00,1970.000,18.11,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
　☆区部計,3255156.994,100.00,682378.000,20.96,801128.997,24.61,507493.000,15.59,450600.624,13.84,157806.552,4.85,35492.580,1.09,370642.000,11.39,23412.419,0.72,37299.000,1.15,8587.000,0.26,8633.000,0.27,27242.000,0.84,144441.822,4.44
　　千代田区,22856.000,100.00,8149.000,35.65,7240.000,31.68,0.000,0.00,3189.000,13.95,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,4278.000,18.72
　　中央区,51404.000,100.00,14042.000,27.32,19272.000,37.49,0.000,0.00,0.000,0.00,7839.000,15.25,0.000,0.00,10251.000,19.94,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
　　港区,66137.000,100.00,18254.000,27.60,19041.000,28.79,0.000,0.00,7694.000,11.63,4093.000,6.19,0.000,0.00,11643.000,17.60,0.000,0.00,0.000,0.00,0.000,0.00,3224.000,4.87,0.000,0.00,2188.000,3.31
