令和3年7月4日  執行,,,,,,,,,,,,,,,,
東京都議会議員選挙　投票結果,,,,,,,,,,,,,,,,
東京都選挙管理委員会,,,,,,,,,,,,,,,,
20時  00分  現在  確定,,,,,,,,,,,,,,,,
開　票　区　名,選 挙 当 日 有 権 者 数,選 挙 当 日 有 権 者 数,選 挙 当 日 有 権 者 数,投  票  者  数,投  票  者  数,投  票  者  数,棄  権  者  数,棄  権  者  数,棄  権  者  数,投   票   率,投   票   率,投   票   率,投   票   率,前 回 投 票 率,前 回 投 票 率,前 回 投 票 率
,男,女,計,男,女,計,男,女,計,男,女,平均,順位,男,女,平均
　★都計,5438532,5719183,11157715,2287195,2442289,4729484,3151337,3276894,6428231,42.06,42.70,42.39,-,51.02,51.52,51.28
　☆区部計,3786960,3997286,7784246,1595670,1720048,3315718,2191290,2277238,4468528,42.14,43.03,42.60,-,50.76,51.49,51.13
　☆市部計,1617424,1688262,3305686,676905,708100,1385005,940519,980162,1920681,41.85,41.94,41.90,-,51.53,51.56,51.54
　☆郡部計,23487,23605,47092,8874,8624,17498,14613,14981,29594,37.78,36.53,37.16,-,48.43,47.31,47.87
　☆島部計,10661,10030,20691,5746,5517,11263,4915,4513,9428,53.90,55.00,54.43,-,66.26,65.89,66.08
　☆区部計,3786960,3997286,7784246,1595670,1720048,3315718,2191290,2277238,4468528,42.14,43.03,42.60,-,50.76,51.49,51.13
　　千代田区,26217,26704,52921,11443,11943,23386,14774,14761,29535,43.65,44.72,44.19,-,53.59,54.94,54.28
　　中央区,63362,71834,135196,25133,27847,52980,38229,43987,82216,39.67,38.77,39.19,-,51.22,50.31,50.74
　　港区,91537,108152,199689,31493,35960,67453,60044,72192,132236,34.40,33.25,33.78,-,45.06,43.75,44.35
　　新宿区,134317,135592,269909,54404,58656,113060,79913,76936,156849,40.50,43.26,41.89,-,48.12,50.54,49.34
　　文京区,84703,96242,180945,41066,46975,88041,43637,49267,92904,48.48,48.81,48.66,-,56.76,56.26,56.50
　　台東区,84994,81331,166325,35761,35606,71367,49233,45725,94958,42.07,43.78,42.91,-,50.72,52.23,51.46
　　墨田区,112459,115244,227703,48831,51443,100274,63628,63801,127429,43.42,44.64,44.04,-,51.47,51.99,51.73
　　江東区,203626,213196,416822,88083,94879,182962,115543,118317,233860,43.26,44.50,43.89,-,54.02,55.09,54.56
　　品川区,162109,171538,333647,69314,74796,144110,92795,96742,189537,42.76,43.60,43.19,-,51.40,52.56,52.00
　　目黒区,107698,124732,232430,46478,53533,100011,61220,71199,132419,43.16,42.92,43.03,-,50.71,50.06,50.36
　　大田区,300016,307731,607747,130259,134698,264957,169757,173033,342790,43.42,43.77,43.60,-,50.50,50.97,50.74
　　世田谷区,354098,406949,761047,156927,177408,334335,197171,229541,426712,44.32,43.59,43.93,-,51.94,50.80,51.33
　　渋谷区,89784,100498,190282,34317,38618,72935,55467,61880,117347,38.22,38.43,38.33,-,45.90,46.09,46.00
　　中野区,140065,139036,279101,59253,62320,121573,80812,76716,157528,42.30,44.82,43.56,-,49.54,51.92,50.72
　　杉並区,227582,252514,480096,100177,111127,211304,127405,141387,268792,44.02,44.01,44.01,-,51.64,51.22,51.42
　　豊島区,114024,114478,228502,47399,50945,98344,66625,63533,130158,41.57,44.50,43.04,-,48.75,51.50,50.12
　　北区,140515,144646,285161,65025,69098,134123,75490,75548,151038,46.28,47.77,47.03,-,56.12,58.17,57.16
