令和4年7月10日  執行,,,,,,
参議院（比例代表選出）議員選挙　名簿登載者の得票総数　開票区別一覧,,,,,,
東京都選挙管理委員会,,,,,,
参政党,,,,,,
18時  10分  現在　確定,,,,,,
開  票  区  名,計,1,2,3,4,5
,,松田,吉野,赤尾,武田,神谷
,,学,敏明,由美,邦彦,そうへい
　★都計,52282.660,9415.000,4119.000,1755.000,17789.859,19203.801
　☆区部計,37331.270,6625.000,2934.000,1307.000,12772.198,13693.072
　　千代田区,353.000,73.000,31.000,13.000,123.000,113.000
　　中央区,805.000,140.000,76.000,22.000,280.000,287.000
　　港区,1351.000,260.000,124.000,46.000,425.000,496.000
　　新宿区,1439.981,236.000,106.000,41.000,517.981,539.000
　　文京区,1018.161,185.000,79.000,47.000,371.956,335.205
　　台東区,826.000,129.000,64.000,23.000,288.000,322.000
　　墨田区,1027.000,153.000,84.000,36.000,356.000,398.000
　　江東区,1955.000,363.000,144.000,68.000,633.000,747.000
　　品川区,1602.596,288.000,142.000,52.000,544.969,575.627
　　目黒区,1222.376,197.000,114.000,35.000,414.000,462.376
　　大田区,2817.873,487.000,235.000,99.000,912.873,1084.000
　　世田谷区,4356.685,852.000,384.000,145.000,1406.944,1568.741
　　渋谷区,1136.764,211.000,101.000,29.000,361.000,434.764
　　中野区,1347.967,194.000,94.000,43.000,512.967,504.000
　　杉並区,2524.248,436.000,192.000,84.000,911.963,900.285
　　豊島区,737.013,179.000,90.000,46.000,413.000,9.013
　　北区,1328.912,219.000,102.000,57.000,437.912,513.000
　　荒川区,718.000,141.000,39.000,27.000,253.000,258.000
　　板橋区,1968.395,369.000,124.000,81.000,670.000,724.395
　　練馬区,2873.222,539.000,212.000,148.000,921.962,1052.260
　　足立区,2165.157,344.000,158.000,63.000,743.770,856.387
　　葛飾区,1415.331,213.000,89.000,48.000,510.982,554.349
　　江戸川区,2341.589,417.000,150.000,54.000,761.919,958.670
　☆市部計,14773.595,2763.000,1166.000,441.000,4961.699,5441.896
　　八王子市,1875.514,357.000,129.000,58.000,631.930,699.584
　　立川市,669.148,115.000,53.000,23.000,257.980,220.168
　　武蔵野市,679.000,131.000,59.000,13.000,249.000,227.000
　　三鷹市,757.675,150.000,60.000,15.000,261.000,271.675
　　青梅市,416.000,71.000,25.000,11.000,149.000,160.000
　　府中市,920.961,137.000,75.000,24.000,322.961,362.000
　　昭島市,333.886,45.000,31.000,9.000,123.000,125.886
　　調布市,834.000,147.000,96.000,21.000,281.000,289.000
　　町田市,1801.710,390.000,142.000,74.000,535.000,660.710
　　小金井市,399.000,79.000,36.000,6.000,133.000,145.000
　　小平市,704.000,117.000,52.000,26.000,246.000,263.000
　　日野市,623.560,122.000,42.000,25.000,203.971,230.589
　　東村山市,453.973,91.000,26.000,17.000,149.973,170.000
　　国分寺市,501.974,103.000,42.000,9.000,150.974,197.000
　　国立市,279.000,40.000,24.000,9.000,107.000,99.000
　　福生市,202.651,37.000,12.000,4.000,68.985,80.666
　　狛江市,299.000,71.000,33.000,7.000,81.000,107.000
　　東大和市,221.000,39.000,15.000,11.000,70.000,86.000
　　清瀬市,223.000,45.000,14.000,5.000,80.000,79.000
　　東久留米市,356.000,73.000,29.000,18.000,109.000,127.000
　　武蔵村山市,173.000,26.000,11.000,2.000,59.000,75.000
　　多摩市,573.558,118.000,52.000,16.000,198.940,188.618
　　稲城市,317.000,60.000,15.000,8.000,100.000,134.000
　　羽村市,197.985,41.000,11.000,2.000,66.985,77.000
　　あきる野市,223.000,35.000,21.000,11.000,71.000,85.000
　　西東京市,738.000,123.000,61.000,17.000,255.000,282.000
　☆西多摩郡計,116.795,17.000,15.000,2.000,42.962,39.833
　　瑞穂町,76.462,8.000,11.000,2.000,26.962,28.500
　　日の出町,32.000,8.000,3.000,0.000,13.000,8.000
　　檜原村,6.000,1.000,0.000,0.000,3.000,2.000
　　奥多摩町,2.333,0.000,1.000,0.000,0.000,1.333
　☆島部計,61.000,10.000,4.000,5.000,13.000,29.000
　　大島支庁小計,30.000,3.000,2.000,5.000,7.000,13.000
　　　大島町,21.000,2.000,2.000,3.000,6.000,8.000
　　　利島村,0.000,0.000,0.000,0.000,0.000,0.000
　　　新島村,4.000,1.000,0.000,1.000,1.000,1.000
　　　神津島村,5.000,0.000,0.000,1.000,0.000,4.000
　　三宅支庁小計,2.000,0.000,0.000,0.000,0.000,2.000
　　　三宅村,2.000,0.000,0.000,0.000,0.000,2.000
　　　御蔵島村,0.000,0.000,0.000,0.000,0.000,0.000
　　八丈支庁小計,16.000,6.000,0.000,0.000,2.000,8.000
　　　八丈町,16.000,6.000,0.000,0.000,2.000,8.000
　　　青ヶ島村,0.000,0.000,0.000,0.000,0.000,0.000
　　小笠原支庁小計,13.000,1.000,2.000,0.000,4.000,6.000
　　　小笠原村,13.000,1.000,2.000,0.000,4.000,6.000
