街区名,区画名,Ｙｃ層上面標高（Ａ．Ｐ．ｍ）ア．詳細調査（先行ボーリング）,Ｙｃ層上面標高（Ａ．Ｐ．ｍ）ア．絞込調査,Ｙｃ層上面標高（Ａ．Ｐ．ｍ）イ．土壌ボーリング調査条例１１７条調査,標高差（ｍ）ア－イ,ベンゼン（ＢＺ）土壌汚染確認下限深度（Ａ．Ｐ．ｍ）,ＢＺ土壌調査を実施していない範囲（Ａ．Ｐ．ｍ）,掘削除去対策実施深度（Ａ．Ｐ．ｍ）,評価指標１未実施調査深度,評価指標２ＢＺ調査なし範囲,油臭・油膜確認範囲（Ａ．Ｐ．ｍ）,掘削除去深度範囲以深のＢＺ土壌調査を実施していない深度範囲にある粘性土層以外の土壌で油臭・油膜が確認されている範囲（Ａ．Ｐ．ｍ）
５街区,Ｊ３０－２,,-2.96,-1.71,1.25,なし,－２．９６～－１．７１,2.00,あり,砂質土,０．６０～２．６０,
５街区,Ｊ３４－４,,-3.03,-3.71,0.68,-0.68,－３．７１～－３．０３,-0.68,なし,－,－３．７０～２．３０,
５街区,Ｊ３６－７,,-0.29,-1.40,1.11,なし,－１．４０～－０．２９,2.00,あり,砂質土,なし,
５街区,Ｌ２８－８,,-0.51,-2.94,2.43,2.64,－２．９４～－０．５１,2.00,あり,砂質土,１．６０～３．１０,
５街区,Ｍ３５－３,,-2.80,-1.30,1.50,なし,－２．８０～－１．３０,1.80,あり,砂質土,－０．２０～２．３０,
５街区,Ｍ３６－３,,-0.27,-0.89,0.62,なし,－０．８９～－０．２７,2.00,なし,－,－１．１０～２．８０,
５街区,Ｎ３８－８,,-0.41,-1.52,1.11,なし,－１．５２～－０．４１,2.00,あり,粘性土,なし,
５街区,Ｎ４０－９,,未確認,0.54,-,なし,～０．５４,-0.07,あり,砂質土,－１．１０～１．９０,－１．１０～－０．０７
５街区,Ｏ４１－３,,-1.44,-2.03,0.59,なし,－２．０３～－１．４４,2.00,なし,砂質土,なし,
５街区,Ｑ３１－３,-3.83,,-3.31,0.52,なし,－３．８３～－３．３１,2.00,あり,砂質土,なし,
５街区,Ｑ３６－２,,-1.29,-2.47,1.18,なし,－２．４７～－１．２９,2.00,あり,砂質土,なし,
６街区,Ａ１０－６,,-3.58,-5.11,1.53,なし,－５．１１～－３．５８,-1.11,あり,砂質土,－３．１０～－０．１０,
６街区,Ｂ６－３,,-4.48,-3.25,1.23,なし,－４．４８～－３．２５,2.00,あり,粘性土,－１．００～３．５０,
６街区,Ｄ１０－８,,-4.42,-4.90,0.48,-2.42,－４．９０～－４．４２,-2.42,なし,－,－２．４０～０．６０,
６街区,Ｆ６－４,,-4.35,-3.80,0.55,なし,－４．３５～－３．８０,0.00,あり,粘性土,－３．００～３．９０,
６街区,Ｆ２５－６,,-3.55,-2.70,0.85,なし,－３．５５～－２．７０,2.00,なし,－,なし,
６街区,Ｆ２６－４,,-2.96,-3.64,0.68,なし,－３．６４～－２．９６,-3.64,あり,粘性土,－１．２０～－０．２０,
６街区,Ｇ１０－１,,-4.10,-4.92,0.82,-1.38,－４．９２～－４．１０,-1.38,なし,－,－２．４０～３．１０,
６街区,Ｇ１０－３,,-4.44,-5.01,0.57,-2.30,－５．０１～－４．４４,-2.30,なし,－,なし,
６街区,Ｇ１２－３,,-3.62,-4.65,1.03,1.04,－４．６４～－３．６２,-4.65,あり,粘性土,１．００～２．００,
６街区,Ｇ２４－３,,-3.91,-4.39,0.48,-2.00,－４．３９～－３．９１,-4.39,なし,－,１．００～３．９０,
７街区,Ｋ２４－６,,-2.68,-3.20,0.52,-1.00,－３．２０～－２．６８,-1.00,なし,－,－１．００～１．００,
７街区,Ｌ７－６,,-4.61,-5.61,1.00,-4.10,－５．６１～－４．６１,-4.10,なし,－,－４．１０～－１．１０,
７街区,Ｍ４－８,,-3.73,-1.80,1.93,なし,－３．７３～－１．８０,1.90,あり,粘性土,－４．１０～３．９０,
７街区,Ｏ２０－１,-1.89,-1.19,,0.70,なし,－１．８９～－１．１９,2.00,あり,砂質土,なし,
