区分,使用者名,電話番号,FAX番号
卸売業者,東京シティ青果（株）,03-3549-9100,03-3549-9570
卸売業者,東京中央漬物（株）,03-3547-6200,03-3545-9149
卸売業者,東京中央鳥卵（株）（鳥卵）,03-3541-9760,03-3541-9314
仲卸業者団体,築地本場青果卸売協同組合（マル中組合）,03-3541-0228・1800,03-3541-1877
仲卸業者団体,東京築地市場青果仲卸協同組合（マル本組合）,03-3541-8161,03-3544-1634
小売業者団体,築地東京青果物商業協同組合（築地商組）,03-3543-5471,03-3546-8039
小売業者団体,東京都築地本場青果物商業協同組合（マルT組合）,03-3542-1087,03-3542-1087
小売業者団体,中央青果物商業協同組合（マル中組合）,03-3547-8838,03-3547-8838
小売業者団体,東京都果物商業協同組合築地支所（果協築地支所）,03-3543-9756,03-3543-9756
小売業者団体,東京神田青果物商業協同組合築地支所（神田商組築地支所）,03-3543-4601,03-3543-4602
小売業者団体,築地市場青果部買出人連合会,03-3543-5471,03-3546-8039（築地商組内）
青果関係団体,築地市場青果連合事業協会（青果連合事業協会）,03-3547-8963,03-3543-9137
