島名,事業項目,箇所名,施行地又は受益地,事業主体,着工年度（年）,完了年度（年）,全体計画事業費（千円）,全体計画国費（千円）,04年度予算当初事業費（千円）,04年度予算当初国費（千円）,04年度予算当初都費（千円）,04年度予算当初町村費（千円）,04年度予算当初その他費（千円）,備考事業概要,所管局
御蔵島,離島漁業再生支援交付金,御蔵島村,御蔵島全域,村,R2,R6,"13,200","6,600","2,640","1,320",660,660,0,都内離島地域において、漁業集落が行う漁場の生産力の向上、新規就業者の確保促進等の対策を支援することにより、漁業の再生を目指す。,産業労働局
御蔵島,,離島漁業再生支援交付金計,,,,,"13,200","6,600","2,640","1,320",660,660,,,
御蔵島,,へき地診療所施設等整備費補助,,,,,0,0,"11,000","5,500","2,750","2,750",0,へき地診療所を運営する町村に対し、施設の整備又は医療機器の整備に要する経費の一部を補助することにより、地域医療の確保と向上に資する。,福祉保健局
御蔵島,,医療施設等設備整備費計,,,,,0,0,"11,000","5,500","2,750","2,750",,,
御蔵島,へき地児童生徒援助費等補助金のうち離島高校生修学支援事業,離島高校生修学支援費,御蔵島村,村,R4,R4,"1,500",750,"1,500",750,0,750,0,高校修学のための居住費支援。年度単位で実施。,教育庁
御蔵島,,離島高校生修学支援事業計,,,,,"1,500",750,"1,500",750,0,750,,,
,へき地児童生徒援助費補助金,高度へき地修学旅行費,御蔵島村,村,R4,R4,240,160,240,160,0,80,0,児童生徒の修学旅行に要する経費を一部負担。年度単位で実施,教育庁
御蔵島,,へき地児童生徒援助費補助金計,,,,,240,160,240,160,0,80,,,
,御　蔵　島　計,,,,,,"14,940","7,510","15,380","7,730","3,410","4,240",0,,
,三 宅 支 庁 管 内 計,,,,,,"559,734","154,543","117,236","46,124","33,168","20,024","15,068",,
