区分,マンション75m2当り平均価格／区部（万円）,マンション75m2当り平均価格／多摩（万円）,マンション75m2当り平均価格／都（万円）,年収倍率／区部（倍）,年収倍率／多摩（倍）,年収倍率／都（倍）,
昭和58年,3990,3270,3855,7.6,6.2,7.3,
昭和59年,3818,3060,3683,6.7,5.4,6.5,
昭和60年,4020,3105,3833,6.7,5.2,6.4,
昭和61年,4185,3180,3990,6.7,5.1,6.4,
昭和62年,6608,3998,5933,10.3,6.2,9.2,
昭和63年,9420,5048,7868,14.2,7.6,11.9,
平成元年,10785,6450,9600,15.8,9.5,14.1,
平成２年,11453,7800,10298,15.6,10.6,14.0,
平成３年,11648,7320,10178,15.4,9.7,13.4,
平成４年,9315,6105,8445,12.0,7.9,10.9,
平成５年,7088,5768,6690,8.7,7.1,8.2,
平成６年,6435,5483,6180,8.0,6.8,7.7,
平成７年,5558,4928,5363,7.1,6.3,6.9,
平成８年,5588,4635,5333,7.4,6.1,7.1,
平成９年,5820,4530,5468,7.4,5.8,6.9,
平成１０年,5423,4328,5145,6.9,5.5,6.5,
平成１１年,5235,4238,5003,6.8,5.5,6.5,
平成１２年,4950,3833,4680,6.4,5.0,6.1,
平成１３年,4905,3608,4575,6.5,4.8,6.1,
平成１４年,4785,3525,4433,6.3,4.6,5.8,
平成１５年,5063,3533,4673,7.2,5.0,6.7,
平成１６年,5025,3653,4763,7.0,5.1,6.7,
平成１７年,5138,3713,4800,7.4,5.3,6.9,
平成１８年,5363,3855,5003,7.6,5.5,7.1,
平成１９年,6420,4200,5685,9.3,6.1,8.3,
平成２０年,6398,4643,5993,9.2,6.7,8.6,
平成２１年,5985,4380,5685,8.3,6.1,7.9,
平成２２年,6218,4478,5940,8.4,6.1,8.0,
平成２３年,6083,4155,5693,9.0,6.1,8.4,
平成２４年,6008,4350,5640,8.7,6.3,8.2,
平成２５年,6488,4350,6180,9.3,6.3,8.9,
平成２６年,6548,4860,6240,9.3,6.9,8.9,
平成２７年,7403,4658,6743,10.7,6.8,9.8,
平成２８年,7538,5198,6998,10.4,7.2,9.6,
平成２９年,8123,5340,7530,11.7,7.7,10.8,
