年,合計,宅地（ha）,宅地／構成比（％）,農地（ha）,農地／構成比（％）,山林（ha）,山林／構成比（％）,その他（ha）,その他／構成比（％）
昭30,104094,30054,28.9,37690,36.2,34622,33.3,1728,1.7
昭35,104898,33614,32,34873,33.2,34572,33,1839,1.8
昭40,104215,37926,36.4,28901,27.7,34403,33,2986,2.9
昭45,103263,42083,40.8,22193,21.5,31397,30.4,7590,7.4
昭50,100318,47505,47.4,15929,15.9,29876,29.8,7008,7
昭55,97625,49685,50.9,13511,13.8,28013,28.7,6417,6.6
昭60,95230,50917,53.5,12250,12.9,26314,27.6,5749,6
昭61,95230,51399,54,11989,12.6,26188,27.5,5654,5.9
昭62,94793,51577,54.4,11744,12.4,25888,27.3,5583,5.9
昭63,94552,51878,54.9,11443,12.1,25670,27.1,5560,5.9
昭64,95191,52118,54.8,11193,11.8,25386,26.7,6495,6.8
平2,94958,52343,55.1,10934,11.5,25236,26.6,6445,6.8
平7,93207,53648,57.6,9357,10,25129,27,5073,5.4
平8,92954,53773,57.8,9124,9.8,25025,26.9,5032,5.4
平9,92603,53822,58.1,8896,9.6,24831,26.8,5054,5.5
平10,92355,54001,58.5,8738,9.5,24657,26.7,4959,5.4
平11,92182,54116,58.7,8571,9.3,24586,26.7,4908,5.3
平12,91997,54338,59.1,8385,9.1,24432,26.6,4842,5.3
平13,91851,54461,59.3,8195,8.9,24391,26.6,4804,5.2
平14,91664,54658,59.6,7992,8.7,24231,26.4,4783,5.2
平15,91462,54771,59.9,7830,8.6,24014,26.3,4847,5.3
平16,91276,55059,60.3,7685,8.4,23736,26,4795,5.3
平17,91126,55294,60.7,7558,8.3,23581,25.9,4693,5.2
平18,91005,55529,61,7404,8.1,21988,24.2,6084,6.7
平19,90858,55709,61.3,7249,8,21902,24.1,5998,6.6
平20,90513,55809,61.7,7131,7.9,21612,23.9,5962,6.6
平21,90352,55927,61.9,7021,7.8,20998,23.2,6406,7.1
平22,90264,56020,62.1,6933,7.7,20949,23.2,6363,7
平23,90181,56125,62.2,6814,7.6,20916,23.2,6326,7
平24,90089,56228,62.4,6714,7.5,20836,23.1,6311,7
平25,90018,56336,62.6,6620,7.4,20827,23.1,6235,6.9
平26,89982,56451,62.7,6518,7.2,20776,23.1,6237,6.9
平27,89873,56557,62.9,6419,7.1,20682,23,6215,6.9
平28,89696,56678,63.2,6320,7,20547,22.9,6151,6.9
平29,89587,56788,63.3,6215,6.9,20457,22.8,6127,6.8
