区分,個人／所有者数（人）,個人／構成比（％）,個人／面積（千m2）,個人／構成比（％）,法人／所有者数（人）,法人／構成比（％）,法人／面積（千m2）,法人／構成比（％）,合計／所有者数（人）,合計／構成比（％）,合計／面積（千m2）,合計／構成比（％）
八王子市／100m2未満,12081 ,10 ,829 ,1 ,505 ,13 ,20 ,0 ,12586 ,10 ,849 ,1 
八王子市／200m2未満,64606 ,54 ,9576 ,15 ,574 ,14 ,87 ,0 ,65180 ,52 ,9662 ,11 
八王子市／300m2未満,23069 ,19 ,5374 ,8 ,400 ,10 ,97 ,0 ,23469 ,19 ,5471 ,6 
八王子市／500m2未満,8591 ,7 ,3230 ,5 ,580 ,15 ,227 ,1 ,9171 ,7 ,3457 ,4 
八王子市／1000m2未満,5374 ,4 ,3717 ,6 ,664 ,17 ,479 ,2 ,6038 ,5 ,4196 ,5 
八王子市／2000m2未満,2885 ,2 ,3961 ,6 ,439 ,11 ,618 ,2 ,3324 ,3 ,4579 ,5 
八王子市／5000m2未満,2208 ,2 ,6908 ,11 ,361 ,9 ,1149 ,4 ,2569 ,2 ,8058 ,9 
八王子市／10000m2未満,887 ,1 ,6146 ,10 ,161 ,4 ,1157 ,4 ,1048 ,1 ,7304 ,8 
八王子市／10000m2以上,843 ,1 ,23626 ,37 ,276 ,7 ,23203 ,86 ,1119 ,1 ,46829 ,52 
八王子市／計,120544 ,100 ,63368 ,100 ,3960 ,100 ,27038 ,100 ,124504 ,100 ,90405 ,100 
立川市／100m2未満,6588 ,22 ,479 ,5 ,195 ,16 ,9 ,0 ,6783 ,22 ,488 ,4 
立川市／200m2未満,16909 ,56 ,2207 ,21 ,270 ,22 ,39 ,1 ,17179 ,54 ,2246 ,16 
立川市／300m2未満,2744 ,9 ,660 ,6 ,158 ,13 ,39 ,1 ,2902 ,9 ,699 ,5 
立川市／500m2未満,1790 ,6 ,667 ,6 ,171 ,14 ,66 ,2 ,1961 ,6 ,734 ,5 
立川市／1000m2未満,969 ,3 ,679 ,6 ,191 ,16 ,134 ,4 ,1160 ,4 ,814 ,6 
立川市／2000m2未満,579 ,2 ,816 ,8 ,119 ,10 ,167 ,5 ,698 ,2 ,983 ,7 
立川市／5000m2未満,395 ,1 ,1242 ,12 ,75 ,6 ,213 ,6 ,470 ,1 ,1455 ,10 
立川市／10000m2未満,197 ,1 ,1425 ,14 ,20 ,2 ,137 ,4 ,217 ,1 ,1562 ,11 
立川市／10000m2以上,144 ,0 ,2285 ,22 ,32 ,3 ,2646 ,77 ,176 ,1 ,4931 ,35 
立川市／計,30315 ,100 ,10460 ,100 ,1231 ,100 ,3451 ,100 ,31546 ,100 ,13912 ,100 
武蔵野市／100m2未満,5189 ,24 ,353 ,6 ,140 ,14 ,9 ,1 ,5329 ,23 ,362 ,5 
武蔵野市／200m2未満,10123 ,46 ,1419 ,26 ,241 ,24 ,35 ,3 ,10364 ,45 ,1454 ,21 
武蔵野市／300m2未満,3165 ,14 ,765 ,14 ,146 ,15 ,36 ,3 ,3311 ,14 ,800 ,12 
武蔵野市／500m2未満,1996 ,9 ,750 ,14 ,182 ,18 ,70 ,5 ,2178 ,10 ,820 ,12 
武蔵野市／1000m2未満,843 ,4 ,577 ,11 ,119 ,12 ,81 ,6 ,962 ,4 ,658 ,10 
武蔵野市／2000m2未満,337 ,2 ,473 ,9 ,83 ,8 ,118 ,9 ,420 ,2 ,591 ,9 
武蔵野市／5000m2未満,189 ,1 ,569 ,10 ,35 ,4 ,106 ,8 ,224 ,1 ,676 ,10 
武蔵野市／10000m2未満,45 ,0 ,326 ,6 ,21 ,2 ,144 ,11 ,66 ,0 ,470 ,7 
武蔵野市／10000m2以上,15 ,0 ,212 ,4 ,19 ,2 ,733 ,55 ,34 ,0 ,945 ,14 
武蔵野市／計,21902 ,100 ,5443 ,100 ,986 ,100 ,1333 ,100 ,22888 ,100 ,6776 ,100 
三鷹市／100m2未満,7898 ,25 ,567 ,6 ,151 ,15 ,9 ,1 ,8049 ,24 ,575 ,6 
三鷹市／200m2未満,16823 ,53 ,2192 ,25 ,256 ,25 ,38 ,2 ,17079 ,52 ,2230 ,22 
三鷹市／300m2未満,3109 ,10 ,746 ,9 ,129 ,13 ,32 ,2 ,3238 ,10 ,778 ,8 
三鷹市／500m2未満,1777 ,6 ,673 ,8 ,141 ,14 ,55 ,4 ,1918 ,6 ,729 ,7 
三鷹市／1000m2未満,1033 ,3 ,723 ,8 ,158 ,15 ,112 ,7 ,1191 ,4 ,835 ,8 
三鷹市／2000m2未満,593 ,2 ,831 ,9 ,72 ,7 ,101 ,7 ,665 ,2 ,933 ,9 
三鷹市／5000m2未満,465 ,1 ,1440 ,16 ,70 ,7 ,226 ,15 ,535 ,2 ,1666 ,16 
三鷹市／10000m2未満,163 ,1 ,1094 ,12 ,24 ,2 ,160 ,10 ,187 ,1 ,1253 ,12 
三鷹市／10000m2以上,34 ,0 ,505 ,6 ,22 ,2 ,802 ,52 ,56 ,0 ,1308 ,13 
三鷹市／計,31895 ,100 ,8771 ,100 ,1023 ,100 ,1535 ,100 ,32918 ,100 ,10306 ,100 
青梅市／100m2未満,3827 ,11 ,268 ,1 ,103 ,9 ,4 ,0 ,3930 ,11 ,272 ,0 
青梅市／200m2未満,16909 ,48 ,2368 ,6 ,146 ,12 ,22 ,0 ,17055 ,47 ,2390 ,4 
青梅市／300m2未満,4460 ,13 ,1082 ,3 ,91 ,8 ,22 ,0 ,4551 ,12 ,1104 ,2 
青梅市／500m2未満,3492 ,10 ,1329 ,3 ,145 ,12 ,57 ,0 ,3637 ,10 ,1386 ,2 
青梅市／1000m2未満,2609 ,7 ,1821 ,4 ,189 ,16 ,132 ,1 ,2798 ,8 ,1952 ,3 
青梅市／2000m2未満,1609 ,5 ,2248 ,5 ,146 ,12 ,208 ,1 ,1755 ,5 ,2455 ,4 
青梅市／5000m2未満,1248 ,4 ,3939 ,9 ,127 ,11 ,420 ,2 ,1375 ,4 ,4360 ,7 
青梅市／10000m2未満,599 ,2 ,4229 ,10 ,71 ,6 ,508 ,3 ,670 ,2 ,4737 ,8 
青梅市／10000m2以上,739 ,2 ,24241 ,58 ,167 ,14 ,17452 ,93 ,906 ,2 ,41693 ,69 
青梅市／計,35492 ,100 ,41525 ,100 ,1185 ,100 ,18825 ,100 ,36677 ,100 ,60350 ,100 
府中市／100m2未満,12436 ,28 ,826 ,7 ,300 ,22 ,13 ,0 ,12736 ,28 ,839 ,6 
府中市／200m2未満,21640 ,49 ,2843 ,25 ,264 ,19 ,38 ,1 ,21904 ,48 ,2881 ,19 
府中市／300m2未満,4527 ,10 ,1074 ,10 ,129 ,9 ,32 ,1 ,4656 ,10 ,1106 ,7 
府中市／500m2未満,2315 ,5 ,872 ,8 ,193 ,14 ,75 ,2 ,2508 ,6 ,947 ,6 
府中市／1000m2未満,1575 ,4 ,1113 ,10 ,196 ,14 ,139 ,3 ,1771 ,4 ,1252 ,8 
府中市／2000m2未満,856 ,2 ,1198 ,11 ,115 ,8 ,162 ,4 ,971 ,2 ,1360 ,9 
府中市／5000m2未満,666 ,2 ,2047 ,18 ,90 ,7 ,263 ,7 ,756 ,2 ,2310 ,15 
府中市／10000m2未満,113 ,0 ,755 ,7 ,36 ,3 ,254 ,6 ,149 ,0 ,1009 ,7 
府中市／10000m2以上,22 ,0 ,432 ,4 ,46 ,3 ,3000 ,75 ,68 ,0 ,3431 ,23 
府中市／計,44150 ,100 ,11161 ,100 ,1369 ,100 ,3975 ,100 ,45519 ,100 ,15136 ,100 
昭島市／100m2未満,3835 ,19 ,272 ,5 ,139 ,17 ,6 ,0 ,3974 ,18 ,278 ,3 
昭島市／200m2未満,11382 ,55 ,1502 ,26 ,126 ,15 ,18 ,1 ,11508 ,54 ,1520 ,17 
昭島市／300m2未満,2220 ,11 ,536 ,9 ,81 ,10 ,20 ,1 ,2301 ,11 ,556 ,6 
昭島市／500m2未満,1478 ,7 ,556 ,9 ,116 ,14 ,45 ,1 ,1594 ,7 ,602 ,7 
昭島市／1000m2未満,895 ,4 ,622 ,11 ,133 ,16 ,95 ,3 ,1028 ,5 ,717 ,8 
昭島市／2000m2未満,472 ,2 ,661 ,11 ,90 ,11 ,129 ,4 ,562 ,3 ,790 ,9 
昭島市／5000m2未満,279 ,1 ,848 ,14 ,61 ,7 ,187 ,6 ,340 ,2 ,1035 ,11 
昭島市／10000m2未満,79 ,0 ,509 ,9 ,26 ,3 ,183 ,6 ,105 ,0 ,692 ,8 
昭島市／10000m2以上,17 ,0 ,356 ,6 ,53 ,6 ,2561 ,79 ,70 ,0 ,2917 ,32 
昭島市／計,20657 ,100 ,5863 ,100 ,825 ,100 ,3245 ,100 ,21482 ,100 ,9108 ,100 
調布市／100m2未満,9649 ,26 ,697 ,7 ,213 ,17 ,13 ,1 ,9862 ,26 ,710 ,6 
調布市／200m2未満,18704 ,51 ,2442 ,25 ,283 ,22 ,42 ,2 ,18987 ,50 ,2484 ,21 
調布市／300m2未満,3743 ,10 ,896 ,9 ,153 ,12 ,37 ,2 ,3896 ,10 ,933 ,8 
調布市／500m2未満,1942 ,5 ,728 ,7 ,185 ,14 ,71 ,3 ,2127 ,6 ,800 ,7 
調布市／1000m2未満,1301 ,4 ,905 ,9 ,172 ,13 ,123 ,6 ,1473 ,4 ,1028 ,9 
調布市／2000m2未満,805 ,2 ,1124 ,11 ,132 ,10 ,183 ,9 ,937 ,2 ,1307 ,11 
調布市／5000m2未満,552 ,1 ,1647 ,17 ,91 ,7 ,281 ,13 ,643 ,2 ,1928 ,16 
調布市／10000m2未満,138 ,0 ,915 ,9 ,19 ,1 ,133 ,6 ,157 ,0 ,1048 ,9 
調布市／10000m2以上,30 ,0 ,557 ,6 ,32 ,3 ,1235 ,58 ,62 ,0 ,1793 ,15 
調布市／計,36864 ,100 ,9912 ,100 ,1280 ,100 ,2117 ,100 ,38144 ,100 ,12029 ,100 
町田市／100m2未満,8696 ,9 ,568 ,2 ,514 ,18 ,18 ,0 ,9210 ,9 ,586 ,1 
町田市／200m2未満,59100 ,59 ,8657 ,25 ,501 ,18 ,76 ,1 ,59601 ,58 ,8732 ,21 
町田市／300m2未満,15768 ,16 ,3697 ,11 ,321 ,11 ,78 ,1 ,16089 ,16 ,3775 ,9 
町田市／500m2未満,6786 ,7 ,2535 ,7 ,346 ,12 ,135 ,2 ,7132 ,7 ,2670 ,6 
町田市／1000m2未満,4184 ,4 ,2928 ,8 ,411 ,15 ,298 ,4 ,4595 ,4 ,3226 ,8 
町田市／2000m2未満,2513 ,3 ,3527 ,10 ,300 ,11 ,426 ,6 ,2813 ,3 ,3953 ,9 
町田市／5000m2未満,1769 ,2 ,5438 ,16 ,234 ,8 ,732 ,10 ,2003 ,2 ,6170 ,15 
町田市／10000m2未満,519 ,1 ,3497 ,10 ,90 ,3 ,641 ,9 ,609 ,1 ,4138 ,10 
町田市／10000m2以上,196 ,0 ,3686 ,11 ,86 ,3 ,4994 ,68 ,282 ,0 ,8680 ,21 
町田市／計,99531 ,100 ,34533 ,100 ,2803 ,100 ,7397 ,100 ,102334 ,100 ,41930 ,100 
小金井市／100m2未満,4951 ,21 ,356 ,6 ,116 ,17 ,6 ,1 ,5067 ,21 ,362 ,5 
小金井市／200m2未満,12361 ,53 ,1626 ,28 ,149 ,21 ,22 ,3 ,12510 ,52 ,1648 ,25 
小金井市／300m2未満,2844 ,12 ,687 ,12 ,91 ,13 ,22 ,3 ,2935 ,12 ,709 ,11 
小金井市／500m2未満,1576 ,7 ,589 ,10 ,105 ,15 ,41 ,5 ,1681 ,7 ,630 ,9 
小金井市／1000m2未満,766 ,3 ,524 ,9 ,128 ,18 ,90 ,10 ,894 ,4 ,613 ,9 
小金井市／2000m2未満,364 ,2 ,503 ,9 ,50 ,7 ,71 ,8 ,414 ,2 ,574 ,9 
