区分,平成22年,平成23年,平成24年,平成25年,平成26年,平成27年,平成28年,平成29年,平成30年,平成31年
50m2未満／件数(件),9745,9367,13603,16603,15062,15419,15056,16212,16198,16398
50m2未満／面積(m2),170597,163097,173854,247495,235299,255073,265158,284848,296109,294504
50m2以上100m2未満／件数(件),5631,5678,5949,7028,7361,8227,8609,9626,9801,10116
50m2以上100m2未満／面積(m2),417910,418045,436505,511598,536448,596331,628889,700136,710406,731438
100m2以上150m2未満／件数(件),3384,3420,3254,3877,4212,4817,5066,5473,5506,5407
100m2以上150m2未満／面積(m2),413018,416938,398648,469535,511805,584350,615747,664374,667907,653735
150m2以上200m2未満／件数(件),1962,1957,2041,2355,2376,2745,2958,3148,3178,3036
150m2以上200m2未満／面積(m2),336431,338020,354816,408014,409575,474404,510089,543500,547289,523905
200m2以上300m2未満／件数(件),2007,1911,1942,2254,2261,2540,2658,2706,2733,2699
200m2以上300m2未満／面積(m2),488194,462701,474210,546060,547253,616938,640130,652243,658288,652829
300m2以上500m2未満／件数(件),1598,1582,1526,1732,1724,1861,1804,1932,1870,1841
300m2以上500m2未満／面積(m2),606824,601257,579455,657157,657279,701084,681179,726793,701651,692110
500m2以上1000m2未満／件数(件),990,916,812,967,986,867,959,945,923,843
500m2以上1000m2未満／面積(m2),680462,631151,551000,659629,670658,591152,653553,638298,624393,572454
1000m2以上2000m2未満／件数(件),310,273,295,309,242,234,243,204,212,210
1000m2以上2000m2未満／面積(m2),421810,364118,394323,412786,324110,313610,326004,270698,289690,278062
2000m2以上5000m2未満／件数(件),116,148,87,97,99,75,76,62,59,69
2000m2以上5000m2未満／面積(m2),331582,479272,250490,276733,294875,223153,219581,169227,174536,192392
5000m2以上10000m2未満／件数(件),31,25,14,25,19,15,15,11,13,5
5000m2以上10000m2未満／面積(m2),219201,166965,96840,177110,130930,108652,112172,68183,83256,30021
10000m2以上／件数(件),82,16,6,11,11,10,8,4,6,5
10000m2以上／面積(m2),1459302,360476,93259,150125,185910,176783,172690,55400,103942,88149
合計／件数(件),25856,25293,29529,35258,34353,36810,37452,40323,40499,40629
合計／面積(m2),5545331,4402040,3803400,4516242,4504142,4641530,4825192,4773700,4857467,4709599
