区分,令和2年／民有地面積A(千m2),令和2年／区分所有土地B(千m2),令和2年／非区分所有土地C(千m2),令和2年／B/A(%),平成31年／民有地面積D(千m2),平成31年／区分所有土地E(千m2),平成31年／非区分所有土地Ｆ(千m2),平成31年／E/D(%),令和2年－平成31年／民有地面積A－D(千m2),令和2年－平成31年／区分所有土地B－E(千m2),令和2年－平成31年／非区分所有土地C－F(千m2),令和2年－平成31年／B/A-E/D(%)
千代田区,4063,538,3526,13.2,4061,528,3533,13,3,10,-7,0.2
中央区,3941,879,3063,22.3,3943,827,3116,21,-1,52,-53,1.3
港区,10025,2051,7974,20.5,10030,2013,8017,20.1,-6,37,-43,0.4
新宿区,10180,1676,8504,16.5,10189,1658,8531,16.3,-9,18,-27,0.2
文京区,5947,935,5012,15.7,5950,923,5027,15.5,-4,12,-16,0.2
台東区,4802,511,4292,10.6,4804,494,4309,10.3,-1,16,-17,0.3
墨田区,7095,902,6193,12.7,7094,889,6206,12.5,1,14,-13,0.2
江東区,15277,2257,13020,14.8,15616,2508,13108,16.1,-338,-251,-87,-1.3
品川区,12767,918,11849,7.2,13646,1749,11897,12.8,-879,-831,-48,-5.6
目黒区,9285,1075,8210,11.6,9293,1060,8232,11.4,-7,15,-22,0.2
大田区,25526,2261,23265,8.9,25791,2507,23284,9.7,-265,-246,-19,-0.9
世田谷区,36788,3873,32914,10.5,36813,3834,32979,10.4,-25,40,-65,0.1
渋谷区,8481,1431,7050,16.9,8480,1394,7087,16.4,0,37,-37,0.4
中野区,10363,977,9387,9.4,10366,968,9398,9.3,-3,8,-11,0.1
杉並区,22401,1656,20745,7.4,22394,1649,20744,7.4,7,6,1,0
豊島区,8177,827,7350,10.1,8171,817,7354,10,5,10,-5,0.1
北区,10464,927,9536,8.9,10467,894,9573,8.5,-3,33,-37,0.3
荒川区,5876,668,5207,11.4,5884,659,5226,11.2,-9,10,-19,0.2
板橋区,18486,2275,16211,12.3,18489,2257,16231,12.2,-3,18,-21,0.1
練馬区,31052,2071,28982,6.7,31070,2045,29025,6.6,-17,26,-43,0.1
足立区,28502,1774,26728,6.2,28508,1759,26748,6.2,-6,14,-21,0.1
葛飾区,17410,1191,16219,6.8,17421,1184,16237,6.8,-11,7,-17,0
江戸川区,23826,1451,22375,6.1,24055,1633,22422,6.8,-228,-182,-46,-0.7
区部計,330735,33123,297612,10,332534,34249,298285,10.3,-1800,-1126,-673,-0.3
