区分,年代別床面積／～1959(千m2),年代別床面積／1960～1969(千m2),年代別床面積／1970～1979(千m2),年代別床面積／1980～1989(千m2),年代別床面積／1990～1999(千m2),年代別床面積／2000～2004(千m2),年代別床面積／2005～2009(千m2),年代別床面積／2010～2014(千m2),年代別床面積／2015～2019(千m2),年代別床面積／合計(千m2),各区平均築後年数(年)
千代田区,63,244,634,656,284,681,708,504,427,4199,24.7
中央区,186,176,634,838,970,1353,1455,828,1210,7651,21.1
港区,169,800,2105,1993,1991,2556,3250,1462,1193,15520,24.3
新宿区,330,1033,2469,2819,2308,1758,1514,1315,1456,15003,27.7
文京区,268,551,1374,1805,1795,1133,985,888,761,9559,27.8
台東区,545,821,1498,1682,1424,861,902,795,845,9373,30.5
墨田区,390,713,1410,1849,1982,1017,1417,918,925,10620,27.7
江東区,226,860,2545,3346,2784,2419,2894,1748,1290,18113,25.6
品川区,412,794,1962,2836,2496,1769,1791,1323,1671,15054,26.4
目黒区,236,690,1633,1958,2587,1288,1187,1035,936,11549,27.1
大田区,655,1479,3514,4825,5648,3002,2584,2251,2160,26117,27.3
世田谷区,590,1567,4235,6484,7927,4177,3780,3294,2973,35026,25.9
渋谷区,172,815,2123,2151,2059,1570,1174,1059,918,12041,27.9
中野区,354,885,1766,2078,2635,1212,1041,1027,1112,12109,28.2
杉並区,489,1178,3079,3954,4611,2267,1988,1746,1695,21007,27.7
豊島区,334,807,1645,2223,2120,1081,1298,1012,883,11405,28.2
北区,364,928,2086,1941,2351,1093,1001,1103,1064,11931,28.9
荒川区,276,558,1018,1310,1535,788,1067,662,604,7817,27.8
板橋区,317,938,3415,3900,3964,2098,1774,1628,1544,19579,27.9
練馬区,283,1172,3049,4891,6454,2889,2369,2100,2235,25440,26.1
足立区,330,1212,3177,4114,4784,2316,2665,2137,1936,22672,26.4
葛飾区,245,944,2058,3055,3594,1619,1468,1337,1241,15562,27.3
江戸川区,163,801,2798,4560,6251,2653,2012,1755,1587,22580,26.3
合計,7397,19966,50226,65268,72554,41600,40325,31928,30666,359930,26.9
都心３区,418,1220,3372,3487,3245,4590,5413,2794,2831,27370,23.5
都心５区,920,3069,7964,8458,7612,7918,8101,5169,5205,54414,25.6
他18区,6477,16897,42263,56811,64942,33682,32224,26759,25461,305516,27.1
