順位,標準地番号,都道府県,標準地の所在地,令和３年,令和４年,変動率
1,いわき－19,福島県,平下平窪３丁目４番５,"49,500","45,500",-8.1
2,南知多－9,愛知県,大字片名字新師崎２３番１１,"31,700","29,400",-7.3
3,岩見沢－7,北海道,栗沢町最上２番２２,"4,900","4,550",-7.1
4,長野－25,長野県,大字赤沼字西通２６３番１,"14,000","13,000",-7.1
5,長野－38,長野県,豊野町豊野字内土浮３２３番４５,"31,300","29,100",-7.0
6,江田島－2,広島県,江田島町切串３丁目１２２６１番１９,"20,400","19,000",-6.9
7,南知多－7,愛知県,大字豊丘字仲島５番,"11,900","11,100",-6.7
8,赤平－1,北海道,若木町南５丁目２２番,"3,000","2,800",-6.7
9,深川－3,北海道,２条２９２１番２２,"6,750","6,300",-6.7
10,奈井江－2,北海道,字奈井江５７５番８３,"3,800","3,550",-6.6
