区分,個人／所有者数(人),個人／構成比(%),個人／面積(千m2),個人／構成比(%),法人／所有者数(人),法人／構成比(%),法人／面積(千m2),法人／構成比(%),合計／所有者数(人),合計／構成比(%),合計／面積(千m2),合計／構成比(%)
目黒区／50m2未満,0,0,0,0,0,0,0,0,0,0,0,0
目黒区／100m2未満,0,0,0,0,0,0,0,0,0,0,0,0
目黒区／150m2未満,1,33,0,3,0,0,0,0,1,25,0,2
目黒区／200m2未満,0,0,0,0,0,0,0,0,0,0,0,0
目黒区／300m2未満,0,0,0,0,0,0,0,0,0,0,0,0
目黒区／500m2未満,0,0,0,0,1,100,0,100,1,25,0,8
目黒区／1000m2未満,0,0,0,0,0,0,0,0,0,0,0,0
目黒区／2000m2未満,0,0,0,0,0,0,0,0,0,0,0,0
目黒区／5000m2未満,2,67,5,97,0,0,0,0,2,50,5,90
目黒区／10000m2未満,0,0,0,0,0,0,0,0,0,0,0,0
目黒区／10000m2以上,0,0,0,0,0,0,0,0,0,0,0,0
目黒区／計,3,100,5,100,1,100,0,100,4,100,5,100
大田区／50m2未満,3,21,0,2,0,0,0,0,3,17,0,1
大田区／100m2未満,0,0,0,0,0,0,0,0,0,0,0,0
大田区／150m2未満,3,21,0,8,1,25,0,2,4,22,1,5
大田区／200m2未満,2,14,0,7,0,0,0,0,2,11,0,3
大田区／300m2未満,0,0,0,0,0,0,0,0,0,0,0,0
大田区／500m2未満,2,14,1,16,2,50,1,12,4,22,1,14
大田区／1000m2未満,2,14,1,23,0,0,0,0,2,11,1,11
大田区／2000m2未満,2,14,2,44,0,0,0,0,2,11,2,21
大田区／5000m2未満,0,0,0,0,1,25,5,86,1,6,5,44
大田区／10000m2未満,0,0,0,0,0,0,0,0,0,0,0,0
大田区／10000m2以上,0,0,0,0,0,0,0,0,0,0,0,0
大田区／計,14,100,5,100,4,100,6,100,18,100,11,100
世田谷区／50m2未満,6,13,0,0,0,0,0,0,6,10,0,0
世田谷区／100m2未満,4,8,0,1,0,0,0,0,4,7,0,1
世田谷区／150m2未満,3,6,0,1,2,20,0,1,5,9,1,1
世田谷区／200m2未満,2,4,0,1,1,10,0,1,3,5,1,1
世田谷区／300m2未満,2,4,0,2,0,0,0,0,2,3,0,1
世田谷区／500m2未満,7,15,3,9,2,20,1,4,9,16,4,7
世田谷区／1000m2未満,17,35,12,39,2,20,1,8,19,33,13,27
世田谷区／2000m2未満,5,10,8,28,0,0,0,0,5,9,8,17
世田谷区／5000m2未満,2,4,5,18,2,20,7,34,4,7,12,24
世田谷区／10000m2未満,0,0,0,0,0,0,0,0,0,0,0,0
世田谷区／10000m2以上,0,0,0,0,1,10,10,52,1,2,10,21
世田谷区／計,48,100,30,100,10,100,20,100,58,100,50,100
中野区／50m2未満,0,0,0,0,0,0,0,0,0,0,0,0
中野区／100m2未満,0,0,0,0,0,0,0,0,0,0,0,0
中野区／150m2未満,0,0,0,0,0,0,0,0,0,0,0,0
中野区／200m2未満,0,0,0,0,0,0,0,0,0,0,0,0
中野区／300m2未満,0,0,0,0,0,0,0,0,0,0,0,0
中野区／500m2未満,0,0,0,0,0,0,0,0,0,0,0,0
中野区／1000m2未満,0,0,0,0,0,0,0,0,0,0,0,0
中野区／2000m2未満,0,0,0,0,1,100,1,100,1,100,1,100
中野区／5000m2未満,0,0,0,0,0,0,0,0,0,0,0,0
中野区／10000m2未満,0,0,0,0,0,0,0,0,0,0,0,0
中野区／10000m2以上,0,0,0,0,0,0,0,0,0,0,0,0
中野区／計,0,0,0,0,1,100,1,100,1,100,1,100
杉並区／50m2未満,1,11,0,0,1,50,0,0,2,18,0,0
杉並区／100m2未満,1,11,0,1,0,0,0,0,1,9,0,1
杉並区／150m2未満,0,0,0,0,0,0,0,0,0,0,0,0
杉並区／200m2未満,0,0,0,0,0,0,0,0,0,0,0,0
杉並区／300m2未満,1,11,0,2,0,0,0,0,1,9,0,2
杉並区／500m2未満,1,11,0,5,0,0,0,0,1,9,0,3
杉並区／1000m2未満,1,11,1,11,0,0,0,0,1,9,1,8
杉並区／2000m2未満,3,33,4,49,0,0,0,0,3,27,4,37
杉並区／5000m2未満,1,11,3,32,1,50,3,100,2,18,6,49
杉並区／10000m2未満,0,0,0,0,0,0,0,0,0,0,0,0
杉並区／10000m2以上,0,0,0,0,0,0,0,0,0,0,0,0
杉並区／計,9,100,9,100,2,100,3,100,11,100,12,100
北区／50m2未満,1,5,0,0,2,17,0,0,3,10,0,0
北区／100m2未満,3,16,0,7,3,25,0,7,6,19,0,7
北区／150m2未満,5,26,1,16,1,8,0,3,6,19,1,11
北区／200m2未満,2,11,0,8,0,0,0,0,2,6,0,5
北区／300m2未満,5,26,1,31,1,8,0,7,6,19,1,21
北区／500m2未満,2,11,1,19,4,33,1,50,6,19,2,32
北区／1000m2未満,1,5,1,18,1,8,1,32,2,6,2,24
北区／2000m2未満,0,0,0,0,0,0,0,0,0,0,0,0
北区／5000m2未満,0,0,0,0,0,0,0,0,0,0,0,0
北区／10000m2未満,0,0,0,0,0,0,0,0,0,0,0,0
北区／10000m2以上,0,0,0,0,0,0,0,0,0,0,0,0
北区／計,19,100,4,100,12,100,3,100,31,100,7,100
板橋区／50m2未満,5,11,0,1,0,0,0,0,5,9,0,0
板橋区／100m2未満,9,19,1,4,1,13,0,2,10,18,1,4
板橋区／150m2未満,2,4,0,2,0,0,0,0,2,4,0,1
板橋区／200m2未満,4,9,1,4,0,0,0,0,4,7,1,3
板橋区／300m2未満,6,13,1,9,3,38,1,15,9,16,2,10
板橋区／500m2未満,8,17,3,19,1,13,0,9,9,16,3,17
板橋区／1000m2未満,11,23,7,43,1,13,1,17,12,22,8,37
板橋区／2000m2未満,2,4,3,18,2,25,3,58,4,7,6,27
板橋区／5000m2未満,0,0,0,0,0,0,0,0,0,0,0,0
板橋区／10000m2未満,0,0,0,0,0,0,0,0,0,0,0,0
板橋区／10000m2以上,0,0,0,0,0,0,0,0,0,0,0,0
板橋区／計,47,100,16,100,8,100,5,100,55,100,21,100
練馬区／50m2未満,4,9,0,0,1,33,0,0,5,10,0,0
練馬区／100m2未満,6,13,0,2,0,0,0,0,6,13,0,2
練馬区／150m2未満,2,4,0,1,0,0,0,0,2,4,0,1
練馬区／200m2未満,4,9,1,3,0,0,0,0,4,8,1,2
練馬区／300m2未満,5,11,1,5,0,0,0,0,5,10,1,4
練馬区／500m2未満,2,4,1,3,0,0,0,0,2,4,1,2
練馬区／1000m2未満,13,29,9,34,0,0,0,0,13,27,9,30
練馬区／2000m2未満,6,13,8,29,2,67,3,100,8,17,11,36
練馬区／5000m2未満,3,7,7,24,0,0,0,0,3,6,7,22
練馬区／10000m2未満,0,0,0,0,0,0,0,0,0,0,0,0
練馬区／10000m2以上,0,0,0,0,0,0,0,0,0,0,0,0
練馬区／計,45,100,27,100,3,100,3,100,48,100,30,100
足立区／50m2未満,0,0,0,0,0,0,0,0,0,0,0,0
足立区／100m2未満,1,50,0,36,0,0,0,0,1,50,0,36
足立区／150m2未満,1,50,0,64,0,0,0,0,1,50,0,64
足立区／200m2未満,0,0,0,0,0,0,0,0,0,0,0,0
足立区／300m2未満,0,0,0,0,0,0,0,0,0,0,0,0
足立区／500m2未満,0,0,0,0,0,0,0,0,0,0,0,0
足立区／1000m2未満,0,0,0,0,0,0,0,0,0,0,0,0
足立区／2000m2未満,0,0,0,0,0,0,0,0,0,0,0,0
足立区／5000m2未満,0,0,0,0,0,0,0,0,0,0,0,0
足立区／10000m2未満,0,0,0,0,0,0,0,0,0,0,0,0
足立区／10000m2以上,0,0,0,0,0,0,0,0,0,0,0,0
足立区／計,2,100,0,100,0,0,0,0,2,100,0,100
区部計／50m2未満,20,11,0,0,4,10,0,0,24,11,1,0
区部計／100m2未満,24,13,2,2,4,10,0,1,28,12,2,2
区部計／150m2未満,17,9,2,2,4,10,0,1,21,9,3,2
区部計／200m2未満,14,7,2,3,1,2,0,0,15,7,3,2
区部計／300m2未満,19,10,5,5,4,10,1,2,23,10,6,4
区部計／500m2未満,22,12,8,9,10,24,4,9,32,14,12,9
区部計／1000m2未満,45,24,31,32,4,10,3,8,49,21,34,25
区部計／2000m2未満,18,10,26,27,5,12,7,18,23,10,33,24
区部計／5000m2未満,8,4,20,20,4,10,14,35,12,5,34,25
区部計／10000m2未満,0,0,0,0,0,0,0,0,0,0,0,0
区部計／10000m2以上,0,0,0,0,1,2,10,25,1,0,10,7
区部計／計,187,100,96,100,41,100,41,100,228,100,137,100
