区市町村名,全建物(%),住宅・アパート(%),事務所・店舗等(%),工場・倉庫(%),その他(%)
区部／千代田区,99.5,98,99.8,97.5,99.7
区部／中央区,98.7,96.7,99.8,99,98.9
区部／港区,97.9,95.2,99.8,99.2,99.6
区部／新宿区,90.1,83.3,99.6,97.2,98.7
区部／文京区,84.4,79.7,99.3,95.8,97.6
区部／台東区,90.1,86.2,98.9,91.4,96.7
区部／墨田区,84.3,80.6,98.8,91.7,94.8
区部／江東区,92.9,88.2,99.3,99.4,98.6
区部／品川区,84,75.5,99.5,98.5,98.1
区部／目黒区,71.7,67.3,97.9,92.3,97.1
区部／大田区,73.8,64.2,98.4,98.4,97.9
区部／世田谷区,62.9,59.6,96.8,95.1,92.3
区部／渋谷区,91.2,85.2,99.6,97.5,99.3
区部／中野区,66.6,62.7,97.6,90.3,94.1
区部／杉並区,55.9,52.2,95.2,95,92.1
区部／豊島区,80.7,72.9,99.4,92,98.2
区部／北区,71.7,66.8,97.8,96.1,95.7
区部／荒川区,73.8,70.3,96.2,90.3,91.4
区部／板橋区,73,68.6,97.2,96.4,94.5
区部／練馬区,55.7,52.2,95.4,91.5,87.2
区部／足立区,63.6,56.9,95.3,93.7,92.1
区部／葛飾区,59.1,54.2,94.5,89.8,87.7
区部／江戸川区,64.9,59.5,96.2,96.5,91.1
区部／区部,77.8,68.9,99.1,96.7,97
市部／八王子市,56.8,45.2,96.3,95.7,80.7
市部／立川市,66.7,52.8,97.4,95.1,97
市部／武蔵野市,67.8,58.8,98.8,97.3,91.7
市部／三鷹市,55,48.3,96.6,93.8,90.1
市部／青梅市,45.1,29.6,95,96.2,53.5
市部／府中市,64.5,52.2,98.2,98.7,92
市部／昭島市,61.9,46.3,96.7,98.8,87.8
市部／調布市,61.2,54.2,96.8,96.4,91
市部／町田市,48.1,38.3,95.6,97.2,75.9
市部／小金井市,48.6,43,95.4,87.4,88.8
市部／小平市,48.3,40.3,95.2,96,65.2
市部／日野市,55.1,43.9,97.2,98.7,87.3
市部／東村山市,46.5,38.8,91.8,95.5,75.4
市部／国分寺市,50.7,43.1,96.3,94.6,84.9
市部／国立市,60.6,52.4,97.1,97,93.7
市部／福生市,52.6,44.4,92.4,90.8,74.9
市部／狛江市,49,45.1,93.3,89.6,53.4
市部／東大和市,48.7,39.7,90.2,97.5,63.2
市部／清瀬市,44.3,38.4,93,79.6,83.4
市部／東久留米市,47.1,36.7,91.6,91.9,87
市部／武蔵村山市,43.1,21.7,88.1,98.1,59.2
市部／多摩市,77.4,68.3,99.2,99,96.7
市部／稲城市,61.9,55.2,91,95.6,69.8
市部／羽村市,60.3,38.4,96.7,99.5,57.5
市部／あきる野市,26.9,15.7,85.7,86.3,44.1
市部／西東京市,52.8,46.3,96.5,92.5,91.3
市部／市部,55.3,44.9,96.5,96.5,82.4
西多摩郡／瑞穂町,57.5,16.6,96.1,99,71.9
西多摩郡／日の出町,40.3,12.5,96.2,91.6,57.6
西多摩郡／檜原村,9.4,2.5,23.5,66.9,11.3
西多摩郡／奥多摩町,18.2,7.4,63.5,79.2,35.1
西多摩郡／西多摩郡,47.1,13.3,93.9,96.9,55.1
多摩地域,55.1,44.4,96.4,96.5,81.2
区部・多摩計,71.7,61.7,98.7,96.7,92.4
島しょ／大島町,24.5,14.4,72,62,39.6
島しょ／利島村,42.2,28.5,61.8,80.7,22.2
島しょ／新島村,55,47.5,83.1,83,59.7
島しょ／神津島村,29.9,13.9,46.2,59.2,73.6
島しょ／三宅村,17.7,6.4,73.9,47.7,17.5
島しょ／御蔵島村,15.2,4.2,73.5,61.7,0
島しょ／八丈町,38.7,23.8,79.2,69.1,71.1
島しょ／青ヶ島村,59.2,34,96.3,96.4,42.2
島しょ／小笠原村,74.2,69.9,82.6,97.4,64.2
島しょ／島しょ計,35.2,23.2,76.1,67.7,52.5
合計,71.6,61.6,98.7,96.5,92
