年(昭和・平成・令和),月,東京都／件数(件),東京都／指数,東京都／全国比(%),東京都／前年比同月比(%),東京圏／件数(件),東京圏／指数,東京圏／全国比(%),東京圏／前年比同月比(%),東京法務局管内／件数(件),東京法務局管内／全国比(%),東京法務局管内／前年比同月比(%),全国／件数(件),全国／指数,全国／前年比同月比(%),神奈川県／件数(件),神奈川県／指数,神奈川県／全国比(%),神奈川県／前年比同月比(%),埼玉県／件数(件),埼玉県／指数,埼玉県／全国比(%),埼玉県／前年比同月比(%),千葉県／件数(件),千葉県／指数,千葉県／全国比(%),千葉県／前年比同月比(%)
55,,137572,100,5.3,,518319,100,20,,,,,2597700,100,,107885,100,4.2,,139383,100,5.4,,133479,100,5.1,
56,,133282,96.9,5.3,-3.1,485359,93.6,19.3,-6.4,,,,2509110,96.6,-3.4,105349,97.6,4.2,-2.4,130886,93.9,5.2,-6.1,115842,86.8,4.6,-13.2
57,,135168,98.3,5.6,1.4,472701,91.2,19.6,-2.6,,,,2413532,92.9,-3.8,105421,97.7,4.4,0.1,123132,88.3,5.1,-5.9,108980,81.6,4.5,-5.9
58,,136831,99.5,6.1,1.2,450577,86.9,19.9,-4.7,,,,2260619,87,-6.3,97598,90.5,4.3,-7.4,117470,84.3,5.2,-4.6,98678,73.9,4.4,-9.5
59,,141593,102.9,6.4,3.5,452750,87.3,20.4,0.5,,,,2223805,85.6,-1.6,101308,93.9,4.6,3.8,112587,80.8,5.1,-4.2,97262,72.9,4.4,-1.4
60,,141205,102.6,6.6,-0.3,440583,85,20.7,-2.7,,,,2131798,82.1,-4.1,97785,90.6,4.6,-3.5,110456,79.2,5.2,-1.9,91137,68.3,4.3,-6.3
61,,153183,111.3,7.1,8.5,483585,93.3,22.5,9.8,,,,2151132,82.8,0.9,112115,103.9,5.2,14.7,116884,83.9,5.4,5.8,101403,76,4.7,11.3
62,,140120,101.9,6.2,-8.5,519442,100.2,22.9,7.4,,,,2271693,87.5,5.6,119524,110.8,5.3,6.6,137042,98.3,6,17.2,122756,92,5.4,21.1
63,,92592,67.3,4.3,-33.9,397923,76.8,18.7,-23.4,,,,2132359,82.1,-6.1,85492,79.2,4,-28.5,107701,77.3,5.1,-21.4,112138,84,5.3,-8.6
元,,101296,73.6,4.5,9.4,418055,80.7,18.5,5.1,,,,2258440,86.9,5.9,84503,78.3,3.7,-1.2,111693,80.1,4.9,3.7,120563,90.3,5.3,7.5
2,,97870,71.1,4.4,-3.4,409481,79,18.6,-2.1,,,,2205122,84.9,-2.4,88908,82.4,4,5.2,105667,75.8,4.8,-5.4,117036,87.7,5.3,-2.9
3,,79792,58,4,-18.5,332857,64.2,16.6,-18.7,,,,2003833,77.1,-9.1,75609,70.1,3.8,-15,87734,62.9,4.4,-17,89902,67.4,4.5,-23.2
4,,72381,52.6,4,-9.3,310539,59.9,17.1,-6.7,,,,1818198,70,-9.3,72500,67.2,4,-4.1,88135,63.2,4.8,0.5,77523,58.1,4.3,-13.8
5,,78254,56.9,4.4,8.1,316092,61,17.8,1.8,,,,1773226,68.3,-2.5,81656,75.7,4.6,12.6,82907,59.5,4.7,-5.9,73275,54.9,4.1,-5.5
6,,88711,64.5,4.8,13.4,347151,67,18.9,9.8,,,,1836815,70.7,3.6,86613,80.3,4.7,6.1,91496,65.6,5,10.4,80331,60.2,4.4,9.6
7,,109377,79.5,5.9,23.3,376466,72.6,20.4,8.4,,,,1847156,71.1,0.6,89070,82.6,4.8,2.8,96985,69.6,5.3,6,81034,60.7,4.4,0.9
